ERIN CENTRE BLVD at LONGFORD DR,8:20:00 AM,9:05:00 AM,9:50:00 AM,10:35:00 AM,11:20:00 AM,12:05:00 PM,12:50:00 PM,1:35:00 PM,2:20:00 PM,3:05:00 PM,3:50:00 PM,4:35:00 PM,5:20:00 PM,6:05:00 PM,6:50:00 PM,7:35:00 PM
CHURCHILL MEADOWS BLVD at DEEPWOOD HEIGHTS,8:23:00 AM,9:08:00 AM,9:53:00 AM,10:38:00 AM,11:23:00 AM,12:08:00 PM,12:53:00 PM,1:38:00 PM,2:23:00 PM,3:08:00 PM,3:53:00 PM,4:38:00 PM,5:23:00 PM,6:08:00 PM,6:53:00 PM,7:38:00 PM
CHURCHILL MEADOWS BLVD north of SWIFTDALE DR,8:23:00 AM,9:08:00 AM,9:53:00 AM,10:38:00 AM,11:23:00 AM,12:08:00 PM,12:53:00 PM,1:38:00 PM,2:23:00 PM,3:08:00 PM,3:53:00 PM,4:38:00 PM,5:23:00 PM,6:08:00 PM,6:53:00 PM,7:38:00 PM
THOMAS ST at TENTH LINE,8:26:00 AM,9:11:00 AM,9:56:00 AM,10:41:00 AM,11:26:00 AM,12:11:00 PM,12:56:00 PM,1:41:00 PM,2:26:00 PM,3:11:00 PM,3:56:00 PM,4:41:00 PM,5:26:00 PM,6:11:00 PM,6:56:00 PM,7:41:00 PM
THOMAS ST at GLEN ERIN DR,8:30:00 AM,9:15:00 AM,10:00:00 AM,10:45:00 AM,11:30:00 AM,12:15:00 PM,1:00:00 PM,1:45:00 PM,2:30:00 PM,3:15:00 PM,4:00:00 PM,4:45:00 PM,5:30:00 PM,6:15:00 PM,7:00:00 PM,7:45:00 PM
GLEN ERIN DR at ERIN CENTRE BLVD,8:33:00 AM,9:18:00 AM,10:03:00 AM,10:48:00 AM,11:33:00 AM,12:18:00 PM,1:03:00 PM,1:48:00 PM,2:33:00 PM,3:18:00 PM,4:03:00 PM,4:48:00 PM,5:33:00 PM,6:18:00 PM,7:03:00 PM,7:48:00 PM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM F,8:35:00 AM,9:20:00 AM,10:05:00 AM,10:50:00 AM,11:35:00 AM,12:20:00 PM,1:05:00 PM,1:50:00 PM,2:35:00 PM,3:20:00 PM,4:05:00 PM,4:50:00 PM,5:35:00 PM,6:20:00 PM,7:05:00 PM,7:50:00 PM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM G,8:38:00 AM,9:23:00 AM,10:08:00 AM,10:53:00 AM,11:38:00 AM,12:23:00 PM,1:08:00 PM,1:53:00 PM,2:38:00 PM,3:23:00 PM,4:08:00 PM,4:53:00 PM,5:38:00 PM,6:23:00 PM,7:08:00 PM,7:53:00 PM
