THOMAS ST at NINTH LINE,5:33:00 AM,5:51 AM[b],6:13 AM[b],6:33 AM[b],6:53 AM[b],7:04 AM[b],7:10 AM[b],7:30 AM[b],7:40 AM[b],7:58 AM[b],8:15:00 AM,8:37:00 AM,8:57:00 AM,9:17:00 AM,9:57:00 AM,10:37:00 AM,11:17:00 AM,11:57:00 AM,12:37:00 PM,1:17:00 PM,1:57:00 PM,2:38:00 PM,3:11:00 PM,3:31:00 PM,3:51:00 PM,4:11:00 PM,4:31 PM[b],4:51 PM[b],5:13 PM[b],6:08 PM[b],6:27 PM[b],6:46:00 PM,7:26:00 PM,7:27 PM[b],8:10:00 PM,8:43:00 PM,9:16:00 PM,9:56:00 PM,10:36:00 PM
MCDOWELL DR at CHURCHILL MEADOWS BLVD,5:36:00 AM,5:54 AM[b],6:16 AM[b],6:36 AM[b],6:56 AM[b],7:07 AM[b],7:13 AM[b],7:33 AM[b],7:43 AM[b],8:01 AM[b],8:18:00 AM,8:40:00 AM,9:00:00 AM,9:19:00 AM,9:59:00 AM,10:39:00 AM,11:19:00 AM,11:59:00 AM,12:39:00 PM,1:19:00 PM,1:59:00 PM,2:41:00 PM,3:14:00 PM,3:34:00 PM,3:54:00 PM,4:14:00 PM,4:34 PM[b],4:54 PM[b],5:16 PM[b],6:11 PM[b],6:30 PM[b],6:49:00 PM,7:28:00 PM,7:29 PM[b],8:12:00 PM,8:45:00 PM,9:18:00 PM,9:58:00 PM,10:38:00 PM
MCDOWELL DR at DELLE DONNE DR,5:37:00 AM,5:55 AM[b],6:17 AM[b],6:37 AM[b],6:57 AM[b],7:08 AM[b],7:14 AM[b],7:34 AM[b],7:44 AM[b],8:02 AM[b],8:19:00 AM,8:41:00 AM,9:01:00 AM,9:20:00 AM,10:00:00 AM,10:40:00 AM,11:20:00 AM,12:00:00 PM,12:40:00 PM,1:20:00 PM,2:00:00 PM,2:42:00 PM,3:15:00 PM,3:35:00 PM,3:55:00 PM,4:15:00 PM,4:35 PM[b],4:55 PM[b],5:17 PM[b],6:12 PM[b],6:31 PM[b],6:50:00 PM,7:29:00 PM,7:30 PM[b],8:13:00 PM,8:46:00 PM,9:19:00 PM,9:59:00 PM,10:39:00 PM
MCDOWELL DR at WINSTON CHURCHILL BLVD,5:40:00 AM,5:58 AM[b],6:20 AM[b],6:40 AM[b],7:00 AM[b],7:11 AM[b],7:17 AM[b],7:37 AM[b],7:47 AM[b],8:05 AM[b],8:22:00 AM,8:44:00 AM,9:04:00 AM,9:23:00 AM,10:03:00 AM,10:43:00 AM,11:23:00 AM,12:03:00 PM,12:43:00 PM,1:23:00 PM,2:03:00 PM,2:45:00 PM,3:18:00 PM,3:38:00 PM,3:58:00 PM,4:18:00 PM,4:38 PM[b],4:58 PM[b],5:20 PM[b],6:15 PM[b],6:34 PM[b],6:53:00 PM,7:32:00 PM,7:33 PM[b],8:16:00 PM,8:49:00 PM,9:22:00 PM,10:02:00 PM,10:42:00 PM
THOMAS ST at WINSTON CHURCHILL BLVD,6:01 AM[b],6:23 AM[b],6:43 AM[b],7:03 AM[b],7:14 AM[b],7:20 AM[b],7:40 AM[b],7:50 AM[b],8:08 AM[b],4:41 PM[b],5:01 PM[b],5:23 PM[b],6:18 PM[b],6:37 PM[b],7:35 PM[b],,,,,,,,,,,,,,,,,,,,,,,,
THOMAS ST at ERIN MILLS PKY,6:04 AM[b],6:26 AM[b],6:46 AM[b],7:06 AM[b],7:17 AM[b],7:23 AM[b],7:43 AM[b],7:53 AM[b],8:11 AM[b],4:44 PM[b],5:04 PM[b],5:26 PM[b],6:21 PM[b],6:40 PM[b],7:38 PM[b],,,,,,,,,,,,,,,,,,,,,,,,
THOMAS ST east of ERIN MILLS PKY,6:04 AM[b],6:26 AM[b],6:46 AM[b],7:06 AM[b],7:17 AM[b],7:23 AM[b],7:43 AM[b],7:53 AM[b],8:11 AM[b],4:44 PM[b],5:04 PM[b],5:26 PM[b],6:21 PM[b],6:40 PM[b],7:38 PM[b],,,,,,,,,,,,,,,,,,,,,,,,
STREETSVILLE GO STATION PLATFORM A,6:09 AM[b],6:31 AM[b],6:51 AM[b],7:11 AM[b],7:22 AM[b],7:31 AM[b],7:48 AM[b],7:58 AM[b],8:16 AM[b],4:49 PM[b],5:09 PM[b],5:31 PM[b],6:26 PM[b],6:45 PM[b],7:42 PM[b],,,,,,,,,,,,,,,,,,,,,,,,
WINSTON CHURCHILL BLVD at THOMAS ST,5:42:00 AM,8:24:00 AM,8:46:00 AM,9:06:00 AM,9:25:00 AM,10:05:00 AM,10:45:00 AM,11:25:00 AM,12:05:00 PM,12:45:00 PM,1:25:00 PM,2:05:00 PM,2:47:00 PM,3:20:00 PM,3:40:00 PM,4:00:00 PM,4:20:00 PM,6:55:00 PM,7:34:00 PM,8:18:00 PM,8:51:00 PM,9:24:00 PM,10:04:00 PM,10:44:00 PM,,,,,,,,,,,,,,,
ERIN CENTRE BLVD east of WINSTON CHURCHILL BLVD,5:45:00 AM,8:27:00 AM,8:49:00 AM,9:09:00 AM,9:28:00 AM,10:08:00 AM,10:48:00 AM,11:28:00 AM,12:08:00 PM,12:48:00 PM,1:28:00 PM,2:08:00 PM,2:50:00 PM,3:23:00 PM,3:43:00 PM,4:03:00 PM,4:23:00 PM,6:58:00 PM,7:37:00 PM,8:21:00 PM,8:54:00 PM,9:27:00 PM,10:07:00 PM,10:47:00 PM,,,,,,,,,,,,,,,
ERIN CENTRE BLVD at GLEN ERIN DR,5:47:00 AM,8:29:00 AM,8:51:00 AM,9:11:00 AM,9:30:00 AM,10:10:00 AM,10:50:00 AM,11:30:00 AM,12:10:00 PM,12:50:00 PM,1:30:00 PM,2:10:00 PM,2:52:00 PM,3:25:00 PM,3:45:00 PM,4:05:00 PM,4:25:00 PM,7:00:00 PM,7:38:00 PM,8:22:00 PM,8:55:00 PM,9:28:00 PM,10:08:00 PM,10:48:00 PM,,,,,,,,,,,,,,,
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM B,5:52:00 AM,8:34:00 AM,8:56:00 AM,9:15:00 AM,9:34:00 AM,10:14:00 AM,10:54:00 AM,11:34:00 AM,12:14:00 PM,12:54:00 PM,1:34:00 PM,2:15:00 PM,2:57:00 PM,3:30:00 PM,3:50:00 PM,4:10:00 PM,4:30:00 PM,7:04:00 PM,7:42:00 PM,8:26:00 PM,8:59:00 PM,9:32:00 PM,10:12:00 PM,10:52:00 PM,,,,,,,,,,,,,,,
