0871 - DUNDAS ST at NEILSON DR,871,1W
0872 - DUNDAS ST west of NEILSON DR,872,1W
0873 - DUNDAS ST at SOUTHCREEK RD,873,1W
0874 - DUNDAS ST at UNIVERSAL DR,874,1W
0875 - DUNDAS ST at WHARTON WAY,875,1W
3536 - DUNDAS ST west of WHARTON WAY,3536,1W
0876 - DUNDAS ST at TREADWELLS DR,876,1W
0877 - DUNDAS ST at MATTAWA AVE,877,1W
1192 - DUNDAS ST at JARROW AVE,1192,1W
0878 - DUNDAS ST at NEILCO CRT,878,1W
1354 - DUNDAS ST at DIXIE RD,1354,1W
1377 - DUNDAS ST FIRST STOP west of DIXIE RD,1377,1W
1378 - DUNDAS ST at QUEEN FREDERICA DR,1378,1W
1379 - DUNDAS ST at ARENA RD,1379,1W
1380 - DUNDAS ST at CONSTITUTION BLVD,1380,1W
1302 - DUNDAS ST west of CONSTITUTION BLVD,1302,1W
1381 - DUNDAS ST at TOMKEN RD,1381,1W
0827 - DUNDAS ST west of TOMKEN RD,827,1W
1382 - DUNDAS ST at HAINES RD,1382,1W
1283 - DUNDAS ST at CAWTHRA RD,1283,1W
0784 - DUNDAS ST at HENSALL CIRCLE,784,1W
0785 - DUNDAS ST at GRENVILLE RD,785,1W
0786 - DUNDAS ST at EDENHURST DR,786,1W
0787 - DUNDAS ST at LITTLEJOHN LANE,787,1W
0788 - DUNDAS ST at JAGUAR VALLEY DR,788,1W
1189 - DUNDAS ST at HURONTARIO ST,1189,1W
1190 - DUNDAS ST at CONFEDERATION PKY,1190,1W
1152 - DUNDAS ST at PARKERHILL RD,1152,1W
1153 - DUNDAS ST at BREAKWATER COURT,1153,1W
0149 - DUNDAS ST at CLAYHILL RD,149,1W
3139 - DUNDAS ST at ELMCREEK RD,3139,1W
1194 - DUNDAS ST at MAVIS RD,1194,1W
3169 - DUNDAS ST W west of MAVIS RD,3169,1W
1195 - DUNDAS ST at WOLFEDALE RD,1195,1W
1196 - DUNDAS ST at CEDARGLEN GATE,1196,1W
1197 - DUNDAS ST at ERINDALE STATION RD,1197,1W
1198 - DUNDAS ST at OLD CARRIAGE RD,1198,1W
1199 - DUNDAS ST at THE CREDIT WOODLANDS,1199,1W
1101 - DUNDAS ST at DUNDAS CRES,1101,1W
1100 - DUNDAS ST at ROBINSON ST,1100,1W
1102 - DUNDAS ST at NANTICOKE RD,1102,1W
1035 - DUNDAS ST at MISSISSAUGA RD,1035,1W
1036 - DUNDAS ST at REDSTART DR,1036,1W
1037 - DUNDAS ST east of ERIN MILLS PKY,1037,1W
1678 - DUNDAS ST at FIFTH LINE WEST,1678,1W
1006 - DUNDAS ST at DUNWIN DR,1006,1W
1665 - DUNDAS ST at GLEN ERIN DR,1665,1W
1666 - DUNDAS ST at WOODCHESTER DR,1666,1W
1095 - DUNDAS ST east of WINSTON CHURCHILL BLV,1095,1W
1002 - DUNDAS ST at WINSTON CHURCHILL BLVD,1002,1W
1667 - DUNDAS ST W at HAMPSHIRE GATE,1667,1W
1141 - DUNDAS ST W at RIDGEWAY DR,1141,1W
1660 - DUNDAS ST W at VEGA BLVD,1660,1W
0958 - VEGA BLVD at LAIRD RD,958,1W
1661 - LAIRD RD west of RIDGEWAY DR,1661,1W
0993 - MISSISSAUGA RD at DUNDAS ST,993,1W
0914 - MISSISSAUGA RD at THE COLLEGEWAY,914,1W
0991 - UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,991,1W
1629 - MISSISSAUGA RD at THE COLLEGEWAY,1629,1W
1087 - THE COLLEGEWAY at BROAD HOLLOW GATE,1087,1W
1072 - THE COLLEGEWAY FIRST STOP west of BROAD HOLLOW GAT,1072,1W
1094 - THE COLLEGEWAY SECOND STOP west of BROAD HOLLOW GA,1094,1W
1071 - THE COLLEGEWAY at SOUTH MILLWAY,1071,1W
1069 - THE COLLEGEWAY west of SOUTH MILLWAY,1069,1W
1049 - THE COLLEGEWAY at SOUTH COMMON CENTRE ACCESS RD,1049,1W
1029 - SOUTH MILLWAY north of THE COLLEGEWAY,1029,1W
1099 - SOUTH COMMON CENTRE BUS TERMINAL PLATFORM A,1099,1W
1403 - CITY CENTRE BUS TERMINAL PLATFORM G,1403,3E
0480 - RATHBURN RD W at CITY CENTRE DR,480,3E
0481 - CITY CENTRE DR at SQUARE ONE DR,481,3E
3013 - CITY CENTRE DR FIRST south of ROBERT SPECK PKY,3013,3E
1425 - CITY CENTRE DR SECOND south of ROBERT SPECK PKY,1425,3E
0074 - KARIYA DR at ENFIELD PLACE (north leg),74,3E
0075 - KARIYA DR at ENFIELD PLACE (south leg),75,3E
0076 - ELM DR at KARIYA DR,76,3E
0077 - ELM DR at HURONTARIO ST,77,3E
0066 - ELM DR east of HURONTARIO ST,66,3E
0078 - ELM DR at MISSISSAUGA VALLEY BLVD,78,3E
1215 - MISSISSAUGA VALLEY BLVD at CENTRAL PKY E,1215,3E
1216 - MISSISSAUGA VALLEY BLVD at FAIRVIEW RD,1216,3E
1217 - MISSISSAUGA VALLEY BLVD at VOLTAIRE CRES west leg,1217,3E
1218 - MISSISSAUGA VALLEY BLVD at VOLTAIRE CRES east leg,1218,3E
1219 - MISSISSAUGA VALLEY BLVD at TRISHA DOWNS,1219,3E
1220 - MISSISSAUGA VALLEY BLVD at CLIFF RD,1220,3E
1221 - MISSISSAUGA VALLEY BLVD at LOLITA GDNS,1221,3E
1222 - MISSISSAUGA VALLEY BLVD at SILVERCREEK BLVD,1222,3E
1223 - MISSISSAUGA VALLEY BLVD at GWENDALE CRES,1223,3E
1224 - MISSISSAUGA VALLEY BLVD at BLOOR ST,1224,3E
1225 - BLOOR ST at CAWTHRA RD,1225,3E
1326 - BLOOR ST at RYMAL RD,1326,3E
1327 - BLOOR ST at ANNELIESE AVE,1327,3E
1325 - BLOOR ST at TOMKEN RD,1325,3E
1328 - BLOOR ST at TASMANIA DR,1328,3E
1329 - BLOOR ST at IVERNIA RD,1329,3E
1330 - BLOOR ST at QUEEN FREDERICA DR,1330,3E
1331 - BLOOR ST at GOLDEN ORCHARD DR,1331,3E
1332 - BLOOR ST at DIXIE RD,1332,3E
1333 - BLOOR ST at HAVENWOOD DR,1333,3E
1334 - BLOOR ST east of HAVENWOOD DR,1334,3E
1335 - BLOOR ST at FIELDGATE DR,1335,3E
1336 - BLOOR ST east of FIELDGATE DR,1336,3E
1337 - BLOOR ST at BRIDGEWOOD DR,1337,3E
1339 - BLOOR ST east of BRIDGEWOOD DR,1339,3E
9161 - BLOOR ST at MARKLAND DR (west leg),9161,3E
9022 - BLOOR ST at MILL RD,9022,3E
9023 - BLOOR ST at FORESTVIEW RD,9023,3E
9024 - BLOOR ST at MARKLAND DR (east leg),9024,3E
9025 - BLOOR ST at KOOS RD,9025,3E
2892 - BLOOR ST at THE WEST MALL,2892,3E
9027 - BLOOR ST at THE EAST MALL,9027,3E
9028 - BLOOR ST at TREMONT RD,9028,3E
9029 - BLOOR ST at SHAVER AVE,9029,3E
9030 - BLOOR ST at WILMAR RD,9030,3E
9031 - BLOOR ST at ACORN AVE,9031,3E
9052 - BLOOR ST at AUKLAND RD,9052,3E
9162 - AUKLAND RD north of DUNDAS ST W,9162,3E
9008 - DUNDAS ST W at SUMMERLAND TERRACE,9008,3E
9009 - DUNDAS ST W at MICHAEL POWER PLACE,9009,3E
9010 - DUNDAS ST W at MABELLE AVE,9010,3E
9011 - DUNDAS ST W at CORDOVA AVE,9011,3E
9014 - DUNDAS ST at ISLINGTON AVE,9014,3E
9098 - ISLINGTON AVE south of DUNDAS ST,9098,3E
9080 - ISLINGTON AVE at CENTRAL PARK ROADWAY,9080,3E
9000 - ISLINGTON SUBWAY DROP OFF,9000,3E
1303 - ISLINGTON SUBWAY BUS TERMINAL PLATFORM F,1303,3E
1303 - ISLINGTON SUBWAY BUS TERMINAL PLATFORM F,1303,3W
0310 - BLOOR ST W at GREEN LANES,310,3W
9013 - BLOOR ST W at RESURRECTION RD,9013,3W
1304 - AUKLAND RD north of DUNDAS ST W,1304,3W
9034 - BLOOR ST at ASHBOURNE DR,9034,3W
9035 - BLOOR ST at MARTIN GROVE RD,9035,3W
9036 - BLOOR ST at SHAVER AVE,9036,3W
9037 - BLOOR ST at LAUREL AVE,9037,3W
9038 - BLOOR ST at THE EAST MALL,9038,3W
2955 - BLOOR ST at THE WEST MALL,2955,3W
9040 - BLOOR ST at PEACOCK AVE,9040,3W
9041 - BLOOR ST at MARKLAND DR,9041,3W
9042 - BLOOR ST at FORESTVIEW RD,9042,3W
9043 - BLOOR ST at MILL RD,9043,3W
9044 - BLOOR ST west of MILL RD,9044,3W
1305 - BLOOR ST at MARKLAND DR (west leg),1305,3W
1340 - BLOOR ST west of MARKLAND DR,1340,3W
1341 - BLOOR ST at BRIDGEWOOD DR,1341,3W
1342 - BLOOR ST west of BRIDGEWOOD DR,1342,3W
1343 - BLOOR ST at FIELDGATE DR,1343,3W
1344 - BLOOR ST west of FIELDGATE DR,1344,3W
1345 - BLOOR ST at HAVENWOOD DR,1345,3W
1346 - BLOOR ST at DIXIE RD,1346,3W
1347 - BLOOR ST at GOLDEN ORCHARD DR,1347,3W
1348 - BLOOR ST at GRAND FORKS RD,1348,3W
1349 - BLOOR ST at RUNNINGBROOK DR,1349,3W
1350 - BLOOR ST at RIVERSPRAY CRES,1350,3W
1351 - BLOOR ST at TOMKEN RD,1351,3W
1352 - BLOOR ST at ANNELIESE AVE,1352,3W
1353 - BLOOR ST at CEDAR CREEK DR,1353,3W
2268 - BLOOR ST at CAWTHRA RD,2268,3W
1255 - MISSISSAUGA VALLEY BLVD south of BLOOR ST,1255,3W
1256 - MISSISSAUGA VALLEY BLVD at MICHELLE ROW,1256,3W
