CITY CENTRE BUS TERMINAL PLATFORM A,9:04:00 AM,9:31:00 AM,9:58:00 AM,10:25:00 AM,10:53:00 AM,11:21:00 AM,11:49:00 AM,12:17:00 PM,12:45:00 PM,1:13:00 PM,1:41:00 PM,2:09:00 PM,2:37:00 PM,3:05:00 PM,3:33:00 PM,4:01:00 PM,4:29:00 PM,4:57:00 PM,5:25:00 PM,5:53:00 PM,6:21:00 PM,6:49:00 PM,7:17:00 PM,7:43:00 PM,8:09:00 PM,8:35:00 PM,9:01:00 PM,9:27:00 PM,9:53:00 PM
ERIN MILLS PKY at FOLKWAY DR,9:13:00 AM,9:40:00 AM,10:07:00 AM,10:34:00 AM,11:02:00 AM,11:30:00 AM,11:58:00 AM,12:26:00 PM,12:54:00 PM,1:22:00 PM,1:50:00 PM,2:18:00 PM,2:46:00 PM,3:14:00 PM,3:42:00 PM,4:10:00 PM,4:38:00 PM,5:06:00 PM,5:34:00 PM,6:02:00 PM,6:30:00 PM,6:58:00 PM,7:26:00 PM,7:52:00 PM,8:18:00 PM,8:44:00 PM,9:10:00 PM,9:36:00 PM,10:02:00 PM
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM H,9:17:00 AM,9:44:00 AM,10:12:00 AM,10:39:00 AM,11:07:00 AM,11:35:00 AM,12:03:00 PM,12:31:00 PM,12:59:00 PM,1:27:00 PM,1:55:00 PM,2:23:00 PM,2:51:00 PM,3:18:00 PM,3:46:00 PM,4:14:00 PM,4:42:00 PM,5:10:00 PM,5:38:00 PM,6:06:00 PM,6:34:00 PM,7:02:00 PM,7:30:00 PM,7:56:00 PM,8:22:00 PM,8:48:00 PM,9:14:00 PM,9:40:00 PM,10:06:00 PM
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,9:25:00 AM,9:52:00 AM,10:20:00 AM,10:47:00 AM,11:15:00 AM,11:43:00 AM,12:11:00 PM,12:39:00 PM,1:07:00 PM,1:35:00 PM,2:03:00 PM,2:31:00 PM,2:59:00 PM,3:26:00 PM,3:54:00 PM,4:22:00 PM,4:50:00 PM,5:18:00 PM,5:46:00 PM,6:14:00 PM,6:42:00 PM,7:10:00 PM,7:38:00 PM,8:04:00 PM,8:30:00 PM,8:56:00 PM,9:22:00 PM,9:48:00 PM,10:14:00 PM
ERIN MILLS PKY FIRST STOP south of DUNDAS ST W,9:31:00 AM,9:58:00 AM,10:27:00 AM,10:54:00 AM,11:22:00 AM,11:50:00 AM,12:18:00 PM,12:46:00 PM,1:14:00 PM,1:42:00 PM,2:10:00 PM,2:38:00 PM,3:06:00 PM,3:33:00 PM,4:01:00 PM,4:29:00 PM,4:57:00 PM,5:24:00 PM,5:52:00 PM,6:20:00 PM,6:48:00 PM,7:16:00 PM,7:44:00 PM,8:10:00 PM,8:36:00 PM,9:02:00 PM,9:28:00 PM,9:54:00 PM,10:20:00 PM
ERIN MILLS PKY at LEANNE BLVD,9:33:00 AM,10:00:00 AM,10:29:00 AM,10:56:00 AM,11:24:00 AM,11:52:00 AM,12:20:00 PM,12:48:00 PM,1:16:00 PM,1:44:00 PM,2:12:00 PM,2:40:00 PM,3:08:00 PM,3:35:00 PM,4:03:00 PM,4:31:00 PM,4:59:00 PM,5:26:00 PM,5:54:00 PM,6:22:00 PM,6:50:00 PM,7:18:00 PM,7:46:00 PM,8:12:00 PM,8:38:00 PM,9:04:00 PM,9:30:00 PM,9:56:00 PM,10:22:00 PM
CLARKSON GO STATION PLATFORM E,9:37:00 AM,10:04:00 AM,10:33:00 AM,11:00:00 AM,11:28:00 AM,11:56:00 AM,12:24:00 PM,12:52:00 PM,1:20:00 PM,1:48:00 PM,2:16:00 PM,2:44:00 PM,3:12:00 PM,3:39:00 PM,4:07:00 PM,4:35:00 PM,5:03:00 PM,5:30:00 PM,5:58:00 PM,6:26:00 PM,6:54:00 PM,7:22:00 PM,7:50:00 PM,8:16:00 PM,8:42:00 PM,9:08:00 PM,9:34:00 PM,10:00:00 PM,10:26:00 PM
