GLENGARRY RD at DUNDAS ST,5:34 AM[b],6:18 AM[b],6:53 AM[b],7:16 AM[b],7:35:00 AM,7:58:00 AM,8:12:00 AM,8:44:00 AM,9:17:00 AM,9:52:00 AM,10:26:00 AM,10:59:00 AM,11:32:00 AM,12:05:00 PM,12:38:00 PM,1:11:00 PM,1:42:00 PM,2:14:00 PM,2:50:00 PM,3:20:00 PM,3:42 PM[b],3:58 PM[b],4:16 PM[b],4:39 PM[b],4:54 PM[b],5:10 PM[b],5:31 PM[b],5:50 PM[b],6:16:00 PM,6:31 PM[b],6:53:00 PM,7:22 PM[b],8:00:00 PM,8:37:00 PM,9:00:00 PM,9:30:00 PM,10:05:00 PM,10:30:00 PM,11:00:00 PM,11:34:00 PM,,
CEDARGLEN GATE at HEMUS SQUARE,5:36 AM[b],6:20 AM[b],6:55 AM[b],7:18 AM[b],7:37:00 AM,8:00:00 AM,8:14:00 AM,8:46:00 AM,9:19:00 AM,9:54:00 AM,10:28:00 AM,11:01:00 AM,11:34:00 AM,12:07:00 PM,12:40:00 PM,1:13:00 PM,1:44:00 PM,2:16:00 PM,2:52:00 PM,3:22:00 PM,3:44 PM[b],4:00 PM[b],4:18 PM[b],4:41 PM[b],4:56 PM[b],5:12 PM[b],5:33 PM[b],5:52 PM[b],6:18:00 PM,6:33 PM[b],6:55:00 PM,7:24 PM[b],8:02:00 PM,8:39:00 PM,9:02:00 PM,9:32:00 PM,10:07:00 PM,10:32:00 PM,11:02:00 PM,11:36:00 PM,,
DUNDAS ST at ERINDALE STATION RD,5:38 AM[b],5:56 AM[b],6:22 AM[b],6:45 AM[b],6:57 AM[b],7:20 AM[b],7:39:00 AM,8:02:00 AM,8:16:00 AM,8:48:00 AM,9:21:00 AM,9:56:00 AM,10:30:00 AM,11:03:00 AM,11:36:00 AM,12:09:00 PM,12:42:00 PM,1:15:00 PM,1:46:00 PM,2:18:00 PM,2:54:00 PM,3:24:00 PM,3:46 PM[b],4:02 PM[b],4:20 PM[b],4:43 PM[b],4:58 PM[b],5:14 PM[b],5:35 PM[b],5:54 PM[b],6:20:00 PM,6:35 PM[b],6:57:00 PM,7:25 PM[b],8:03:00 PM,8:40:00 PM,9:03:00 PM,9:33:00 PM,10:08:00 PM,10:33:00 PM,11:03:00 PM,11:37:00 PM
MISSISSAUGA RD at DUNDAS ST,5:42 AM[b],6:00 AM[b],6:26 AM[b],6:49 AM[b],7:01 AM[b],7:24 AM[b],7:43:00 AM,8:06:00 AM,8:20:00 AM,8:51:00 AM,9:24:00 AM,9:59:00 AM,10:33:00 AM,11:06:00 AM,11:39:00 AM,12:12:00 PM,12:45:00 PM,1:18:00 PM,1:49:00 PM,2:21:00 PM,2:57:00 PM,3:28:00 PM,3:50 PM[b],4:06 PM[b],4:24 PM[b],4:47 PM[b],5:02 PM[b],5:18 PM[b],5:39 PM[b],5:58 PM[b],6:24:00 PM,6:39 PM[b],7:01:00 PM,7:28 PM[b],8:06:00 PM,8:43:00 PM,9:06:00 PM,9:36:00 PM,10:11:00 PM,10:36:00 PM,11:06:00 PM,11:40:00 PM
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,5:46 AM[b],6:04 AM[b],6:30 AM[b],6:53 AM[b],7:05 AM[b],7:28 AM[b],7:47:00 AM,8:10:00 AM,8:24:00 AM,8:56:00 AM,9:29:00 AM,10:04:00 AM,10:38:00 AM,11:11:00 AM,11:44:00 AM,12:17:00 PM,12:50:00 PM,1:23:00 PM,1:54:00 PM,2:26:00 PM,3:01:00 PM,3:32:00 PM,3:54 PM[b],4:10 PM[b],4:28 PM[b],4:51 PM[b],5:06 PM[b],5:22 PM[b],5:43 PM[b],6:02 PM[b],6:28:00 PM,6:43 PM[b],7:05:00 PM,7:32 PM[b],8:10:00 PM,8:47:00 PM,9:10:00 PM,9:40:00 PM,10:15:00 PM,10:40:00 PM,11:10:00 PM,11:44:00 PM
MISSISSAUGA RD at BURNHAMTHORPE RD,5:50 AM[b],6:08 AM[b],6:34 AM[b],6:57 AM[b],7:09 AM[b],7:32 AM[b],7:51:00 AM,8:14:00 AM,8:28:00 AM,8:59:00 AM,9:32:00 AM,10:07:00 AM,10:41:00 AM,11:14:00 AM,11:47:00 AM,12:20:00 PM,12:53:00 PM,1:26:00 PM,1:57:00 PM,2:29:00 PM,3:05:00 PM,3:36:00 PM,3:58 PM[b],4:14 PM[b],4:32 PM[b],4:55 PM[b],5:10 PM[b],5:26 PM[b],5:47 PM[b],6:06 PM[b],6:32:00 PM,6:47 PM[b],7:09:00 PM,7:35 PM[b],8:13:00 PM,8:50:00 PM,9:13:00 PM,9:43:00 PM,10:18:00 PM,10:43:00 PM,11:13:00 PM,11:47:00 PM
MISSISSAUGA RD at EGLINTON AVE,5:55 AM[b],6:13 AM[b],6:39 AM[b],7:02 AM[b],7:14 AM[b],7:37 AM[b],7:56:00 AM,8:19:00 AM,8:33:00 AM,9:04:00 AM,9:37:00 AM,10:12:00 AM,10:46:00 AM,11:19:00 AM,11:52:00 AM,12:25:00 PM,12:58:00 PM,1:31:00 PM,2:02:00 PM,2:34:00 PM,3:10:00 PM,3:41:00 PM,4:03 PM[b],4:19 PM[b],4:37 PM[b],5:00 PM[b],5:15 PM[b],5:31 PM[b],5:52 PM[b],6:11 PM[b],6:36:00 PM,6:51 PM[b],7:13:00 PM,7:39 PM[b],8:17:00 PM,8:54:00 PM,9:17:00 PM,9:47:00 PM,10:22:00 PM,10:47:00 PM,11:17:00 PM,11:51:00 PM
QUEEN ST at BARRY AVE,6:00 AM[b],6:18 AM[b],6:44 AM[b],7:07 AM[b],7:19 AM[b],7:42 AM[b],8:01:00 AM,8:24:00 AM,8:37:00 AM,9:08:00 AM,9:41:00 AM,10:16:00 AM,10:50:00 AM,11:23:00 AM,11:56:00 AM,12:29:00 PM,1:02:00 PM,1:35:00 PM,2:06:00 PM,2:38:00 PM,3:15:00 PM,3:46:00 PM,4:08 PM[b],4:24 PM[b],4:42 PM[b],5:05 PM[b],5:20 PM[b],5:36 PM[b],5:57 PM[b],6:16 PM[b],6:40:00 PM,6:55 PM[b],7:17:00 PM,7:43 PM[b],8:21:00 PM,8:58:00 PM,9:21:00 PM,9:51:00 PM,10:26:00 PM,10:51:00 PM,11:21:00 PM,11:55:00 PM
QUEEN ST S at BRITANNIA RD,6:05 AM[b],6:23 AM[b],6:49 AM[b],7:12 AM[b],7:24 AM[b],7:47 AM[b],8:06:00 AM,8:29:00 AM,8:41:00 AM,9:12:00 AM,9:45:00 AM,10:20:00 AM,10:54:00 AM,11:27:00 AM,12:00:00 PM,12:33:00 PM,1:06:00 PM,1:39:00 PM,2:10:00 PM,2:42:00 PM,3:20:00 PM,3:51:00 PM,4:13 PM[b],4:29 PM[b],4:47 PM[b],5:10 PM[b],5:25 PM[b],5:41 PM[b],6:02 PM[b],6:21 PM[b],6:44:00 PM,6:59 PM[b],7:21:00 PM,7:47 PM[b],8:25:00 PM,9:02:00 PM,9:25:00 PM,9:55:00 PM,10:30:00 PM,10:55:00 PM,11:25:00 PM,11:59:00 PM
ARGENTIA RD FIRST west of CAMPOBELLO RD (west leg),6:11 AM[b],6:29 AM[b],6:55 AM[b],7:18 AM[b],7:30 AM[b],7:53 AM[b],8:12:00 AM,8:35:00 AM,8:47:00 AM,9:18:00 AM,9:51:00 AM,10:26:00 AM,11:00:00 AM,11:33:00 AM,12:06:00 PM,12:39:00 PM,1:12:00 PM,1:45:00 PM,2:16:00 PM,2:48:00 PM,3:26:00 PM,3:57:00 PM,4:19 PM[b],4:35 PM[b],4:53 PM[b],5:16 PM[b],5:31 PM[b],5:47 PM[b],6:08 PM[b],6:27 PM[b],6:50:00 PM,7:05 PM[b],7:27:00 PM,7:53 PM[b],8:31:00 PM,9:08:00 PM,9:31:00 PM,10:01:00 PM,10:36:00 PM,11:01:00 PM,11:31:00 PM,12:05:00 AM
