DUNDAS ST at HURONTARIO ST,7:20:00 AM,7:35:00 AM,7:50 AM[b],8:05:00 AM,8:20 AM[b],8:35:00 AM,8:50 AM[b],9:05:00 AM,9:20 AM[b],9:35:00 AM,9:50 AM[b],10:09:00 AM,10:25 AM[b],10:42:00 AM,10:58 AM[b],11:14:00 AM,11:30 AM[b],11:46:00 AM,12:02 PM[b],12:18:00 PM,12:34 PM[b],12:50:00 PM,1:06 PM[b],1:22:00 PM,1:38 PM[b],1:54:00 PM,2:10 PM[b],2:26:00 PM,2:42 PM[b],2:58:00 PM,3:14 PM[b],3:30:00 PM,3:46 PM[b],4:02:00 PM,4:18 PM[b],4:34:00 PM,4:50 PM[b],5:06:00 PM,5:22 PM[b],5:38:00 PM,5:54 PM[b],6:10:00 PM,6:26 PM[b],6:42:00 PM,6:58 PM[b],7:12:00 PM,7:28 PM[b],7:41:00 PM,8:09:00 PM,8:39:00 PM,9:09:00 PM,9:39:00 PM,10:09:00 PM,10:39:00 PM,11:09:00 PM,11:39:00 PM,12:09:00 AM,12:39:00 AM,4:08:00 AM
DUNDAS ST at CAWTHRA RD,7:26:00 AM,7:41:00 AM,7:56 AM[b],8:11:00 AM,8:26 AM[b],8:41:00 AM,8:56 AM[b],9:11:00 AM,9:26 AM[b],9:41:00 AM,9:56 AM[b],10:16:00 AM,10:32 AM[b],10:49:00 AM,11:05 AM[b],11:21:00 AM,11:37 AM[b],11:53:00 AM,12:09 PM[b],12:25:00 PM,12:41 PM[b],12:57:00 PM,1:13 PM[b],1:29:00 PM,1:45 PM[b],2:01:00 PM,2:17 PM[b],2:33:00 PM,2:49 PM[b],3:05:00 PM,3:21 PM[b],3:37:00 PM,3:53 PM[b],4:09:00 PM,4:25 PM[b],4:41:00 PM,4:57 PM[b],5:13:00 PM,5:29 PM[b],5:45:00 PM,6:01 PM[b],6:17:00 PM,6:33 PM[b],6:49:00 PM,7:04 PM[b],7:18:00 PM,7:34 PM[b],7:47:00 PM,8:15:00 PM,8:45:00 PM,9:15:00 PM,9:45:00 PM,10:15:00 PM,10:45:00 PM,11:15:00 PM,11:45:00 PM,12:15:00 AM,12:45:00 AM,4:13:00 AM
DUNDAS ST east of CAWTHRA RD,7:27:00 AM,7:42:00 AM,7:57 AM[b],8:12:00 AM,8:27 AM[b],8:42:00 AM,8:57 AM[b],9:12:00 AM,9:27 AM[b],9:42:00 AM,9:57 AM[b],10:17:00 AM,10:33 AM[b],10:50:00 AM,11:06 AM[b],11:22:00 AM,11:38 AM[b],11:54:00 AM,12:10 PM[b],12:26:00 PM,12:42 PM[b],12:58:00 PM,1:14 PM[b],1:30:00 PM,1:46 PM[b],2:02:00 PM,2:18 PM[b],2:34:00 PM,2:50 PM[b],3:06:00 PM,3:22 PM[b],3:38:00 PM,3:54 PM[b],4:10:00 PM,4:26 PM[b],4:42:00 PM,4:58 PM[b],5:14:00 PM,5:30 PM[b],5:46:00 PM,6:02 PM[b],6:18:00 PM,6:34 PM[b],6:50:00 PM,7:05 PM[b],7:19:00 PM,7:35 PM[b],7:48:00 PM,8:16:00 PM,8:46:00 PM,9:16:00 PM,9:46:00 PM,10:16:00 PM,10:46:00 PM,11:16:00 PM,11:46:00 PM,12:16:00 AM,12:46:00 AM,4:14:00 AM
DUNDAS ST at TOMKEN RD,7:29:00 AM,7:44:00 AM,7:59 AM[b],8:14:00 AM,8:29 AM[b],8:44:00 AM,8:59 AM[b],9:14:00 AM,9:29 AM[b],9:44:00 AM,9:59 AM[b],10:19:00 AM,10:35 AM[b],10:52:00 AM,11:08 AM[b],11:24:00 AM,11:40 AM[b],11:56:00 AM,12:12 PM[b],12:28:00 PM,12:44 PM[b],1:00:00 PM,1:16 PM[b],1:32:00 PM,1:48 PM[b],2:04:00 PM,2:20 PM[b],2:36:00 PM,2:52 PM[b],3:08:00 PM,3:24 PM[b],3:40:00 PM,3:56 PM[b],4:12:00 PM,4:28 PM[b],4:44:00 PM,5:00 PM[b],5:16:00 PM,5:32 PM[b],5:48:00 PM,6:04 PM[b],6:20:00 PM,6:36 PM[b],6:52:00 PM,7:07 PM[b],7:21:00 PM,7:37 PM[b],7:50:00 PM,8:18:00 PM,8:48:00 PM,9:18:00 PM,9:48:00 PM,10:18:00 PM,10:48:00 PM,11:18:00 PM,11:48:00 PM,12:18:00 AM,12:48:00 AM,4:16:00 AM
DUNDAS ST at DIXIE RD,7:32:00 AM,7:47:00 AM,8:02 AM[b],8:17:00 AM,8:32 AM[b],8:47:00 AM,9:02 AM[b],9:17:00 AM,9:32 AM[b],9:47:00 AM,10:03 AM[b],10:24:00 AM,10:40 AM[b],10:57:00 AM,11:13 AM[b],11:29:00 AM,11:45 AM[b],12:01:00 PM,12:17 PM[b],12:33:00 PM,12:49 PM[b],1:05:00 PM,1:21 PM[b],1:37:00 PM,1:53 PM[b],2:09:00 PM,2:25 PM[b],2:41:00 PM,2:57 PM[b],3:13:00 PM,3:29 PM[b],3:45:00 PM,4:01 PM[b],4:17:00 PM,4:33 PM[b],4:49:00 PM,5:05 PM[b],5:21:00 PM,5:37 PM[b],5:53:00 PM,6:09 PM[b],6:25:00 PM,6:41 PM[b],6:57:00 PM,7:10 PM[b],7:24:00 PM,7:40 PM[b],7:53:00 PM,8:21:00 PM,8:51:00 PM,9:21:00 PM,9:51:00 PM,10:21:00 PM,10:51:00 PM,11:21:00 PM,11:51:00 PM,12:21:00 AM,12:51:00 AM,4:19:00 AM
DUNDAS ST east of DIXIE RD,7:32:00 AM,7:47:00 AM,8:02 AM[b],8:17:00 AM,8:32 AM[b],8:47:00 AM,9:02 AM[b],9:17:00 AM,9:32 AM[b],9:47:00 AM,10:03 AM[b],10:24:00 AM,10:40 AM[b],10:57:00 AM,11:13 AM[b],11:29:00 AM,11:45 AM[b],12:01:00 PM,12:17 PM[b],12:33:00 PM,12:49 PM[b],1:05:00 PM,1:21 PM[b],1:37:00 PM,1:53 PM[b],2:09:00 PM,2:25 PM[b],2:41:00 PM,2:57 PM[b],3:13:00 PM,3:29 PM[b],3:45:00 PM,4:01 PM[b],4:17:00 PM,4:33 PM[b],4:49:00 PM,5:05 PM[b],5:21:00 PM,5:37 PM[b],5:53:00 PM,6:09 PM[b],6:25:00 PM,6:41 PM[b],6:57:00 PM,7:10 PM[b],7:24:00 PM,7:40 PM[b],7:53:00 PM,8:21:00 PM,8:51:00 PM,9:21:00 PM,9:51:00 PM,10:21:00 PM,10:51:00 PM,11:21:00 PM,11:51:00 PM,12:21:00 AM,12:51:00 AM,4:19:00 AM
DUNDAS ST at WHARTON WAY,7:35:00 AM,7:50:00 AM,8:05 AM[b],8:20:00 AM,8:35 AM[b],8:50:00 AM,9:05 AM[b],9:20:00 AM,9:35 AM[b],9:50:00 AM,10:06 AM[b],10:27:00 AM,10:43 AM[b],11:00:00 AM,11:16 AM[b],11:32:00 AM,11:48 AM[b],12:04:00 PM,12:20 PM[b],12:36:00 PM,12:52 PM[b],1:08:00 PM,1:24 PM[b],1:40:00 PM,1:56 PM[b],2:12:00 PM,2:28 PM[b],2:44:00 PM,3:00 PM[b],3:16:00 PM,3:32 PM[b],3:48:00 PM,4:04 PM[b],4:20:00 PM,4:36 PM[b],4:52:00 PM,5:08 PM[b],5:24:00 PM,5:40 PM[b],5:56:00 PM,6:12 PM[b],6:28:00 PM,6:44 PM[b],7:00:00 PM,7:13 PM[b],7:27:00 PM,7:43 PM[b],7:56:00 PM,8:24:00 PM,8:54:00 PM,9:24:00 PM,9:54:00 PM,10:24:00 PM,10:54:00 PM,11:24:00 PM,11:54:00 PM,12:24:00 AM,12:54:00 AM,4:21:00 AM
DUNDAS ST at BILLINGHAM RD,7:40:00 AM,7:55:00 AM,8:10 AM[b],8:25:00 AM,8:40 AM[b],8:55:00 AM,9:10 AM[b],9:25:00 AM,9:40 AM[b],9:55:00 AM,10:12 AM[b],10:33:00 AM,10:49 AM[b],11:06:00 AM,11:22 AM[b],11:38:00 AM,11:54 AM[b],12:10:00 PM,12:26 PM[b],12:42:00 PM,12:58 PM[b],1:14:00 PM,1:30 PM[b],1:46:00 PM,2:02 PM[b],2:18:00 PM,2:34 PM[b],2:50:00 PM,3:06 PM[b],3:22:00 PM,3:38 PM[b],3:54:00 PM,4:10 PM[b],4:26:00 PM,4:42 PM[b],4:58:00 PM,5:14 PM[b],5:30:00 PM,5:46 PM[b],6:02:00 PM,6:18 PM[b],6:34:00 PM,6:50 PM[b],7:05:00 PM,7:18 PM[b],7:32:00 PM,7:48 PM[b],8:01:00 PM,8:29:00 PM,8:59:00 PM,9:29:00 PM,9:59:00 PM,10:29:00 PM,10:59:00 PM,11:29:00 PM,11:59:00 PM,12:29:00 AM,12:59:00 AM,4:26:00 AM
ISLINGTON SUBWAY DROP OFF,7:49:00 AM,8:04:00 AM,8:19 AM[b],8:34:00 AM,8:49 AM[b],9:04:00 AM,9:19 AM[b],9:34:00 AM,9:49 AM[b],10:04:00 AM,10:21 AM[b],10:42:00 AM,10:58 AM[b],11:15:00 AM,11:31 AM[b],11:47:00 AM,12:03 PM[b],12:19:00 PM,12:35 PM[b],12:51:00 PM,1:07 PM[b],1:23:00 PM,1:39 PM[b],1:55:00 PM,2:11 PM[b],2:27:00 PM,2:43 PM[b],2:59:00 PM,3:15 PM[b],3:31:00 PM,3:47 PM[b],4:03:00 PM,4:19 PM[b],4:35:00 PM,4:51 PM[b],5:07:00 PM,5:23 PM[b],5:39:00 PM,5:55 PM[b],6:11:00 PM,6:27 PM[b],6:43:00 PM,6:59 PM[b],7:14:00 PM,7:27 PM[b],7:41:00 PM,7:57 PM[b],8:10:00 PM,8:38:00 PM,9:08:00 PM,9:38:00 PM,10:08:00 PM,10:38:00 PM,11:08:00 PM,11:38:00 PM,12:08:00 AM,12:38:00 AM,1:08:00 AM,4:35:00 AM
ISLINGTON SUBWAY BUS TERMINAL PLATFORM D,7:50:00 AM,8:05:00 AM,8:20 AM[b],8:35:00 AM,8:50 AM[b],9:05:00 AM,9:20 AM[b],9:35:00 AM,9:50 AM[b],10:05:00 AM,10:22 AM[b],10:43:00 AM,10:59 AM[b],11:16:00 AM,11:32 AM[b],11:48:00 AM,12:04 PM[b],12:20:00 PM,12:36 PM[b],12:52:00 PM,1:08 PM[b],1:24:00 PM,1:40 PM[b],1:56:00 PM,2:12 PM[b],2:28:00 PM,2:44 PM[b],3:00:00 PM,3:16 PM[b],3:32:00 PM,3:48 PM[b],4:04:00 PM,4:20 PM[b],4:36:00 PM,4:52 PM[b],5:08:00 PM,5:24 PM[b],5:40:00 PM,5:56 PM[b],6:12:00 PM,6:28 PM[b],6:44:00 PM,7:00 PM[b],7:15:00 PM,7:28 PM[b],7:42:00 PM,7:58 PM[b],8:11:00 PM,8:39:00 PM,9:09:00 PM,9:39:00 PM,10:09:00 PM,10:39:00 PM,11:09:00 PM,11:39:00 PM,12:09:00 AM,12:39:00 AM,1:09:00 AM,4:36:00 AM
