AQUITAINE AVE at EDENWOOD DR,6:03:00 AM,6:24:00 AM,6:49:00 AM,7:13:00 AM,7:35:00 AM
EDENWOOD DR at TOURS RD,6:08:00 AM,6:29:00 AM,6:54:00 AM,7:18:00 AM,7:40:00 AM
MONTEVIDEO RD at ATHERLY CRES (east leg),6:11:00 AM,6:32:00 AM,6:57:00 AM,7:21:00 AM,7:43:00 AM
BATTLEFORD RD at GLEN ERIN DR,6:15:00 AM,6:36:00 AM,7:01:00 AM,7:26:00 AM,7:48:00 AM
MEADOWVALE GO STATION PLATFORM A,6:19:00 AM,6:40:00 AM,7:05:00 AM,7:30:00 AM,7:53:00 AM
