WESTWOOD MALL BUS TERMINAL PLATFORM E,6:00:00 AM
DERRY RD west of GOREWAY DR[b],6:04:00 AM
DERRY RD at AIRPORT RD,6:07:00 AM
DIXIE RD at DIRECTOR GATE,6:16:00 AM
COURTNEYPARK DR east of DIXIE RD,6:19:00 AM
NETHERHART RD south of ROMANI CRT,6:25:00 AM
BRITANNIA RD at NETHERHART RD,6:25:00 AM
BRITANNIA RD at MIDFIELD RD,6:28:00 AM
BRITANNIA RD north of INFIELD TUNNEL RD,6:31:00 AM
