MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM J,5:06:00 AM,5:36:00 AM,6:06:00 AM,6:36:00 AM,6:56:00 AM,7:16:00 AM,7:36:00 AM,7:56:00 AM,8:14:00 AM,8:32:00 AM,9:01:00 AM,9:32:00 AM,10:03:00 AM,10:34:00 AM,11:05:00 AM,11:36:00 AM,12:07:00 PM,12:38:00 PM,1:09:00 PM,1:40:00 PM,2:11:00 PM,2:42:00 PM,3:13:00 PM,3:39:00 PM,3:59:00 PM,4:19:00 PM,4:39:00 PM,4:59:00 PM,5:19:00 PM,5:39:00 PM,5:59:00 PM,6:19:00 PM,6:39:00 PM,7:10:00 PM,7:37:00 PM,8:07:00 PM,8:36:00 PM,9:06:00 PM,9:36:00 PM,10:06:00 PM,10:36:00 PM,11:06:00 PM,11:36:00 PM,12:09:00 AM,,
MILLERS GROVE at ARNETT CRT,5:10:00 AM,5:40:00 AM,6:10:00 AM,6:41:00 AM,7:01:00 AM,7:21:00 AM,7:41:00 AM,8:01:00 AM,8:19:00 AM,8:37:00 AM,9:06:00 AM,9:37:00 AM,10:08:00 AM,10:39:00 AM,11:10:00 AM,11:41:00 AM,12:12:00 PM,12:43:00 PM,1:14:00 PM,1:45:00 PM,2:16:00 PM,2:47:00 PM,3:18:00 PM,3:44:00 PM,4:04:00 PM,4:24:00 PM,4:44:00 PM,5:04:00 PM,5:24:00 PM,5:44:00 PM,6:03:00 PM,6:23:00 PM,6:43:00 PM,7:14:00 PM,7:41:00 PM,8:11:00 PM,8:40:00 PM,9:10:00 PM,9:40:00 PM,10:10:00 PM,10:40:00 PM,11:10:00 PM,11:40:00 PM,12:13:00 AM,,
WINDWOOD DR at BUCKLEPOST CRES,5:17:00 AM,5:47:00 AM,6:17:00 AM,6:48:00 AM,7:08:00 AM,7:28:00 AM,7:48:00 AM,8:08:00 AM,8:26:00 AM,8:44:00 AM,9:13:00 AM,9:43:00 AM,10:14:00 AM,10:45:00 AM,11:16:00 AM,11:47:00 AM,12:18:00 PM,12:49:00 PM,1:20:00 PM,1:51:00 PM,2:22:00 PM,2:53:00 PM,3:24:00 PM,3:50:00 PM,4:10:00 PM,4:31:00 PM,4:51:00 PM,5:11:00 PM,5:31:00 PM,5:51:00 PM,6:10:00 PM,6:30:00 PM,6:50:00 PM,7:21:00 PM,7:48:00 PM,8:18:00 PM,8:46:00 PM,9:16:00 PM,9:46:00 PM,10:16:00 PM,10:46:00 PM,11:16:00 PM,11:46:00 PM,12:19:00 AM,,
WINDWOOD DR at GLEN ERIN DR,5:17:00 AM,5:47:00 AM,6:17:00 AM,6:48:00 AM,7:08:00 AM,7:28:00 AM,7:48:00 AM,8:08:00 AM,8:26:00 AM,8:44:00 AM,9:13:00 AM,9:43:00 AM,10:14:00 AM,10:45:00 AM,11:16:00 AM,11:47:00 AM,12:18:00 PM,12:49:00 PM,1:20:00 PM,1:51:00 PM,2:22:00 PM,2:53:00 PM,3:24:00 PM,3:50:00 PM,4:10:00 PM,4:31:00 PM,4:51:00 PM,5:11:00 PM,5:31:00 PM,5:51:00 PM,6:10:00 PM,6:30:00 PM,6:50:00 PM,7:21:00 PM,7:48:00 PM,8:18:00 PM,8:46:00 PM,9:16:00 PM,9:46:00 PM,10:16:00 PM,10:46:00 PM,11:16:00 PM,11:46:00 PM,12:19:00 AM,,
VISTA BLVD at TURNEY DR,5:21:00 AM,5:51:00 AM,6:21:00 AM,6:52:00 AM,7:12:00 AM,7:32:00 AM,7:52:00 AM,8:12:00 AM,8:30:00 AM,8:49:00 AM,9:18:00 AM,9:48:00 AM,10:19:00 AM,10:50:00 AM,11:21:00 AM,11:52:00 AM,12:23:00 PM,12:54:00 PM,1:25:00 PM,1:56:00 PM,2:27:00 PM,2:58:00 PM,3:29:00 PM,3:55:00 PM,4:15:00 PM,4:36:00 PM,4:56:00 PM,5:16:00 PM,5:36:00 PM,5:56:00 PM,6:14:00 PM,6:34:00 PM,6:54:00 PM,7:25:00 PM,7:52:00 PM,8:22:00 PM,8:50:00 PM,9:20:00 PM,9:50:00 PM,10:20:00 PM,10:50:00 PM,11:20:00 PM,11:50:00 PM,12:23:00 AM,,
JOYMAR DR at TANNERY ST,2:45 PM[G],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEEN ST at BARRY AVE,5:26:00 AM,5:56:00 AM,6:26:00 AM,6:57:00 AM,7:18:00 AM,7:38:00 AM,7:58:00 AM,8:18:00 AM,8:35:00 AM,8:54:00 AM,9:23:00 AM,9:53:00 AM,10:24:00 AM,10:55:00 AM,11:26:00 AM,11:57:00 AM,12:28:00 PM,12:59:00 PM,1:30:00 PM,2:01:00 PM,2:32:00 PM,2:50 PM[G],3:03:00 PM,3:34:00 PM,4:00:00 PM,4:20:00 PM,4:41:00 PM,5:01:00 PM,5:21:00 PM,5:41:00 PM,6:01:00 PM,6:19:00 PM,6:39:00 PM,6:59:00 PM,7:30:00 PM,7:57:00 PM,8:27:00 PM,8:55:00 PM,9:25:00 PM,9:55:00 PM,10:25:00 PM,10:55:00 PM,11:25:00 PM,11:55:00 PM,12:28:00 AM,
EGLINTON AVE at MISSISSAUGA RD,5:30:00 AM,6:00:00 AM,6:30:00 AM,7:01:00 AM,7:22:00 AM,7:42:00 AM,8:02:00 AM,8:22:00 AM,8:39:00 AM,8:58:00 AM,9:27:00 AM,9:57:00 AM,10:28:00 AM,10:59:00 AM,11:30:00 AM,12:01:00 PM,12:32:00 PM,1:03:00 PM,1:34:00 PM,2:05:00 PM,2:36:00 PM,2:53 PM[G],3:07:00 PM,3:38:00 PM,4:04:00 PM,4:24:00 PM,4:45:00 PM,5:05:00 PM,5:25:00 PM,5:45:00 PM,6:05:00 PM,6:23:00 PM,6:43:00 PM,7:03:00 PM,7:34:00 PM,8:01:00 PM,8:31:00 PM,8:59:00 PM,9:29:00 PM,9:59:00 PM,10:29:00 PM,10:59:00 PM,11:29:00 PM,11:59:00 PM,12:32:00 AM,
CREDITVIEW RD at EGLINTON AVE,5:33:00 AM,6:04:00 AM,6:34:00 AM,7:05:00 AM,7:26:00 AM,7:46:00 AM,8:06:00 AM,8:26:00 AM,8:42:00 AM,9:01:00 AM,9:30:00 AM,10:00:00 AM,10:31:00 AM,11:02:00 AM,11:33:00 AM,12:04:00 PM,12:35:00 PM,1:06:00 PM,1:37:00 PM,2:08:00 PM,2:39:00 PM,2:56 PM[G],3:11:00 PM,3:42:00 PM,4:08:00 PM,4:28:00 PM,4:49:00 PM,5:09:00 PM,5:29:00 PM,5:49:00 PM,6:09:00 PM,6:27:00 PM,6:46:00 PM,7:06:00 PM,7:37:00 PM,8:04:00 PM,8:34:00 PM,9:02:00 PM,9:32:00 PM,10:02:00 PM,10:32:00 PM,11:02:00 PM,11:32:00 PM,12:02:00 AM,12:35:00 AM,
CREDITVIEW RD at MELIA DR,5:37:00 AM,6:08:00 AM,6:22:00 AM,6:38:00 AM,7:09:00 AM,7:30:00 AM,7:50:00 AM,8:10:00 AM,8:30:00 AM,8:46:00 AM,9:05:00 AM,9:34:00 AM,10:04:00 AM,10:35:00 AM,11:06:00 AM,11:37:00 AM,12:08:00 PM,12:39:00 PM,1:10:00 PM,1:41:00 PM,2:12:00 PM,2:43:00 PM,2:59 PM[G],3:15:00 PM,3:47:00 PM,4:13:00 PM,4:33:00 PM,4:54:00 PM,5:14:00 PM,5:34:00 PM,5:54:00 PM,6:14:00 PM,6:32:00 PM,6:50:00 PM,7:10:00 PM,7:41:00 PM,8:08:00 PM,8:38:00 PM,9:06:00 PM,9:36:00 PM,10:06:00 PM,10:36:00 PM,11:06:00 PM,11:36:00 PM,12:06:00 AM,12:39:00 AM
