TOMKEN RD at MEYERSIDE DR,6:04:00 AM,6:23:00 AM,6:35:00 AM,6:46:00 AM,6:57:00 AM,7:08:00 AM,7:19:00 AM,7:30:00 AM,7:41:00 AM,7:52:00 AM,7:57 AM[G],8:03:00 AM,8:14:00 AM,8:25:00 AM,8:36:00 AM,8:47:00 AM,8:57:00 AM,9:08:00 AM,9:19:00 AM,9:30:00 AM,9:39:00 AM,9:49:00 AM,9:59:00 AM,10:10:00 AM,10:20:00 AM,10:43:00 AM,11:06:00 AM,11:29:00 AM,11:52:00 AM,12:15:00 PM,12:38:00 PM,1:01:00 PM,1:24:00 PM,1:47:00 PM,2:10:00 PM,2:23:00 PM,2:36:00 PM,2:49:00 PM,3:00:00 PM,3:11:00 PM,3:21:00 PM,3:31:00 PM,3:42:00 PM,3:52:00 PM,4:02:00 PM,4:13:00 PM,4:24:00 PM,4:35:00 PM,4:46:00 PM,4:57:00 PM,5:08:00 PM,5:19:00 PM,5:30:00 PM,5:41:00 PM,5:52:00 PM,6:03:00 PM,6:13:00 PM,6:24:00 PM,6:35:00 PM,6:45:00 PM,6:55:00 PM,7:04:00 PM,7:15:00 PM,7:27:00 PM,7:48:00 PM,8:13:00 PM,8:47:00 PM,9:21:00 PM,9:55:00 PM,10:29:00 PM,11:03:00 PM,11:36:00 PM,12:11:00 AM,12:50:00 AM
TOMKEN RD at COURTNEYPARK DR,6:05:00 AM,6:24:00 AM,6:36:00 AM,6:47:00 AM,6:58:00 AM,7:09:00 AM,7:20:00 AM,7:31:00 AM,7:42:00 AM,7:53:00 AM,7:58 AM[G],8:04:00 AM,8:15:00 AM,8:26:00 AM,8:37:00 AM,8:48:00 AM,8:58:00 AM,9:09:00 AM,9:20:00 AM,9:31:00 AM,9:40:00 AM,9:50:00 AM,10:00:00 AM,10:11:00 AM,10:21:00 AM,10:44:00 AM,11:07:00 AM,11:30:00 AM,11:53:00 AM,12:16:00 PM,12:39:00 PM,1:02:00 PM,1:25:00 PM,1:48:00 PM,2:11:00 PM,2:24:00 PM,2:37:00 PM,2:50:00 PM,3:01:00 PM,3:12:00 PM,3:22:00 PM,3:32:00 PM,3:43:00 PM,3:53:00 PM,4:03:00 PM,4:14:00 PM,4:25:00 PM,4:36:00 PM,4:47:00 PM,4:58:00 PM,5:09:00 PM,5:20:00 PM,5:31:00 PM,5:42:00 PM,5:53:00 PM,6:04:00 PM,6:14:00 PM,6:25:00 PM,6:36:00 PM,6:46:00 PM,6:56:00 PM,7:05:00 PM,7:16:00 PM,7:28:00 PM,7:49:00 PM,8:14:00 PM,8:48:00 PM,9:22:00 PM,9:56:00 PM,10:30:00 PM,11:04:00 PM,11:37:00 PM,12:12:00 AM,12:51:00 AM
TOMKEN RD at PACIFIC CIRCLE,6:06:00 AM,6:25:00 AM,6:37:00 AM,6:48:00 AM,6:59:00 AM,7:10:00 AM,7:21:00 AM,7:32:00 AM,7:43:00 AM,7:54:00 AM,7:59 AM[G],8:05:00 AM,8:16:00 AM,8:27:00 AM,8:38:00 AM,8:49:00 AM,8:59:00 AM,9:10:00 AM,9:21:00 AM,9:32:00 AM,9:41:00 AM,9:51:00 AM,10:01:00 AM,10:12:00 AM,10:22:00 AM,10:45:00 AM,11:08:00 AM,11:31:00 AM,11:54:00 AM,12:17:00 PM,12:40:00 PM,1:03:00 PM,1:26:00 PM,1:49:00 PM,2:12:00 PM,2:25:00 PM,2:38:00 PM,2:51:00 PM,3:02:00 PM,3:13:00 PM,3:23:00 PM,3:33:00 PM,3:44:00 PM,3:54:00 PM,4:04:00 PM,4:15:00 PM,4:26:00 PM,4:37:00 PM,4:48:00 PM,4:59:00 PM,5:10:00 PM,5:21:00 PM,5:32:00 PM,5:43:00 PM,5:54:00 PM,6:05:00 PM,6:15:00 PM,6:26:00 PM,6:37:00 PM,6:47:00 PM,6:57:00 PM,7:06:00 PM,7:17:00 PM,7:29:00 PM,7:50:00 PM,8:15:00 PM,8:49:00 PM,9:23:00 PM,9:57:00 PM,10:31:00 PM,11:05:00 PM,11:38:00 PM,12:13:00 AM,12:52:00 AM
TOMKEN RD at DERRY RD,6:09:00 AM,6:28:00 AM,6:41:00 AM,6:52:00 AM,7:03:00 AM,7:14:00 AM,7:25:00 AM,7:36:00 AM,7:47:00 AM,7:58:00 AM,8:03 AM[G],8:09:00 AM,8:20:00 AM,8:31:00 AM,8:42:00 AM,8:52:00 AM,9:02:00 AM,9:13:00 AM,9:24:00 AM,9:35:00 AM,9:44:00 AM,9:54:00 AM,10:04:00 AM,10:15:00 AM,10:25:00 AM,10:48:00 AM,11:11:00 AM,11:34:00 AM,11:57:00 AM,12:20:00 PM,12:43:00 PM,1:06:00 PM,1:29:00 PM,1:52:00 PM,2:15:00 PM,2:28:00 PM,2:41:00 PM,2:54:00 PM,3:05:00 PM,3:16:00 PM,3:26:00 PM,3:37:00 PM,3:49:00 PM,3:59:00 PM,4:09:00 PM,4:20:00 PM,4:31:00 PM,4:42:00 PM,4:53:00 PM,5:04:00 PM,5:15:00 PM,5:26:00 PM,5:37:00 PM,5:48:00 PM,5:59:00 PM,6:09:00 PM,6:19:00 PM,6:29:00 PM,6:40:00 PM,6:50:00 PM,7:00:00 PM,7:09:00 PM,7:20:00 PM,7:32:00 PM,7:53:00 PM,8:18:00 PM,8:52:00 PM,9:26:00 PM,10:00:00 PM,10:34:00 PM,11:08:00 PM,11:41:00 PM,12:16:00 AM,12:55:00 AM
CARDIFF BLVD at TOMKEN RD,6:11:00 AM,6:30:00 AM,6:43:00 AM,6:54:00 AM,7:05:00 AM,7:16:00 AM,7:27:00 AM,7:38:00 AM,7:49:00 AM,8:00:00 AM,8:05 AM[G],8:11:00 AM,8:22:00 AM,8:33:00 AM,8:44:00 AM,8:54:00 AM,9:04:00 AM,9:15:00 AM,9:26:00 AM,9:37:00 AM,9:46:00 AM,9:56:00 AM,10:06:00 AM,10:17:00 AM,10:27:00 AM,10:50:00 AM,11:13:00 AM,11:36:00 AM,11:59:00 AM,12:22:00 PM,12:45:00 PM,1:08:00 PM,1:31:00 PM,1:54:00 PM,2:17:00 PM,2:30:00 PM,2:43:00 PM,2:56:00 PM,3:07:00 PM,3:18:00 PM,3:28:00 PM,3:39:00 PM,3:51:00 PM,4:01:00 PM,4:11:00 PM,4:22:00 PM,4:33:00 PM,4:44:00 PM,4:55:00 PM,5:06:00 PM,5:17:00 PM,5:28:00 PM,5:39:00 PM,5:50:00 PM,6:01:00 PM,6:11:00 PM,6:21:00 PM,6:31:00 PM,6:42:00 PM,6:52:00 PM,7:02:00 PM,7:11:00 PM,7:22:00 PM,7:34:00 PM,7:55:00 PM,8:20:00 PM,8:54:00 PM,9:28:00 PM,10:02:00 PM,10:36:00 PM,11:10:00 PM,11:43:00 PM,12:18:00 AM,12:57:00 AM
LORIMAR DR at CARDIFF BLVD,6:11:00 AM,6:30:00 AM,6:43:00 AM,6:54:00 AM,7:05:00 AM,7:16:00 AM,7:27:00 AM,7:38:00 AM,7:49:00 AM,8:00:00 AM,8:05 AM[G],8:11:00 AM,8:22:00 AM,8:33:00 AM,8:44:00 AM,8:54:00 AM,9:04:00 AM,9:15:00 AM,9:26:00 AM,9:37:00 AM,9:46:00 AM,9:56:00 AM,10:06:00 AM,10:17:00 AM,10:27:00 AM,10:50:00 AM,11:13:00 AM,11:36:00 AM,11:59:00 AM,12:22:00 PM,12:45:00 PM,1:08:00 PM,1:31:00 PM,1:54:00 PM,2:17:00 PM,2:30:00 PM,2:43:00 PM,2:56:00 PM,3:07:00 PM,3:18:00 PM,3:28:00 PM,3:39:00 PM,3:51:00 PM,4:01:00 PM,4:11:00 PM,4:22:00 PM,4:33:00 PM,4:44:00 PM,4:55:00 PM,5:06:00 PM,5:17:00 PM,5:28:00 PM,5:39:00 PM,5:50:00 PM,6:01:00 PM,6:11:00 PM,6:21:00 PM,6:31:00 PM,6:42:00 PM,6:52:00 PM,7:02:00 PM,7:11:00 PM,7:22:00 PM,7:34:00 PM,7:55:00 PM,8:20:00 PM,8:54:00 PM,9:28:00 PM,10:02:00 PM,10:36:00 PM,11:10:00 PM,11:43:00 PM,12:18:00 AM,12:57:00 AM
LORIMAR DR at MAXWELL RD,6:12:00 AM,6:31:00 AM,6:44:00 AM,6:55:00 AM,7:06:00 AM,7:17:00 AM,7:28:00 AM,7:39:00 AM,7:50:00 AM,8:01:00 AM,8:06 AM[G],8:12:00 AM,8:23:00 AM,8:34:00 AM,8:45:00 AM,8:55:00 AM,9:05:00 AM,9:16:00 AM,9:27:00 AM,9:38:00 AM,9:47:00 AM,9:57:00 AM,10:07:00 AM,10:18:00 AM,10:28:00 AM,10:51:00 AM,11:14:00 AM,11:37:00 AM,12:00:00 PM,12:23:00 PM,12:46:00 PM,1:09:00 PM,1:32:00 PM,1:55:00 PM,2:18:00 PM,2:31:00 PM,2:44:00 PM,2:57:00 PM,3:08:00 PM,3:19:00 PM,3:29:00 PM,3:40:00 PM,3:52:00 PM,4:02:00 PM,4:12:00 PM,4:23:00 PM,4:34:00 PM,4:45:00 PM,4:56:00 PM,5:07:00 PM,5:18:00 PM,5:29:00 PM,5:40:00 PM,5:51:00 PM,6:02:00 PM,6:12:00 PM,6:22:00 PM,6:32:00 PM,6:43:00 PM,6:53:00 PM,7:03:00 PM,7:12:00 PM,7:23:00 PM,7:35:00 PM,7:56:00 PM,8:21:00 PM,8:55:00 PM,9:29:00 PM,10:03:00 PM,10:37:00 PM,11:11:00 PM,11:44:00 PM,12:19:00 AM,12:58:00 AM
LORIMAR DR east of MAXWELL RD,6:12:00 AM,6:31:00 AM,6:44:00 AM,6:55:00 AM,7:06:00 AM,7:17:00 AM,7:28:00 AM,7:39:00 AM,7:50:00 AM,8:01:00 AM,8:06 AM[G],8:12:00 AM,8:23:00 AM,8:34:00 AM,8:45:00 AM,8:55:00 AM,9:05:00 AM,9:16:00 AM,9:27:00 AM,9:38:00 AM,9:47:00 AM,9:57:00 AM,10:07:00 AM,10:18:00 AM,10:28:00 AM,10:51:00 AM,11:14:00 AM,11:37:00 AM,12:00:00 PM,12:23:00 PM,12:46:00 PM,1:09:00 PM,1:32:00 PM,1:55:00 PM,2:18:00 PM,2:31:00 PM,2:44:00 PM,2:57:00 PM,3:08:00 PM,3:19:00 PM,3:29:00 PM,3:40:00 PM,3:52:00 PM,4:02:00 PM,4:12:00 PM,4:23:00 PM,4:34:00 PM,4:45:00 PM,4:56:00 PM,5:07:00 PM,5:18:00 PM,5:29:00 PM,5:40:00 PM,5:51:00 PM,6:02:00 PM,6:12:00 PM,6:22:00 PM,6:32:00 PM,6:43:00 PM,6:53:00 PM,7:03:00 PM,7:12:00 PM,7:23:00 PM,7:35:00 PM,7:56:00 PM,8:21:00 PM,8:55:00 PM,9:29:00 PM,10:03:00 PM,10:37:00 PM,11:11:00 PM,11:44:00 PM,12:19:00 AM,12:58:00 AM
CARDIFF BLVD east of TOMKEN RD,6:14:00 AM,6:33:00 AM,6:46:00 AM,6:57:00 AM,7:08:00 AM,7:19:00 AM,7:30:00 AM,7:41:00 AM,7:52:00 AM,8:03:00 AM,8:08 AM[G],8:14:00 AM,8:25:00 AM,8:36:00 AM,8:47:00 AM,8:57:00 AM,9:07:00 AM,9:18:00 AM,9:29:00 AM,9:40:00 AM,9:49:00 AM,9:59:00 AM,10:09:00 AM,10:20:00 AM,10:30:00 AM,10:53:00 AM,11:16:00 AM,11:39:00 AM,12:02:00 PM,12:25:00 PM,12:48:00 PM,1:11:00 PM,1:34:00 PM,1:57:00 PM,2:20:00 PM,2:33:00 PM,2:46:00 PM,2:59:00 PM,3:10:00 PM,3:21:00 PM,3:31:00 PM,3:42:00 PM,3:54:00 PM,4:04:00 PM,4:14:00 PM,4:25:00 PM,4:36:00 PM,4:47:00 PM,4:58:00 PM,5:09:00 PM,5:20:00 PM,5:31:00 PM,5:42:00 PM,5:53:00 PM,6:04:00 PM,6:14:00 PM,6:24:00 PM,6:34:00 PM,6:45:00 PM,6:55:00 PM,7:05:00 PM,7:14:00 PM,7:25:00 PM,7:37:00 PM,7:58:00 PM,8:23:00 PM,8:57:00 PM,9:31:00 PM,10:05:00 PM,10:39:00 PM,11:13:00 PM,11:46:00 PM,12:21:00 AM,1:00:00 AM
CARDIFF BLVD at LORIMAR DR,6:15:00 AM,6:34:00 AM,6:47:00 AM,6:58:00 AM,7:09:00 AM,7:20:00 AM,7:31:00 AM,7:42:00 AM,7:53:00 AM,8:04:00 AM,8:09 AM[G],8:15:00 AM,8:26:00 AM,8:37:00 AM,8:48:00 AM,8:58:00 AM,9:08:00 AM,9:19:00 AM,9:30:00 AM,9:41:00 AM,9:50:00 AM,10:00:00 AM,10:10:00 AM,10:21:00 AM,10:31:00 AM,10:54:00 AM,11:17:00 AM,11:40:00 AM,12:03:00 PM,12:26:00 PM,12:49:00 PM,1:12:00 PM,1:35:00 PM,1:58:00 PM,2:21:00 PM,2:34:00 PM,2:47:00 PM,3:00:00 PM,3:11:00 PM,3:22:00 PM,3:32:00 PM,3:43:00 PM,3:55:00 PM,4:05:00 PM,4:15:00 PM,4:26:00 PM,4:37:00 PM,4:48:00 PM,4:59:00 PM,5:10:00 PM,5:21:00 PM,5:32:00 PM,5:43:00 PM,5:54:00 PM,6:05:00 PM,6:15:00 PM,6:25:00 PM,6:35:00 PM,6:46:00 PM,6:56:00 PM,7:06:00 PM,7:15:00 PM,7:26:00 PM,7:38:00 PM,7:59:00 PM,8:24:00 PM,8:58:00 PM,9:32:00 PM,10:06:00 PM,10:40:00 PM,11:14:00 PM,11:47:00 PM,12:22:00 AM,1:01:00 AM
