EGLINTON AVE west of HURONTARIO ST,7:54:00 AM,8:24:00 AM,8:54:00 AM,9:24:00 AM,9:55:00 AM,10:29:00 AM,11:02:00 AM,11:37:00 AM,12:12:00 PM,12:47:00 PM,1:22:00 PM,1:57:00 PM,2:32:00 PM,3:07:00 PM,3:42:00 PM,4:17:00 PM,4:52:00 PM,5:27:00 PM,6:02:00 PM,6:36:00 PM,7:09:00 PM,7:41:00 PM,8:12:00 PM,8:42:00 PM,9:10:00 PM,9:40:00 PM,10:10:00 PM,10:40:00 PM,11:10:00 PM,11:40:00 PM,,,,
EGLINTON AVE at MAVIS RD,7:59:00 AM,8:29:00 AM,8:59:00 AM,9:29:00 AM,10:00:00 AM,10:35:00 AM,11:08:00 AM,11:43:00 AM,12:18:00 PM,12:53:00 PM,1:28:00 PM,2:03:00 PM,2:38:00 PM,3:13:00 PM,3:48:00 PM,4:23:00 PM,4:58:00 PM,5:33:00 PM,6:08:00 PM,6:42:00 PM,7:15:00 PM,7:47:00 PM,8:18:00 PM,8:48:00 PM,9:16:00 PM,9:46:00 PM,10:16:00 PM,10:46:00 PM,11:16:00 PM,11:46:00 PM,,,,
EGLINTON AVE at CREDITVIEW RD,8:03:00 AM,8:33:00 AM,9:03:00 AM,9:33:00 AM,10:04:00 AM,10:40:00 AM,11:13:00 AM,11:48:00 AM,12:23:00 PM,12:58:00 PM,1:33:00 PM,2:08:00 PM,2:43:00 PM,3:18:00 PM,3:53:00 PM,4:28:00 PM,5:03:00 PM,5:38:00 PM,6:13:00 PM,6:47:00 PM,7:19:00 PM,7:51:00 PM,8:22:00 PM,8:52:00 PM,9:20:00 PM,9:50:00 PM,10:20:00 PM,10:50:00 PM,11:20:00 PM,11:50:00 PM,,,,
EGLINTON AVE west of CREDITVIEW RD,8:03:00 AM,8:33:00 AM,9:03:00 AM,9:33:00 AM,10:04:00 AM,10:40:00 AM,11:13:00 AM,11:48:00 AM,12:23:00 PM,12:58:00 PM,1:33:00 PM,2:08:00 PM,2:43:00 PM,3:18:00 PM,3:53:00 PM,4:28:00 PM,5:03:00 PM,5:38:00 PM,6:13:00 PM,6:47:00 PM,7:19:00 PM,7:51:00 PM,8:22:00 PM,8:52:00 PM,9:20:00 PM,9:50:00 PM,10:20:00 PM,10:50:00 PM,11:20:00 PM,11:50:00 PM,,,,
EGLINTON AVE at ERIN MILLS PKY,8:07:00 AM,8:37:00 AM,9:07:00 AM,9:37:00 AM,10:08:00 AM,10:45:00 AM,11:18:00 AM,11:53:00 AM,12:28:00 PM,1:03:00 PM,1:38:00 PM,2:13:00 PM,2:48:00 PM,3:23:00 PM,3:58:00 PM,4:33:00 PM,5:08:00 PM,5:43:00 PM,6:18:00 PM,6:52:00 PM,7:23:00 PM,7:55:00 PM,8:26:00 PM,8:56:00 PM,9:24:00 PM,9:54:00 PM,10:24:00 PM,10:54:00 PM,11:24:00 PM,11:54:00 PM,,,,
EGLINTON AVE at ERIN MILLS TOWN CENTRE SOUTH GATE,8:07:00 AM,8:37:00 AM,9:07:00 AM,9:37:00 AM,10:08:00 AM,10:46:00 AM,11:19:00 AM,11:54:00 AM,12:29:00 PM,1:04:00 PM,1:39:00 PM,2:14:00 PM,2:49:00 PM,3:24:00 PM,3:59:00 PM,4:34:00 PM,5:09:00 PM,5:44:00 PM,6:19:00 PM,6:53:00 PM,7:24:00 PM,7:56:00 PM,8:27:00 PM,8:56:00 PM,9:24:00 PM,9:54:00 PM,10:24:00 PM,10:54:00 PM,11:24:00 PM,11:54:00 PM,,,,
EGLINTON AVE at WINSTON CHURCHILL BLVD,6:15:00 AM,6:45:00 AM,7:15:00 AM,7:45:00 AM,8:10:00 AM,8:40:00 AM,9:10:00 AM,9:40:00 AM,10:11:00 AM,10:50:00 AM,11:23:00 AM,11:58:00 AM,12:33:00 PM,1:08:00 PM,1:43:00 PM,2:18:00 PM,2:53:00 PM,3:28:00 PM,4:03:00 PM,4:38:00 PM,5:13:00 PM,5:48:00 PM,6:23:00 PM,6:57:00 PM,7:27:00 PM,7:59:00 PM,8:30:00 PM,8:59:00 PM,9:27:00 PM,9:57:00 PM,10:27:00 PM,10:57:00 PM,11:27:00 PM,11:57:00 PM
EGLINTON AVE at TENTH LINE,6:16:00 AM,6:46:00 AM,7:16:00 AM,7:46:00 AM,8:11:00 AM,8:41:00 AM,9:11:00 AM,9:41:00 AM,10:12:00 AM,10:51:00 AM,11:24:00 AM,11:59:00 AM,12:34:00 PM,1:09:00 PM,1:44:00 PM,2:19:00 PM,2:54:00 PM,3:29:00 PM,4:04:00 PM,4:39:00 PM,5:14:00 PM,5:49:00 PM,6:24:00 PM,6:58:00 PM,7:28:00 PM,8:00:00 PM,8:31:00 PM,9:00:00 PM,9:28:00 PM,9:58:00 PM,10:28:00 PM,10:58:00 PM,11:28:00 PM,11:58:00 PM
NINTH LINE north of SKYVIEW ST,6:19:00 AM,6:49:00 AM,7:19:00 AM,7:49:00 AM,8:14:00 AM,8:44:00 AM,9:14:00 AM,9:44:00 AM,10:15:00 AM,10:54:00 AM,11:27:00 AM,12:02:00 PM,12:37:00 PM,1:12:00 PM,1:47:00 PM,2:22:00 PM,2:57:00 PM,3:32:00 PM,4:07:00 PM,4:42:00 PM,5:17:00 PM,5:52:00 PM,6:27:00 PM,7:01:00 PM,7:31:00 PM,8:03:00 PM,8:34:00 PM,9:03:00 PM,9:31:00 PM,10:01:00 PM,10:31:00 PM,11:01:00 PM,11:31:00 PM,12:01:00 AM
ERIN CENTRE BLVD at LONGFORD DR,6:20:00 AM,6:50:00 AM,7:20:00 AM,7:50:00 AM,8:15:00 AM,8:45:00 AM,9:15:00 AM,9:45:00 AM,10:16:00 AM,10:55:00 AM,11:28:00 AM,12:03:00 PM,12:38:00 PM,1:13:00 PM,1:48:00 PM,2:23:00 PM,2:58:00 PM,3:33:00 PM,4:08:00 PM,4:43:00 PM,5:18:00 PM,5:53:00 PM,6:28:00 PM,7:02:00 PM,7:32:00 PM,8:04:00 PM,8:35:00 PM,9:04:00 PM,9:32:00 PM,10:02:00 PM,10:32:00 PM,11:02:00 PM,11:32:00 PM,12:02:00 AM
