GLENGARRY RD at DUNDAS ST,8:14:00 AM,8:59:00 AM,9:44:00 AM,10:29:00 AM,11:14:00 AM,11:59:00 AM,12:44:00 PM,1:29:00 PM,2:14:00 PM,2:59:00 PM,3:44:00 PM,4:29:00 PM,5:14:00 PM,5:59:00 PM,6:44:00 PM,7:29:00 PM,8:14:00 PM,8:59:00 PM,
CEDARGLEN GATE at HEMUS SQUARE,8:16:00 AM,9:01:00 AM,9:46:00 AM,10:31:00 AM,11:16:00 AM,12:01:00 PM,12:46:00 PM,1:31:00 PM,2:16:00 PM,3:01:00 PM,3:46:00 PM,4:31:00 PM,5:16:00 PM,6:01:00 PM,6:46:00 PM,7:31:00 PM,8:16:00 PM,9:01:00 PM,
DUNDAS ST at ERINDALE STATION RD,7:34:00 AM,8:17:00 AM,9:02:00 AM,9:47:00 AM,10:32:00 AM,11:17:00 AM,12:02:00 PM,12:47:00 PM,1:32:00 PM,2:17:00 PM,3:02:00 PM,3:47:00 PM,4:32:00 PM,5:17:00 PM,6:02:00 PM,6:47:00 PM,7:32:00 PM,8:17:00 PM,9:02:00 PM
MISSISSAUGA RD at DUNDAS ST,7:37:00 AM,8:20:00 AM,9:05:00 AM,9:50:00 AM,10:35:00 AM,11:20:00 AM,12:05:00 PM,12:50:00 PM,1:35:00 PM,2:20:00 PM,3:05:00 PM,3:50:00 PM,4:35:00 PM,5:20:00 PM,6:05:00 PM,6:50:00 PM,7:35:00 PM,8:20:00 PM,9:05:00 PM
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,7:41:00 AM,8:24:00 AM,9:09:00 AM,9:54:00 AM,10:39:00 AM,11:24:00 AM,12:09:00 PM,12:54:00 PM,1:39:00 PM,2:24:00 PM,3:09:00 PM,3:54:00 PM,4:39:00 PM,5:24:00 PM,6:09:00 PM,6:54:00 PM,7:39:00 PM,8:24:00 PM,9:09:00 PM
MISSISSAUGA RD at BURNHAMTHORPE RD,7:44:00 AM,8:27:00 AM,9:12:00 AM,9:57:00 AM,10:42:00 AM,11:27:00 AM,12:12:00 PM,12:57:00 PM,1:42:00 PM,2:27:00 PM,3:12:00 PM,3:57:00 PM,4:42:00 PM,5:27:00 PM,6:12:00 PM,6:57:00 PM,7:42:00 PM,8:27:00 PM,9:12:00 PM
MISSISSAUGA RD at EGLINTON AVE,7:48:00 AM,8:31:00 AM,9:16:00 AM,10:01:00 AM,10:46:00 AM,11:31:00 AM,12:16:00 PM,1:01:00 PM,1:46:00 PM,2:31:00 PM,3:16:00 PM,4:01:00 PM,4:46:00 PM,5:31:00 PM,6:16:00 PM,7:01:00 PM,7:46:00 PM,8:31:00 PM,9:16:00 PM
QUEEN ST at BARRY AVE,7:52:00 AM,8:35:00 AM,9:20:00 AM,10:05:00 AM,10:50:00 AM,11:35:00 AM,12:20:00 PM,1:05:00 PM,1:50:00 PM,2:35:00 PM,3:20:00 PM,4:05:00 PM,4:50:00 PM,5:35:00 PM,6:20:00 PM,7:05:00 PM,7:50:00 PM,8:35:00 PM,9:20:00 PM
QUEEN ST S at BRITANNIA RD,7:56:00 AM,8:39:00 AM,9:24:00 AM,10:09:00 AM,10:54:00 AM,11:39:00 AM,12:24:00 PM,1:09:00 PM,1:54:00 PM,2:39:00 PM,3:24:00 PM,4:09:00 PM,4:54:00 PM,5:39:00 PM,6:24:00 PM,7:09:00 PM,7:54:00 PM,8:39:00 PM,9:24:00 PM
ARGENTIA RD FIRST west of CAMPOBELLO RD (west leg),8:02:00 AM,8:45:00 AM,9:30:00 AM,10:15:00 AM,11:00:00 AM,11:45:00 AM,12:30:00 PM,1:15:00 PM,2:00:00 PM,2:45:00 PM,3:30:00 PM,4:15:00 PM,5:00:00 PM,5:45:00 PM,6:30:00 PM,7:15:00 PM,8:00:00 PM,8:45:00 PM,9:30:00 PM
ARGENTIA RD at MISSISSAUGA RD,8:05:00 AM,8:48:00 AM,9:33:00 AM,10:18:00 AM,11:03:00 AM,11:48:00 AM,12:33:00 PM,1:18:00 PM,2:03:00 PM,2:48:00 PM,3:33:00 PM,4:18:00 PM,5:03:00 PM,5:48:00 PM,6:33:00 PM,7:18:00 PM,8:03:00 PM,8:48:00 PM,9:33:00 PM
ARGENTIA RD at CENTURY AVE,8:05:00 AM,8:48:00 AM,9:33:00 AM,10:18:00 AM,11:03:00 AM,11:48:00 AM,12:33:00 PM,1:18:00 PM,2:03:00 PM,2:48:00 PM,3:33:00 PM,4:18:00 PM,5:03:00 PM,5:48:00 PM,6:33:00 PM,7:18:00 PM,8:03:00 PM,8:48:00 PM,9:33:00 PM
MILLCREEK DR at SURVEYOR RD,8:07:00 AM,8:50:00 AM,9:35:00 AM,10:20:00 AM,11:05:00 AM,11:50:00 AM,12:35:00 PM,1:20:00 PM,2:05:00 PM,2:50:00 PM,3:35:00 PM,4:20:00 PM,5:05:00 PM,5:50:00 PM,6:35:00 PM,7:20:00 PM,8:05:00 PM,8:50:00 PM,9:35:00 PM
MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM H,8:14:00 AM,8:57:00 AM,9:42:00 AM,10:27:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27:00 PM,2:12:00 PM,2:57:00 PM,3:42:00 PM,4:27:00 PM,5:12:00 PM,5:57:00 PM,6:42:00 PM,7:27:00 PM,8:12:00 PM,8:57:00 PM,9:42:00 PM
