ISLINGTON SUBWAY BUS TERMINAL PLATFORM C,7:30:00 AM,8:20:00 AM
SHERIDAN CENTRE BUS TERMINAL PLATFORM C,7:58:00 AM,8:48:00 AM
FOWLER DR at ROCHE CRT,8:00:00 AM,8:50:00 AM
SPEAKMAN DR at HADWEN RD,8:03:00 AM,8:53:00 AM
SHERIDAN PARK DR at WINSTON CHURCHILL BLVD,8:05:00 AM,8:55:00 AM
