1E,1E
1W,1W
3E,3E
3W,3W
4E,4E
4W,4W
5N,5N
5S,5S
6E,6E
6W,6W
7N,7N
7S,7S
8N,8N
8S,8S
9N,9N
9S,9S
10N,10N
10S,10S
11N,11N
11S,11S
,12E
,12W
13N,13N
13S,13S
,14E
,14W
,15E
,15W
16N,16N
16S,16S
19N,19N
19S,19S
20E,20E
20W,20W
,21E
,21W
22E,22E
22W,22W
23E,23E
23W,23W
,24N
,24S
,25C
26E,26E
26W,26W
28N,28N
28S,28S
29N,29N
29S,29S
30E,30E
30W,30W
,31N
,31S
,32N
,32S
34E,34E
34W,34W
35E,35E
35W,35W
36C,36C
38N,38N
38S,38S
39E,39E
39W,39W
41E,41E
41W,41W
42E,42E
42W,42W
,43N
,43S
44N,44N
44S,44S
45N,45N
45S,45S
,46N
,46S
,47C
48N,48N
48S,48S
,49E
,49W
51N,51N
51S,51S
,52C
,53N
,53S
,55C
,57N
,57S
,59S
61N,61N
61S,61S
,62N
,62S
,64E
,64W
,65C
66N,66N
66S,66S
,67N
,67S
68C,68C
,70E
,70W
,71E
,71W
,72E
,72W
,73E
,73W
,76E
,76W
,87N
,87S
90E,90E
90W,90W
,91N
,91S
,101E
,101W
103N,103N
103S,103S
107N,107N
107S,107S
,108N
,108S
109N,109N
109S,109S
110N,110N
110S,110S
,302W
,304E
,304W
,305N
,305S
,307E
,308N
,308S
,309S
,310N
,312N
,314N
,314S
,315N
,315S
,321N
,321S
,334S
,335W
,347E
,347W
