ERIN CENTRE BLVD at LONGFORD DR,9:39:00 AM,10:24:00 AM,11:09:00 AM,11:54:00 AM,12:39:00 PM,1:24:00 PM,2:09:00 PM,2:54:00 PM,3:39:00 PM,4:24:00 PM,5:09:00 PM,5:54:00 PM,6:39:00 PM,7:24:00 PM
CHURCHILL MEADOWS BLVD at DEEPWOOD HEIGHTS,9:42:00 AM,10:27:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27:00 PM,2:12:00 PM,2:57:00 PM,3:42:00 PM,4:27:00 PM,5:12:00 PM,5:57:00 PM,6:42:00 PM,7:27:00 PM
CHURCHILL MEADOWS BLVD north of SWIFTDALE DR,9:42:00 AM,10:27:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27:00 PM,2:12:00 PM,2:57:00 PM,3:42:00 PM,4:27:00 PM,5:12:00 PM,5:57:00 PM,6:42:00 PM,7:27:00 PM
THOMAS ST at TENTH LINE,9:45:00 AM,10:30:00 AM,11:15:00 AM,12:00:00 PM,12:45:00 PM,1:30:00 PM,2:15:00 PM,3:00:00 PM,3:45:00 PM,4:30:00 PM,5:15:00 PM,6:00:00 PM,6:45:00 PM,7:30:00 PM
THOMAS ST at GLEN ERIN DR,9:49:00 AM,10:34:00 AM,11:19:00 AM,12:04:00 PM,12:49:00 PM,1:34:00 PM,2:19:00 PM,3:04:00 PM,3:49:00 PM,4:34:00 PM,5:19:00 PM,6:04:00 PM,6:49:00 PM,7:34:00 PM
GLEN ERIN DR at ERIN CENTRE BLVD,9:52:00 AM,10:37:00 AM,11:22:00 AM,12:07:00 PM,12:52:00 PM,1:37:00 PM,2:22:00 PM,3:07:00 PM,3:52:00 PM,4:37:00 PM,5:22:00 PM,6:07:00 PM,6:52:00 PM,7:37:00 PM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM F,9:54:00 AM,10:39:00 AM,11:24:00 AM,12:09:00 PM,12:54:00 PM,1:39:00 PM,2:24:00 PM,3:09:00 PM,3:54:00 PM,4:39:00 PM,5:24:00 PM,6:09:00 PM,6:54:00 PM,7:39:00 PM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM G,9:57:00 AM,10:42:00 AM,11:27:00 AM,12:12:00 PM,12:57:00 PM,1:42:00 PM,2:27:00 PM,3:12:00 PM,3:57:00 PM,4:42:00 PM,5:27:00 PM,6:12:00 PM,6:57:00 PM,7:42:00 PM
