DUNDAS ST at ERINDALE STATION RD,6:52:00 AM,7:52:00 AM,8:34 AM[b],8:49:00 AM,9:04 AM[b],9:19:00 AM,9:34 AM[b],9:49:00 AM,10:06 AM[b],10:25:00 AM,10:44 AM[b],11:02:00 AM,11:18 AM[b],11:34:00 AM,11:50 AM[b],12:06:00 PM,12:22 PM[b],12:38:00 PM,12:54 PM[b],1:10:00 PM,1:26 PM[b],1:42:00 PM,1:58 PM[b],2:14:00 PM,2:30 PM[b],2:46:00 PM,3:02 PM[b],3:18:00 PM,3:34 PM[b],3:50:00 PM,4:06 PM[b],4:22:00 PM,4:38 PM[b],4:54:00 PM,5:10 PM[b],5:26:00 PM,5:42 PM[b],5:58:00 PM,6:14 PM[b],6:30:00 PM,6:46 PM[b],7:01:00 PM,7:13 PM[b],7:26:00 PM,7:39 PM[b],7:54:00 PM,8:09 PM[b],8:24:00 PM,8:39:00 PM,8:54:00 PM,9:23:00 PM,9:51:00 PM,10:21:00 PM,10:51:00 PM,11:21:00 PM,11:51:00 PM,12:21:00 AM,12:51:00 AM,1:21:00 AM,1:51:00 AM
DUNDAS ST east of ERIN MILLS PKY,6:58:00 AM,7:58:00 AM,8:55:00 AM,9:25:00 AM,9:55:00 AM,10:31:00 AM,11:08:00 AM,11:40:00 AM,12:12:00 PM,12:44:00 PM,1:16:00 PM,1:48:00 PM,2:20:00 PM,2:52:00 PM,3:24:00 PM,3:56:00 PM,4:28:00 PM,5:00:00 PM,5:32:00 PM,6:04:00 PM,6:36:00 PM,7:07:00 PM,7:32:00 PM,8:00:00 PM,8:30:00 PM,8:45:00 PM,9:00:00 PM,9:29:00 PM,9:57:00 PM,10:27:00 PM,10:57:00 PM,11:27:00 PM,11:57:00 PM,12:27:00 AM,12:57:00 AM,1:27:00 AM,1:57:00 AM,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST at FIFTH LINE WEST,6:59:00 AM,7:59:00 AM,8:56:00 AM,9:26:00 AM,9:56:00 AM,10:32:00 AM,11:09:00 AM,11:41:00 AM,12:13:00 PM,12:45:00 PM,1:17:00 PM,1:49:00 PM,2:21:00 PM,2:53:00 PM,3:25:00 PM,3:57:00 PM,4:29:00 PM,5:01:00 PM,5:33:00 PM,6:05:00 PM,6:37:00 PM,7:08:00 PM,7:33:00 PM,8:01:00 PM,8:31:00 PM,8:46:00 PM,9:01:00 PM,9:30:00 PM,9:58:00 PM,10:28:00 PM,10:58:00 PM,11:28:00 PM,11:58:00 PM,12:28:00 AM,12:58:00 AM,1:28:00 AM,1:58:00 AM,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST at WINSTON CHURCHILL BLVD,7:03:00 AM,8:03:00 AM,9:00:00 AM,9:30:00 AM,10:00:00 AM,10:36:00 AM,11:13:00 AM,11:45:00 AM,12:17:00 PM,12:49:00 PM,1:21:00 PM,1:53:00 PM,2:25:00 PM,2:57:00 PM,3:29:00 PM,4:01:00 PM,4:33:00 PM,5:05:00 PM,5:37:00 PM,6:09:00 PM,6:41:00 PM,7:12:00 PM,7:37:00 PM,8:05:00 PM,8:35:00 PM,8:50:00 PM,9:05:00 PM,9:34:00 PM,10:02:00 PM,10:32:00 PM,11:02:00 PM,11:32:00 PM,12:02:00 AM,12:32:00 AM,1:02:00 AM,1:32:00 AM,2:02:00 AM,,,,,,,,,,,,,,,,,,,,,,,
VEGA BLVD at LAIRD RD,7:06:00 AM,8:06:00 AM,9:03:00 AM,9:33:00 AM,10:03:00 AM,10:39:00 AM,11:16:00 AM,11:48:00 AM,12:20:00 PM,12:52:00 PM,1:24:00 PM,1:56:00 PM,2:28:00 PM,3:00:00 PM,3:32:00 PM,4:04:00 PM,4:36:00 PM,5:08:00 PM,5:40:00 PM,6:12:00 PM,6:44:00 PM,7:15:00 PM,7:40:00 PM,8:08:00 PM,8:38:00 PM,8:53:00 PM,9:08:00 PM,9:37:00 PM,10:05:00 PM,10:35:00 PM,11:05:00 PM,11:35:00 PM,12:05:00 AM,12:35:00 AM,1:05:00 AM,1:35:00 AM,2:05:00 AM,,,,,,,,,,,,,,,,,,,,,,,
LAIRD RD west of RIDGEWAY DR,7:06:00 AM,8:06:00 AM,9:03:00 AM,9:33:00 AM,10:03:00 AM,10:39:00 AM,11:16:00 AM,11:48:00 AM,12:20:00 PM,12:52:00 PM,1:24:00 PM,1:56:00 PM,2:28:00 PM,3:00:00 PM,3:32:00 PM,4:04:00 PM,4:36:00 PM,5:08:00 PM,5:40:00 PM,6:12:00 PM,6:44:00 PM,7:15:00 PM,7:40:00 PM,8:08:00 PM,8:38:00 PM,8:53:00 PM,9:08:00 PM,9:37:00 PM,10:05:00 PM,10:35:00 PM,11:05:00 PM,11:35:00 PM,12:05:00 AM,12:35:00 AM,1:05:00 AM,1:35:00 AM,2:05:00 AM,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,8:41 AM[b],9:11 AM[b],9:41 AM[b],10:13 AM[b],10:51 AM[b],11:25 AM[b],11:57 AM[b],12:29 PM[b],1:01 PM[b],1:33 PM[b],2:05 PM[b],2:37 PM[b],3:09 PM[b],3:41 PM[b],4:13 PM[b],4:45 PM[b],5:17 PM[b],5:49 PM[b],6:21 PM[b],6:53 PM[b],7:20 PM[b],7:46 PM[b],8:16 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COLLEGEWAY west of SOUTH MILLWAY,8:46 AM[b],9:16 AM[b],9:46 AM[b],10:18 AM[b],10:56 AM[b],11:30 AM[b],12:02 PM[b],12:34 PM[b],1:06 PM[b],1:38 PM[b],2:10 PM[b],2:42 PM[b],3:14 PM[b],3:46 PM[b],4:18 PM[b],4:50 PM[b],5:22 PM[b],5:54 PM[b],6:26 PM[b],6:58 PM[b],7:25 PM[b],7:51 PM[b],8:21 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COLLEGEWAY at SOUTH COMMON CENTRE ACCESS RD,8:47 AM[b],9:17 AM[b],9:47 AM[b],10:19 AM[b],10:57 AM[b],11:31 AM[b],12:03 PM[b],12:35 PM[b],1:07 PM[b],1:39 PM[b],2:11 PM[b],2:43 PM[b],3:15 PM[b],3:47 PM[b],4:19 PM[b],4:51 PM[b],5:23 PM[b],5:55 PM[b],6:27 PM[b],6:59 PM[b],7:26 PM[b],7:52 PM[b],8:22 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM A,8:49 AM[b],9:19 AM[b],9:49 AM[b],10:21 AM[b],10:59 AM[b],11:33 AM[b],12:05 PM[b],12:37 PM[b],1:09 PM[b],1:41 PM[b],2:13 PM[b],2:45 PM[b],3:17 PM[b],3:49 PM[b],4:21 PM[b],4:53 PM[b],5:25 PM[b],5:57 PM[b],6:29 PM[b],7:01 PM[b],7:28 PM[b],7:54 PM[b],8:24 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
