TRILLIUM HOSPITAL BUS TERMINAL,8:10:00 AM,8:32:00 AM,8:54:00 AM,9:16:00 AM,9:38:00 AM,10:00:00 AM,10:22:00 AM,10:44:00 AM,11:06:00 AM,11:28:00 AM,11:50:00 AM,12:12:00 PM,12:34:00 PM,12:56:00 PM,1:18:00 PM,1:40:00 PM,2:02:00 PM,2:24:00 PM,2:46:00 PM,3:08:00 PM,3:30:00 PM,3:52:00 PM,4:14:00 PM,4:36:00 PM,4:58:00 PM,5:20:00 PM,5:42:00 PM,6:04:00 PM,6:26:00 PM,6:48:00 PM,7:10:00 PM
CONFEDERATION PKY at DUNDAS ST,8:14:00 AM,8:36:00 AM,8:58:00 AM,9:20:00 AM,9:42:00 AM,10:04:00 AM,10:26:00 AM,10:48:00 AM,11:10:00 AM,11:32:00 AM,11:54:00 AM,12:16:00 PM,12:38:00 PM,1:00:00 PM,1:22:00 PM,1:44:00 PM,2:06:00 PM,2:28:00 PM,2:50:00 PM,3:12:00 PM,3:34:00 PM,3:56:00 PM,4:18:00 PM,4:40:00 PM,5:02:00 PM,5:24:00 PM,5:46:00 PM,6:08:00 PM,6:30:00 PM,6:52:00 PM,7:14:00 PM
REDMOND RD at FAIRVIEW RD,8:19:00 AM,8:41:00 AM,9:03:00 AM,9:25:00 AM,9:47:00 AM,10:09:00 AM,10:31:00 AM,10:53:00 AM,11:15:00 AM,11:37:00 AM,11:59:00 AM,12:21:00 PM,12:43:00 PM,1:05:00 PM,1:27:00 PM,1:49:00 PM,2:11:00 PM,2:33:00 PM,2:55:00 PM,3:17:00 PM,3:39:00 PM,4:01:00 PM,4:23:00 PM,4:45:00 PM,5:07:00 PM,5:29:00 PM,5:51:00 PM,6:13:00 PM,6:35:00 PM,6:57:00 PM,7:19:00 PM
CONFEDERATION PKY at BURNHAMTHORPE RD,8:23:00 AM,8:45:00 AM,9:07:00 AM,9:29:00 AM,9:51:00 AM,10:13:00 AM,10:35:00 AM,10:57:00 AM,11:19:00 AM,11:41:00 AM,12:03:00 PM,12:25:00 PM,12:47:00 PM,1:09:00 PM,1:31:00 PM,1:53:00 PM,2:15:00 PM,2:37:00 PM,2:59:00 PM,3:21:00 PM,3:43:00 PM,4:05:00 PM,4:27:00 PM,4:49:00 PM,5:11:00 PM,5:33:00 PM,5:55:00 PM,6:17:00 PM,6:39:00 PM,7:01:00 PM,7:23:00 PM
RATHBURN RD at LIVING ARTS DR,8:25:00 AM,8:47:00 AM,9:09:00 AM,9:31:00 AM,9:53:00 AM,10:15:00 AM,10:37:00 AM,10:59:00 AM,11:21:00 AM,11:43:00 AM,12:05:00 PM,12:27:00 PM,12:49:00 PM,1:11:00 PM,1:33:00 PM,1:55:00 PM,2:17:00 PM,2:39:00 PM,3:01:00 PM,3:23:00 PM,3:45:00 PM,4:07:00 PM,4:29:00 PM,4:51:00 PM,5:13:00 PM,5:35:00 PM,5:57:00 PM,6:19:00 PM,6:41:00 PM,7:03:00 PM,7:25:00 PM
CITY CENTRE BUS TERMINAL PLATFORM J,8:28:00 AM,8:50:00 AM,9:12:00 AM,9:34:00 AM,9:56:00 AM,10:18:00 AM,10:40:00 AM,11:02:00 AM,11:24:00 AM,11:46:00 AM,12:08:00 PM,12:30:00 PM,12:52:00 PM,1:14:00 PM,1:36:00 PM,1:58:00 PM,2:20:00 PM,2:42:00 PM,3:04:00 PM,3:26:00 PM,3:48:00 PM,4:10:00 PM,4:32:00 PM,4:54:00 PM,5:16:00 PM,5:38:00 PM,6:00:00 PM,6:22:00 PM,6:44:00 PM,7:06:00 PM,7:28:00 PM
