CLARKSON GO STATION PLATFORM C,5:16:00 AM,5:47:00 AM,6:23:00 AM,6:52:00 AM,7:32:00 AM,8:04:00 AM,8:51:00 AM,9:42:00 AM,10:27:00 AM,11:12:00 AM,11:57:00 AM,12:42:00 PM,1:27:00 PM,2:12:00 PM,2:31:00 PM,3:07:00 PM,3:40:00 PM,4:19:00 PM,4:55:00 PM,5:31:00 PM,6:07:00 PM,6:45:00 PM,7:36:00 PM,8:21:00 PM,9:06:00 PM,9:51:00 PM,10:36:00 PM,,
SOUTHDOWN RD at TRUSCOTT DR,5:19:00 AM,5:50:00 AM,6:26:00 AM,6:55:00 AM,7:35:00 AM,8:07:00 AM,8:54:00 AM,9:45:00 AM,10:30:00 AM,11:15:00 AM,12:00:00 PM,12:45:00 PM,1:30:00 PM,2:15:00 PM,2:34:00 PM,3:10:00 PM,3:43:00 PM,4:22:00 PM,4:58:00 PM,5:34:00 PM,6:10:00 PM,6:48:00 PM,7:39:00 PM,8:24:00 PM,9:09:00 PM,9:54:00 PM,10:39:00 PM,,
TRUSCOTT DR at DAVEBROOK RD,5:19:00 AM,5:50:00 AM,6:26:00 AM,6:55:00 AM,7:35:00 AM,8:07:00 AM,8:54:00 AM,9:45:00 AM,10:30:00 AM,11:15:00 AM,12:00:00 PM,12:45:00 PM,1:30:00 PM,2:15:00 PM,2:34:00 PM,3:10:00 PM,3:43:00 PM,4:22:00 PM,4:58:00 PM,5:34:00 PM,6:10:00 PM,6:48:00 PM,7:39:00 PM,8:24:00 PM,9:09:00 PM,9:54:00 PM,10:39:00 PM,,
TRUSCOTT DR at LORNE PARK RD,5:24:00 AM,5:55:00 AM,6:31:00 AM,7:00:00 AM,7:40:00 AM,8:12:00 AM,8:59:00 AM,9:50:00 AM,10:35:00 AM,11:20:00 AM,12:05:00 PM,12:50:00 PM,1:35:00 PM,2:20:00 PM,2:39:00 PM,2:48 PM[G],2:48 PM[G],3:15:00 PM,3:48:00 PM,4:27:00 PM,5:03:00 PM,5:39:00 PM,6:15:00 PM,6:53:00 PM,7:44:00 PM,8:28:00 PM,9:13:00 PM,9:58:00 PM,10:43:00 PM
LORNE PARK RD at INDIAN RD,5:25:00 AM,5:56:00 AM,6:32:00 AM,7:01:00 AM,7:41:00 AM,8:13:00 AM,9:00:00 AM,9:51:00 AM,10:36:00 AM,11:21:00 AM,12:06:00 PM,12:51:00 PM,1:36:00 PM,2:21:00 PM,2:40:00 PM,2:50 PM[G],2:50 PM[G],3:16:00 PM,3:49:00 PM,4:28:00 PM,5:04:00 PM,5:40:00 PM,6:16:00 PM,6:54:00 PM,7:45:00 PM,8:29:00 PM,9:14:00 PM,9:59:00 PM,10:44:00 PM
INDIAN RD at KANE RD,5:30:00 AM,6:01:00 AM,6:39:00 AM,7:08:00 AM,7:48:00 AM,8:20:00 AM,9:06:00 AM,9:57:00 AM,10:42:00 AM,11:27:00 AM,12:12:00 PM,12:57:00 PM,1:42:00 PM,2:28:00 PM,2:47:00 PM,2:57 PM[G],2:57 PM[G],3:23:00 PM,3:56:00 PM,4:35:00 PM,5:11:00 PM,5:47:00 PM,6:23:00 PM,7:00:00 PM,7:51:00 PM,8:35:00 PM,9:20:00 PM,10:05:00 PM,10:50:00 PM
MISSISSAUGA RD at LAKESHORE RD W,5:33:00 AM,6:04:00 AM,6:42:00 AM,7:11:00 AM,7:51:00 AM,8:23:00 AM,9:09:00 AM,10:00:00 AM,10:45:00 AM,11:30:00 AM,12:15:00 PM,1:00:00 PM,1:45:00 PM,2:31:00 PM,2:50:00 PM,3:00 PM[G],3:00 PM[G],3:26:00 PM,3:59:00 PM,4:38:00 PM,5:14:00 PM,5:50:00 PM,6:26:00 PM,7:03:00 PM,7:54:00 PM,8:38:00 PM,9:23:00 PM,10:08:00 PM,10:53:00 PM
PORT CREDIT GO STATION PLATFORM D,5:36:00 AM,6:07:00 AM,6:46:00 AM,7:15:00 AM,7:54:00 AM,8:26:00 AM,9:12:00 AM,10:03:00 AM,10:48:00 AM,11:33:00 AM,12:18:00 PM,1:03:00 PM,1:48:00 PM,2:34:00 PM,2:53:00 PM,3:04 PM[G],3:04 PM[G],3:30:00 PM,4:03:00 PM,4:42:00 PM,5:18:00 PM,5:54:00 PM,6:30:00 PM,7:07:00 PM,7:57:00 PM,8:41:00 PM,9:26:00 PM,10:11:00 PM,10:56:00 PM
