LISGAR GO STATION PLATFORM A,6:21:00 AM,6:44:00 AM,7:14:00 AM,7:39:00 AM,8:10:00 AM,8:37:00 AM,3:17:00 PM,4:00:00 PM,4:34:00 PM,5:05:00 PM,5:29:00 PM,6:00:00 PM,6:20:00 PM,6:52:00 PM,7:17:00 PM,8:01:00 PM
TENTH LINE at DERRY RD,6:25:00 AM,6:48:00 AM,7:18:00 AM,7:43:00 AM,8:14:00 AM,8:41:00 AM,3:21:00 PM,4:04:00 PM,4:38:00 PM,5:09:00 PM,5:33:00 PM,6:04:00 PM,6:24:00 PM,6:56:00 PM,7:20:00 PM,8:04:00 PM
TENTH LINE at TRELAWNY CIRCLE,6:28:00 AM,6:51:00 AM,7:21:00 AM,7:46:00 AM,8:17:00 AM,8:44:00 AM,3:24:00 PM,4:07:00 PM,4:41:00 PM,5:12:00 PM,5:36:00 PM,6:07:00 PM,6:27:00 PM,6:59:00 PM,7:23:00 PM,8:07:00 PM
TENTH LINE at BRITANNIA RD,6:32:00 AM,6:55:00 AM,7:25:00 AM,7:50:00 AM,8:21:00 AM,8:48:00 AM,3:28:00 PM,4:11:00 PM,4:45:00 PM,5:16:00 PM,5:40:00 PM,6:11:00 PM,6:31:00 PM,7:03:00 PM,7:27:00 PM,8:11:00 PM
TENTH LINE at THOMAS ST,6:34:00 AM,6:57:00 AM,7:27:00 AM,7:52:00 AM,8:23:00 AM,8:50:00 AM,3:30:00 PM,4:13:00 PM,4:47:00 PM,5:18:00 PM,5:42:00 PM,6:13:00 PM,6:33:00 PM,7:04:00 PM,7:28:00 PM,8:12:00 PM
ERIN CENTRE BLVD at DUBONET DR,6:39:00 AM,7:02:00 AM,7:32:00 AM,7:57:00 AM,8:28:00 AM,8:55:00 AM,3:35:00 PM,4:18:00 PM,4:52:00 PM,5:23:00 PM,5:47:00 PM,6:18:00 PM,6:38:00 PM,7:08:00 PM,7:32:00 PM,8:16:00 PM
ERIN CENTRE BLVD at GLEN ERIN DR,6:42:00 AM,7:05:00 AM,7:35:00 AM,8:00:00 AM,8:31:00 AM,8:58:00 AM,3:38:00 PM,4:21:00 PM,4:55:00 PM,5:26:00 PM,5:50:00 PM,6:21:00 PM,6:41:00 PM,7:11:00 PM,7:35:00 PM,8:19:00 PM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM F,6:44:00 AM,7:07:00 AM,7:37:00 AM,8:02:00 AM,8:33:00 AM,9:00:00 AM,3:40:00 PM,4:23:00 PM,4:57:00 PM,5:28:00 PM,5:52:00 PM,6:23:00 PM,6:43:00 PM,7:13:00 PM,7:37:00 PM,8:21:00 PM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM G,6:47:00 AM,7:10:00 AM,7:40:00 AM,8:05:00 AM,8:36:00 AM,9:03:00 AM,3:43:00 PM,4:26:00 PM,5:00:00 PM,5:31:00 PM,5:55:00 PM,6:26:00 PM,6:46:00 PM,7:16:00 PM,7:40:00 PM,8:24:00 PM
