CLARKSON GO STATION PLATFORM F,4:59 AM[c],5:31 AM[c],6:01 AM[c],6:31 AM[c],7:01 AM[c],7:34 AM[c],8:01 AM[c],8:31 AM[c],9:01 AM[c],9:31 AM[c],10:01 AM[c],10:34 AM[c],11:01 AM[c],11:31 AM[c],12:01 PM[c],12:31 PM[c],1:04 PM[c],1:31 PM[c],2:01 PM[c],2:31 PM[c],3:01 PM[c],3:31 PM[c],4:04 PM[c],4:31 PM[c],5:01 PM[c],5:31 PM[c],6:01 PM[c],6:34 PM[c],7:00 PM[c],7:31 PM[c],8:01 PM[c],8:31 PM[c],9:01 PM[c],9:29 PM[c],10:01 PM[c],10:31 PM[c],11:01 PM[c],11:31 PM[c],11:59 PM[c],12:31 AM[c]
BROMSGROVE RD at CONSTABLE RD,5:04 AM[c],5:36 AM[c],6:06 AM[c],6:36 AM[c],7:06 AM[c],7:39 AM[c],8:06 AM[c],8:36 AM[c],9:06 AM[c],9:36 AM[c],10:06 AM[c],10:39 AM[c],11:06 AM[c],11:36 AM[c],12:06 PM[c],12:36 PM[c],1:09 PM[c],1:36 PM[c],2:06 PM[c],2:36 PM[c],3:06 PM[c],3:36 PM[c],4:09 PM[c],4:36 PM[c],5:06 PM[c],5:36 PM[c],6:06 PM[c],6:39 PM[c],7:05 PM[c],7:36 PM[c],8:06 PM[c],8:36 PM[c],9:06 PM[c],9:34 PM[c],10:06 PM[c],10:36 PM[c],11:06 PM[c],11:36 PM[c],12:04 AM[c],12:36 AM[c]
BROMSGROVE RD at WINSTON CHURCHILL BLVD,5:05 AM[c],5:37 AM[c],6:07 AM[c],6:37 AM[c],7:07 AM[c],7:40 AM[c],8:07 AM[c],8:37 AM[c],9:07 AM[c],9:37 AM[c],10:07 AM[c],10:40 AM[c],11:07 AM[c],11:37 AM[c],12:07 PM[c],12:37 PM[c],1:10 PM[c],1:37 PM[c],2:07 PM[c],2:37 PM[c],3:07 PM[c],3:37 PM[c],4:10 PM[c],4:37 PM[c],5:07 PM[c],5:37 PM[c],6:07 PM[c],6:40 PM[c],7:06 PM[c],7:37 PM[c],8:07 PM[c],8:37 PM[c],9:07 PM[c],9:35 PM[c],10:07 PM[c],10:37 PM[c],11:07 PM[c],11:37 PM[c],12:05 AM[c],12:37 AM[c]
TRUSCOTT DR at THETFORD CRT,5:12 AM[c],5:44 AM[c],6:14 AM[c],6:44 AM[c],7:14 AM[c],7:47 AM[c],8:14 AM[c],8:44 AM[c],9:14 AM[c],9:44 AM[c],10:14 AM[c],10:47 AM[c],11:14 AM[c],11:44 AM[c],12:14 PM[c],12:44 PM[c],1:17 PM[c],1:44 PM[c],2:14 PM[c],2:44 PM[c],3:14 PM[c],3:44 PM[c],4:17 PM[c],4:44 PM[c],5:14 PM[c],5:44 PM[c],6:14 PM[c],6:47 PM[c],7:13 PM[c],7:44 PM[c],8:14 PM[c],8:44 PM[c],9:14 PM[c],9:42 PM[c],10:14 PM[c],10:44 PM[c],11:14 PM[c],11:44 PM[c],12:12 AM[c],12:44 AM[c]
ERIN MILLS PKY north of FOWLER DR,5:16 AM[c],5:48 AM[c],6:18 AM[c],6:48 AM[c],7:18 AM[c],7:51 AM[c],8:18 AM[c],8:48 AM[c],9:18 AM[c],9:48 AM[c],10:18 AM[c],10:51 AM[c],11:18 AM[c],11:48 AM[c],12:18 PM[c],12:48 PM[c],1:21 PM[c],1:48 PM[c],2:18 PM[c],2:48 PM[c],3:18 PM[c],3:48 PM[c],4:21 PM[c],4:48 PM[c],5:18 PM[c],5:48 PM[c],6:18 PM[c],6:51 PM[c],7:17 PM[c],7:48 PM[c],8:18 PM[c],8:48 PM[c],9:18 PM[c],9:46 PM[c],10:18 PM[c],10:48 PM[c],11:18 PM[c],11:48 PM[c],12:16 AM[c],12:48 AM[c]
SHERIDAN PARK DR west of FIFTH LINE WEST,5:20 AM[c],5:52 AM[c],6:22 AM[c],6:52 AM[c],7:22 AM[c],7:55 AM[c],8:22 AM[c],8:52 AM[c],9:22 AM[c],9:52 AM[c],10:22 AM[c],10:55 AM[c],11:22 AM[c],11:52 AM[c],12:22 PM[c],12:52 PM[c],1:25 PM[c],1:52 PM[c],2:22 PM[c],2:52 PM[c],3:22 PM[c],3:52 PM[c],4:25 PM[c],4:52 PM[c],5:22 PM[c],5:52 PM[c],6:22 PM[c],6:55 PM[c],7:21 PM[c],7:52 PM[c],8:22 PM[c],8:52 PM[c],9:22 PM[c],9:50 PM[c],10:22 PM[c],10:52 PM[c],11:22 PM[c],11:52 PM[c],12:20 AM[c],12:52 AM[c]
HOMELANDS DR at PYRAMID CRES,5:21 AM[c],5:53 AM[c],6:23 AM[c],6:53 AM[c],7:23 AM[c],7:56 AM[c],8:23 AM[c],8:53 AM[c],9:23 AM[c],9:53 AM[c],10:23 AM[c],10:56 AM[c],11:23 AM[c],11:53 AM[c],12:23 PM[c],12:53 PM[c],1:26 PM[c],1:53 PM[c],2:23 PM[c],2:53 PM[c],3:23 PM[c],3:53 PM[c],4:26 PM[c],4:53 PM[c],5:23 PM[c],5:53 PM[c],6:23 PM[c],6:56 PM[c],7:22 PM[c],7:53 PM[c],8:23 PM[c],8:53 PM[c],9:23 PM[c],9:51 PM[c],10:23 PM[c],10:53 PM[c],11:23 PM[c],11:53 PM[c],12:21 AM[c],12:53 AM[c]
WOODCHESTER DR at DUNDAS ST,5:25 AM[c],5:57 AM[c],6:27 AM[c],6:57 AM[c],7:27 AM[c],8:00 AM[c],8:27 AM[c],8:57 AM[c],9:27 AM[c],9:57 AM[c],10:27 AM[c],11:00 AM[c],11:27 AM[c],11:57 AM[c],12:27 PM[c],12:57 PM[c],1:30 PM[c],1:57 PM[c],2:27 PM[c],2:57 PM[c],3:27 PM[c],3:57 PM[c],4:30 PM[c],4:57 PM[c],5:27 PM[c],5:57 PM[c],6:27 PM[c],7:00 PM[c],7:26 PM[c],7:57 PM[c],8:27 PM[c],8:57 PM[c],9:27 PM[c],9:55 PM[c],10:27 PM[c],10:57 PM[c],11:27 PM[c],11:57 PM[c],12:25 AM[c],12:57 AM[c]
DUNDAS ST at WOODCHESTER DR,5:25 AM[c],5:57 AM[c],6:27 AM[c],6:57 AM[c],7:27 AM[c],8:00 AM[c],8:27 AM[c],8:57 AM[c],9:27 AM[c],9:57 AM[c],10:27 AM[c],11:00 AM[c],11:27 AM[c],11:57 AM[c],12:27 PM[c],12:57 PM[c],1:30 PM[c],1:57 PM[c],2:27 PM[c],2:57 PM[c],3:27 PM[c],3:57 PM[c],4:30 PM[c],4:57 PM[c],5:27 PM[c],5:57 PM[c],6:27 PM[c],7:00 PM[c],7:26 PM[c],7:57 PM[c],8:27 PM[c],8:57 PM[c],9:27 PM[c],9:55 PM[c],10:27 PM[c],10:57 PM[c],11:27 PM[c],11:57 PM[c],12:25 AM[c],12:57 AM[c]
GLEN ERIN DR north of THE COLLEGEWAY,5:29 AM[c],6:01 AM[c],6:31 AM[c],7:01 AM[c],7:31 AM[c],8:04 AM[c],8:31 AM[c],9:01 AM[c],9:31 AM[c],10:01 AM[c],10:31 AM[c],11:04 AM[c],11:31 AM[c],12:01 PM[c],12:31 PM[c],1:01 PM[c],1:34 PM[c],2:01 PM[c],2:31 PM[c],3:01 PM[c],3:31 PM[c],4:01 PM[c],4:34 PM[c],5:01 PM[c],5:31 PM[c],6:01 PM[c],6:31 PM[c],7:04 PM[c],7:30 PM[c],8:01 PM[c],8:31 PM[c],9:01 PM[c],9:31 PM[c],9:59 PM[c],10:31 PM[c],11:01 PM[c],11:31 PM[c],12:01 AM[c],12:29 AM[c],1:01 AM[c]
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM I,5:32 AM[c],6:04 AM[c],6:34 AM[c],7:04 AM[c],7:34 AM[c],8:07 AM[c],8:34 AM[c],9:04 AM[c],9:34 AM[c],10:04 AM[c],10:34 AM[c],11:07 AM[c],11:34 AM[c],12:04 PM[c],12:34 PM[c],1:04 PM[c],1:37 PM[c],2:04 PM[c],2:34 PM[c],3:04 PM[c],3:34 PM[c],4:04 PM[c],4:37 PM[c],5:04 PM[c],5:34 PM[c],6:04 PM[c],6:34 PM[c],7:07 PM[c],7:33 PM[c],8:04 PM[c],8:34 PM[c],9:04 PM[c],9:34 PM[c],10:02 PM[c],10:34 PM[c],11:04 PM[c],11:34 PM[c],12:04 AM[c],12:32 AM[c],1:04 AM[c]
