BANCROFT DR at EMERSON LANE,5:58:00 AM,6:12:00 AM,6:19:00 AM,6:29:00 AM,6:41:00 AM,7:02:00 AM,7:23:00 AM,7:44:00 AM,8:13:00 AM,8:35:00 AM,8:56:00 AM,9:14:00 AM,9:49:00 AM,10:24:00 AM,11:04:00 AM,11:40:00 AM,12:16:00 PM,12:52:00 PM,1:28:00 PM,2:02:00 PM,2:24:00 PM,2:42:00 PM,3:06:00 PM,3:29:00 PM,3:53:00 PM,4:15:00 PM,4:37:00 PM,4:59:00 PM,5:21:00 PM,5:43:00 PM,6:05:00 PM,6:27:00 PM,6:49:00 PM,7:10:00 PM,7:27:00 PM,8:10:00 PM,8:55:00 PM,9:41:00 PM,10:27:00 PM,11:13:00 PM,11:59:00 PM,12:45:00 AM,,,,,
SILKEN LAUMANN WAY at BRITANNIA RD W,6:03:00 AM,6:17:00 AM,6:24:00 AM,6:34:00 AM,6:46:00 AM,7:07:00 AM,7:28:00 AM,7:49:00 AM,8:18:00 AM,8:40:00 AM,9:01:00 AM,9:19:00 AM,9:54:00 AM,10:29:00 AM,11:09:00 AM,11:45:00 AM,12:21:00 PM,12:57:00 PM,1:33:00 PM,2:07:00 PM,2:29:00 PM,2:47:00 PM,3:11:00 PM,3:34:00 PM,3:58:00 PM,4:20:00 PM,4:42:00 PM,5:04:00 PM,5:26:00 PM,5:48:00 PM,6:10:00 PM,6:32:00 PM,6:54:00 PM,7:15:00 PM,7:32:00 PM,8:15:00 PM,9:00:00 PM,9:46:00 PM,10:32:00 PM,11:18:00 PM,12:04:00 AM,12:50:00 AM,,,,,
CREDITVIEW RD at HIGHBROOK AVE,6:06:00 AM,6:20:00 AM,6:27:00 AM,6:37:00 AM,6:50:00 AM,7:11:00 AM,7:32:00 AM,7:53:00 AM,8:22:00 AM,8:44:00 AM,9:05:00 AM,9:22:00 AM,9:57:00 AM,10:32:00 AM,11:12:00 AM,11:48:00 AM,12:24:00 PM,1:00:00 PM,1:36:00 PM,2:10:00 PM,2:24 PM[G],2:32:00 PM,2:51:00 PM,3:15:00 PM,3:38:00 PM,4:02:00 PM,4:24:00 PM,4:46:00 PM,5:08:00 PM,5:30:00 PM,5:52:00 PM,6:14:00 PM,6:36:00 PM,6:57:00 PM,7:18:00 PM,7:35:00 PM,8:18:00 PM,9:03:00 PM,9:49:00 PM,10:35:00 PM,11:21:00 PM,12:07:00 AM,12:53:00 AM,,,,
CREDITVIEW RD at BRISTOL RD,6:10:00 AM,6:24:00 AM,6:31:00 AM,6:41:00 AM,6:54:00 AM,7:15:00 AM,7:36:00 AM,7:57:00 AM,8:26:00 AM,8:48:00 AM,9:09:00 AM,9:26:00 AM,10:01:00 AM,10:36:00 AM,11:16:00 AM,11:52:00 AM,12:28:00 PM,1:04:00 PM,1:40:00 PM,2:14:00 PM,2:28 PM[G],2:36:00 PM,2:55:00 PM,3:19:00 PM,3:42:00 PM,4:06:00 PM,4:28:00 PM,4:50:00 PM,5:12:00 PM,5:34:00 PM,5:56:00 PM,6:18:00 PM,6:40:00 PM,7:01:00 PM,7:22:00 PM,7:39:00 PM,8:21:00 PM,9:06:00 PM,9:52:00 PM,10:38:00 PM,11:24:00 PM,12:10:00 AM,12:56:00 AM,,,,
CREDITVIEW RD at CUTHBERT AVE,6:13:00 AM,6:27:00 AM,6:34:00 AM,6:45:00 AM,6:58:00 AM,7:19:00 AM,7:40:00 AM,8:01:00 AM,8:30:00 AM,8:52:00 AM,9:12:00 AM,9:29:00 AM,10:04:00 AM,10:39:00 AM,11:19:00 AM,11:55:00 AM,12:31:00 PM,1:07:00 PM,1:43:00 PM,2:17:00 PM,2:31 PM[G],2:40:00 PM,2:59:00 PM,3:23:00 PM,3:46:00 PM,4:10:00 PM,4:32:00 PM,4:54:00 PM,5:16:00 PM,5:38:00 PM,6:00:00 PM,6:22:00 PM,6:44:00 PM,7:04:00 PM,7:25:00 PM,7:42:00 PM,8:24:00 PM,9:09:00 PM,9:55:00 PM,10:41:00 PM,11:27:00 PM,12:13:00 AM,12:59:00 AM,,,,
CREDITVIEW RD at EGLINTON AVE,6:14:00 AM,6:28:00 AM,6:35:00 AM,6:46:00 AM,6:59:00 AM,7:20:00 AM,7:41:00 AM,8:02:00 AM,8:31:00 AM,8:53:00 AM,9:13:00 AM,9:30:00 AM,10:05:00 AM,10:40:00 AM,11:20:00 AM,11:56:00 AM,12:32:00 PM,1:08:00 PM,1:44:00 PM,2:18:00 PM,2:32 PM[G],2:41:00 PM,3:00:00 PM,3:24:00 PM,3:47:00 PM,4:11:00 PM,4:33:00 PM,4:55:00 PM,5:17:00 PM,5:39:00 PM,6:01:00 PM,6:23:00 PM,6:45:00 PM,7:05:00 PM,7:26:00 PM,7:43:00 PM,8:25:00 PM,9:10:00 PM,9:56:00 PM,10:42:00 PM,11:28:00 PM,12:14:00 AM,1:00:00 AM,,,,
CREDITVIEW RD at BURNHAMTHORPE RD,6:18:00 AM,6:32:00 AM,6:39:00 AM,6:50:00 AM,7:03:00 AM,7:24:00 AM,7:45:00 AM,8:06:00 AM,8:35:00 AM,8:57:00 AM,9:17:00 AM,9:34:00 AM,10:09:00 AM,10:44:00 AM,11:24:00 AM,12:00:00 PM,12:36:00 PM,1:12:00 PM,1:48:00 PM,2:22:00 PM,2:36 PM[G],2:45:00 PM,3:04:00 PM,3:28:00 PM,3:51:00 PM,4:15:00 PM,4:37:00 PM,4:59:00 PM,5:21:00 PM,5:43:00 PM,6:05:00 PM,6:27:00 PM,6:49:00 PM,7:09:00 PM,7:30:00 PM,7:47:00 PM,8:29:00 PM,9:14:00 PM,10:00:00 PM,10:46:00 PM,11:32:00 PM,12:18:00 AM,1:04:00 AM,,,,
CENTRAL PKY W at SEMENYK CRT,5:10 AM[c],5:30 AM[c],5:49 AM[c],6:12 AM[c],6:20:00 AM,6:34:00 AM,6:42:00 AM,6:53:00 AM,7:06:00 AM,7:27:00 AM,7:48:00 AM,8:09:00 AM,8:38:00 AM,9:00:00 AM,9:20:00 AM,9:37:00 AM,10:12:00 AM,10:47:00 AM,11:27:00 AM,12:03:00 PM,12:39:00 PM,1:15:00 PM,1:51:00 PM,2:25:00 PM,2:39 PM[G],2:48:00 PM,3:07:00 PM,3:31:00 PM,3:54:00 PM,4:18:00 PM,4:40:00 PM,5:02:00 PM,5:24:00 PM,5:46:00 PM,6:08:00 PM,6:30:00 PM,6:52:00 PM,7:11:00 PM,7:32:00 PM,7:49:00 PM,8:31:00 PM,9:16:00 PM,10:02:00 PM,10:48:00 PM,11:34:00 PM,12:20:00 AM,1:06:00 AM
WOLFEDALE RD at DUNDAS ST,5:14 AM[c],5:34 AM[c],5:53 AM[c],6:16 AM[c],6:24:00 AM,6:38:00 AM,6:47:00 AM,6:58:00 AM,7:11:00 AM,7:32:00 AM,7:53:00 AM,8:14:00 AM,8:42:00 AM,9:04:00 AM,9:24:00 AM,9:41:00 AM,10:16:00 AM,10:51:00 AM,11:31:00 AM,12:07:00 PM,12:43:00 PM,1:19:00 PM,1:55:00 PM,2:29:00 PM,2:44 PM[G],2:53:00 PM,3:12:00 PM,3:36:00 PM,3:59:00 PM,4:23:00 PM,4:45:00 PM,5:07:00 PM,5:29:00 PM,5:51:00 PM,6:13:00 PM,6:35:00 PM,6:56:00 PM,7:15:00 PM,7:36:00 PM,7:53:00 PM,8:35:00 PM,9:20:00 PM,10:06:00 PM,10:52:00 PM,11:38:00 PM,12:24:00 AM,1:10:00 AM
HURON PARK ACCESS RD at QUEENSWAY,5:19 AM[c],5:39 AM[c],5:58 AM[c],6:21 AM[c],6:29:00 AM,6:43:00 AM,6:52:00 AM,7:03:00 AM,7:16:00 AM,7:37:00 AM,7:58:00 AM,8:19:00 AM,8:47:00 AM,9:09:00 AM,9:29:00 AM,9:46:00 AM,10:21:00 AM,10:56:00 AM,11:36:00 AM,12:12:00 PM,12:48:00 PM,1:24:00 PM,2:00:00 PM,2:34:00 PM,2:49 PM[G],2:58:00 PM,3:17:00 PM,3:41:00 PM,4:04:00 PM,4:28:00 PM,4:50:00 PM,5:12:00 PM,5:34:00 PM,5:56:00 PM,6:18:00 PM,6:40:00 PM,7:01:00 PM,7:20:00 PM,7:41:00 PM,7:58:00 PM,8:40:00 PM,9:25:00 PM,10:11:00 PM,10:57:00 PM,11:43:00 PM,12:29:00 AM,1:15:00 AM
