ISLINGTON SUBWAY BUS TERMINAL PLATFORM E,8:06:00 AM,8:41:00 AM,9:16:00 AM,9:51:00 AM,10:26:00 AM,11:01:00 AM,11:36:00 AM,12:11:00 PM,12:46:00 PM,1:21 PM[b],1:56 PM[b],2:31 PM[b],3:06 PM[b],3:41 PM[b],4:16 PM[b],4:51 PM[b],5:26:00 PM,6:01:00 PM,6:36:00 PM,7:10:00 PM,7:40:00 PM,8:10:00 PM,8:40:00 PM,9:10:00 PM,10:10:00 PM,11:10:00 PM,12:10:00 AM,1:10:00 AM
DUNDAS ST at AUKLAND RD,8:09:00 AM,8:44:00 AM,9:19:00 AM,9:54:00 AM,10:29:00 AM,11:04:00 AM,11:39:00 AM,12:14:00 PM,12:49:00 PM,1:24 PM[b],1:59 PM[b],2:34 PM[b],3:09 PM[b],3:44 PM[b],4:19 PM[b],4:54 PM[b],5:29:00 PM,6:04:00 PM,6:39:00 PM,7:13:00 PM,7:43:00 PM,8:13:00 PM,8:43:00 PM,9:13:00 PM,10:13:00 PM,11:13:00 PM,12:13:00 AM,1:13:00 AM
DUNDAS ST at BILLINGHAM RD,8:12:00 AM,8:47:00 AM,9:22:00 AM,9:57:00 AM,10:32:00 AM,11:07:00 AM,11:42:00 AM,12:17:00 PM,12:52:00 PM,1:27 PM[b],2:02 PM[b],2:37 PM[b],3:12 PM[b],3:47 PM[b],4:22 PM[b],4:57 PM[b],5:32:00 PM,6:07:00 PM,6:42:00 PM,7:16:00 PM,7:46:00 PM,8:16:00 PM,8:46:00 PM,9:16:00 PM,10:16:00 PM,11:16:00 PM,12:16:00 AM,1:16:00 AM
REXDALE BLVD at WOODBINE CENTRE,8:25:00 AM,9:00:00 AM,9:35:00 AM,10:10:00 AM,10:45:00 AM,11:20:00 AM,11:55:00 AM,12:30:00 PM,1:05 PM[b],1:40 PM[b],2:15 PM[b],2:50 PM[b],3:25 PM[b],4:00 PM[b],4:35 PM[b],5:10:00 PM,5:45:00 PM,6:20:00 PM,6:55:00 PM,7:27:00 PM,7:57:00 PM,8:27:00 PM,8:57:00 PM,9:27:00 PM,10:27:00 PM,11:27:00 PM,12:27:00 AM,1:27:00 AM
DERRY RD at REXWOOD RD,8:32:00 AM,9:07:00 AM,9:42:00 AM,10:17:00 AM,10:52:00 AM,11:27:00 AM,12:02:00 PM,12:37:00 PM,1:12 PM[b],1:47 PM[b],2:22 PM[b],2:57 PM[b],3:32 PM[b],4:07 PM[b],4:42 PM[b],5:17:00 PM,5:52:00 PM,6:27:00 PM,7:02:00 PM,7:33:00 PM,8:03:00 PM,8:33:00 PM,9:03:00 PM,9:33:00 PM,10:33:00 PM,11:33:00 PM,12:33:00 AM,1:33:00 AM
GOREWAY DR at ETUDE DR,8:34:00 AM,9:09:00 AM,9:44:00 AM,10:19:00 AM,10:54:00 AM,11:29:00 AM,12:04:00 PM,12:39:00 PM,1:14 PM[b],1:49 PM[b],2:24 PM[b],2:59 PM[b],3:34 PM[b],4:09 PM[b],4:44 PM[b],5:19:00 PM,5:54:00 PM,6:29:00 PM,7:04:00 PM,7:35:00 PM,8:05:00 PM,8:35:00 PM,9:05:00 PM,9:35:00 PM,10:35:00 PM,11:35:00 PM,12:35:00 AM,1:35:00 AM
WESTWOOD MALL BUS TERMINAL PLATFORM J,8:37:00 AM,9:12:00 AM,9:47:00 AM,10:22:00 AM,10:57:00 AM,11:32:00 AM,12:07:00 PM,12:42:00 PM,1:17 PM[b],1:52 PM[b],2:27 PM[b],3:02 PM[b],3:37 PM[b],4:12 PM[b],4:47 PM[b],5:22:00 PM,5:57:00 PM,6:32:00 PM,7:07:00 PM,7:37:00 PM,8:07:00 PM,8:37:00 PM,9:07:00 PM,9:37:00 PM,10:37:00 PM,11:37:00 PM,12:37:00 AM,1:37:00 AM
