CITY CENTRE BUS TERMINAL PLATFORM L,5:54:00 AM,6:15:00 AM,6:28:00 AM,6:43:00 AM,6:59:00 AM,7:14:00 AM,7:30:00 AM,7:45:00 AM,8:01:00 AM,8:16:00 AM,8:32:00 AM,8:47:00 AM,9:02:00 AM,9:17:00 AM,9:32:00 AM,9:47:00 AM,10:08:00 AM,10:29:00 AM,10:50:00 AM,11:11:00 AM,11:32:00 AM,11:53:00 AM,12:14:00 PM,12:35:00 PM,12:56:00 PM,1:17:00 PM,1:38:00 PM,1:59:00 PM,2:15:00 PM,2:28:00 PM,2:44:00 PM,2:57:00 PM,3:12:00 PM,3:27:00 PM,3:43:00 PM,3:58:00 PM,4:14:00 PM,4:29:00 PM,4:45:00 PM,5:00:00 PM,5:16:00 PM,5:31:00 PM,5:47:00 PM,6:02:00 PM,6:18:00 PM,6:33:00 PM,6:50:00 PM,7:07:00 PM,7:24:00 PM,7:52:00 PM,8:20:00 PM,8:48:00 PM,9:16:00 PM,9:44:00 PM,10:12:00 PM,10:40:00 PM,11:08:00 PM,11:36:00 PM,12:04:00 AM
RATHBURN RD at CONFEDERATION PKY,5:57:00 AM,6:18:00 AM,6:31:00 AM,6:46:00 AM,7:02:00 AM,7:17:00 AM,7:33:00 AM,7:48:00 AM,8:04:00 AM,8:19:00 AM,8:35:00 AM,8:50:00 AM,9:05:00 AM,9:20:00 AM,9:34:00 AM,9:49:00 AM,10:10:00 AM,10:31:00 AM,10:52:00 AM,11:13:00 AM,11:34:00 AM,11:55:00 AM,12:16:00 PM,12:37:00 PM,12:58:00 PM,1:19:00 PM,1:40:00 PM,2:01:00 PM,2:17:00 PM,2:30:00 PM,2:47:00 PM,3:00:00 PM,3:15:00 PM,3:30:00 PM,3:46:00 PM,4:01:00 PM,4:17:00 PM,4:32:00 PM,4:48:00 PM,5:03:00 PM,5:19:00 PM,5:34:00 PM,5:50:00 PM,6:05:00 PM,6:21:00 PM,6:36:00 PM,6:53:00 PM,7:09:00 PM,7:26:00 PM,7:54:00 PM,8:22:00 PM,8:50:00 PM,9:18:00 PM,9:46:00 PM,10:14:00 PM,10:42:00 PM,11:10:00 PM,11:38:00 PM,12:06:00 AM
CONFEDERATION PKY at EGLINTON AVE,6:00:00 AM,6:21:00 AM,6:34:00 AM,6:49:00 AM,7:05:00 AM,7:20:00 AM,7:36:00 AM,7:51:00 AM,8:07:00 AM,8:22:00 AM,8:38:00 AM,8:53:00 AM,9:08:00 AM,9:23:00 AM,9:37:00 AM,9:52:00 AM,10:13:00 AM,10:34:00 AM,10:55:00 AM,11:16:00 AM,11:37:00 AM,11:58:00 AM,12:19:00 PM,12:40:00 PM,1:01:00 PM,1:22:00 PM,1:43:00 PM,2:04:00 PM,2:20:00 PM,2:33:00 PM,2:50:00 PM,3:03:00 PM,3:18:00 PM,3:33:00 PM,3:49:00 PM,4:04:00 PM,4:20:00 PM,4:35:00 PM,4:51:00 PM,5:06:00 PM,5:22:00 PM,5:37:00 PM,5:53:00 PM,6:08:00 PM,6:24:00 PM,6:39:00 PM,6:56:00 PM,7:12:00 PM,7:29:00 PM,7:57:00 PM,8:25:00 PM,8:53:00 PM,9:21:00 PM,9:49:00 PM,10:17:00 PM,10:45:00 PM,11:13:00 PM,11:41:00 PM,12:09:00 AM
MCLAUGHLIN RD at EGLINTON AVE,6:00:00 AM,6:21:00 AM,6:34:00 AM,6:49:00 AM,7:05:00 AM,7:20:00 AM,7:36:00 AM,7:51:00 AM,8:07:00 AM,8:22:00 AM,8:38:00 AM,8:53:00 AM,9:08:00 AM,9:23:00 AM,9:37:00 AM,9:52:00 AM,10:13:00 AM,10:34:00 AM,10:55:00 AM,11:16:00 AM,11:37:00 AM,11:58:00 AM,12:19:00 PM,12:40:00 PM,1:01:00 PM,1:22:00 PM,1:43:00 PM,2:04:00 PM,2:20:00 PM,2:33:00 PM,2:50:00 PM,3:03:00 PM,3:18:00 PM,3:33:00 PM,3:49:00 PM,4:04:00 PM,4:20:00 PM,4:35:00 PM,4:51:00 PM,5:06:00 PM,5:22:00 PM,5:37:00 PM,5:53:00 PM,6:08:00 PM,6:24:00 PM,6:39:00 PM,6:56:00 PM,7:12:00 PM,7:29:00 PM,7:57:00 PM,8:25:00 PM,8:53:00 PM,9:21:00 PM,9:49:00 PM,10:17:00 PM,10:45:00 PM,11:13:00 PM,11:41:00 PM,12:09:00 AM
MCLAUGHLIN RD at BRISTOL RD,6:03:00 AM,6:24:00 AM,6:37:00 AM,6:52:00 AM,7:08:00 AM,7:23:00 AM,7:39:00 AM,7:54:00 AM,8:10:00 AM,8:25:00 AM,8:41:00 AM,8:56:00 AM,9:11:00 AM,9:26:00 AM,9:40:00 AM,9:55:00 AM,10:16:00 AM,10:37:00 AM,10:58:00 AM,11:19:00 AM,11:40:00 AM,12:01:00 PM,12:22:00 PM,12:43:00 PM,1:04:00 PM,1:25:00 PM,1:46:00 PM,2:07:00 PM,2:23:00 PM,2:36:00 PM,2:53:00 PM,3:06:00 PM,3:21:00 PM,3:36:00 PM,3:52:00 PM,4:07:00 PM,4:23:00 PM,4:38:00 PM,4:54:00 PM,5:09:00 PM,5:25:00 PM,5:40:00 PM,5:56:00 PM,6:11:00 PM,6:27:00 PM,6:42:00 PM,6:59:00 PM,7:15:00 PM,7:32:00 PM,8:00:00 PM,8:28:00 PM,8:56:00 PM,9:24:00 PM,9:52:00 PM,10:20:00 PM,10:48:00 PM,11:16:00 PM,11:44:00 PM,12:12:00 AM
MCLAUGHLIN RD south of BRITANNIA RD,6:08:00 AM,6:29:00 AM,6:42:00 AM,6:57:00 AM,7:13:00 AM,7:28:00 AM,7:44:00 AM,7:59:00 AM,8:15:00 AM,8:30:00 AM,8:46:00 AM,9:01:00 AM,9:16:00 AM,9:31:00 AM,9:45:00 AM,10:00:00 AM,10:21:00 AM,10:42:00 AM,11:03:00 AM,11:24:00 AM,11:45:00 AM,12:06:00 PM,12:27:00 PM,12:48:00 PM,1:09:00 PM,1:30:00 PM,1:51:00 PM,2:12:00 PM,2:28:00 PM,2:41:00 PM,2:58:00 PM,3:11:00 PM,3:26:00 PM,3:41:00 PM,3:57:00 PM,4:12:00 PM,4:28:00 PM,4:43:00 PM,4:59:00 PM,5:14:00 PM,5:30:00 PM,5:45:00 PM,6:01:00 PM,6:16:00 PM,6:32:00 PM,6:47:00 PM,7:04:00 PM,7:20:00 PM,7:37:00 PM,8:05:00 PM,8:33:00 PM,9:01:00 PM,9:29:00 PM,9:57:00 PM,10:25:00 PM,10:53:00 PM,11:21:00 PM,11:49:00 PM,12:17:00 AM
MCLAUGHLIN RD at COURTNEYPARK DR,6:13:00 AM,6:34:00 AM,6:47:00 AM,7:02:00 AM,7:18:00 AM,7:33:00 AM,7:49:00 AM,8:04:00 AM,8:20:00 AM,8:35:00 AM,8:51:00 AM,9:06:00 AM,9:21:00 AM,9:34:00 AM,9:48:00 AM,10:03:00 AM,10:24:00 AM,10:45:00 AM,11:06:00 AM,11:27:00 AM,11:48:00 AM,12:09:00 PM,12:30:00 PM,12:51:00 PM,1:12:00 PM,1:33:00 PM,1:54:00 PM,2:15:00 PM,2:31:00 PM,2:46:00 PM,3:03:00 PM,3:16:00 PM,3:31:00 PM,3:46:00 PM,4:02:00 PM,4:17:00 PM,4:33:00 PM,4:48:00 PM,5:04:00 PM,5:19:00 PM,5:35:00 PM,5:50:00 PM,6:06:00 PM,6:21:00 PM,6:37:00 PM,6:52:00 PM,7:07:00 PM,7:23:00 PM,7:40:00 PM,8:08:00 PM,8:36:00 PM,9:04:00 PM,9:32:00 PM,10:00:00 PM,10:28:00 PM,10:56:00 PM,11:24:00 PM,11:52:00 PM,12:20:00 AM
MCLAUGHLIN RD at DERRY RD,6:17:00 AM,6:38:00 AM,6:51:00 AM,7:06:00 AM,7:22:00 AM,7:37:00 AM,7:53:00 AM,8:08:00 AM,8:24:00 AM,8:39:00 AM,8:55:00 AM,9:10:00 AM,9:25:00 AM,9:37:00 AM,9:51:00 AM,10:06:00 AM,10:27:00 AM,10:48:00 AM,11:09:00 AM,11:30:00 AM,11:51:00 AM,12:12:00 PM,12:33:00 PM,12:54:00 PM,1:15:00 PM,1:36:00 PM,1:57:00 PM,2:18:00 PM,2:35:00 PM,2:50:00 PM,3:07:00 PM,3:20:00 PM,3:35:00 PM,3:50:00 PM,4:06:00 PM,4:21:00 PM,4:37:00 PM,4:52:00 PM,5:08:00 PM,5:23:00 PM,5:39:00 PM,5:54:00 PM,6:10:00 PM,6:25:00 PM,6:41:00 PM,6:56:00 PM,7:09:00 PM,7:25:00 PM,7:42:00 PM,8:10:00 PM,8:38:00 PM,9:06:00 PM,9:34:00 PM,10:02:00 PM,10:30:00 PM,10:58:00 PM,11:26:00 PM,11:54:00 PM,12:22:00 AM
SHERIDAN COLLEGE BRAMPTON CAMPUS,6:26:00 AM,6:47:00 AM,7:00:00 AM,7:15:00 AM,7:31:00 AM,7:46:00 AM,8:02:00 AM,8:17:00 AM,8:33:00 AM,8:48:00 AM,9:04:00 AM,9:19:00 AM,9:34:00 AM,9:45:00 AM,9:59:00 AM,10:14:00 AM,10:35:00 AM,10:56:00 AM,11:17:00 AM,11:38:00 AM,11:59:00 AM,12:20:00 PM,12:41:00 PM,1:02:00 PM,1:23:00 PM,1:44:00 PM,2:05:00 PM,2:26:00 PM,2:44:00 PM,2:59:00 PM,3:16:00 PM,3:29:00 PM,3:44:00 PM,3:59:00 PM,4:15:00 PM,4:30:00 PM,4:46:00 PM,5:01:00 PM,5:17:00 PM,5:32:00 PM,5:48:00 PM,6:03:00 PM,6:19:00 PM,6:34:00 PM,6:50:00 PM,7:04:00 PM,7:16:00 PM,7:32:00 PM,7:49:00 PM,8:17:00 PM,8:45:00 PM,9:13:00 PM,9:41:00 PM,10:09:00 PM,10:37:00 PM,11:05:00 PM,11:33:00 PM,12:01:00 AM,12:29:00 AM
