DUNDAS ST at HURONTARIO ST,4:56:00 AM,5:23:00 AM,5:48:00 AM,6:01:00 AM,6:26:00 AM,6:51:00 AM,7:16:00 AM,7:41:00 AM,7:54:00 AM,8:07 AM[b],8:19:00 AM,8:32 AM[b],8:44:00 AM,8:57 AM[b],9:09:00 AM,9:22 AM[b],9:34:00 AM,9:47 AM[b],9:58:00 AM,10:08:00 AM,10:17 AM[b],10:31:00 AM,10:46 AM[b],11:00:00 AM,11:12 AM[b],11:26:00 AM,11:38 AM[b],11:52:00 AM,11:58 AM[d],12:04 PM[b],12:18:00 PM,12:24 PM[d],12:30 PM[b],12:44:00 PM,12:50 PM[d],12:56 PM[b],1:10:00 PM,1:16 PM[d],1:22 PM[b],1:36:00 PM,1:42 PM[d],1:48 PM[b],2:02:00 PM,2:08 PM[d],2:14 PM[b],2:28:00 PM,2:34 PM[d],2:40 PM[b],2:54:00 PM,3:00 PM[d],3:06 PM[b],3:20:00 PM,3:26 PM[d],3:32 PM[b],3:46:00 PM,3:52 PM[d],3:58 PM[b],4:12:00 PM,4:18 PM[d],4:24 PM[b],4:38:00 PM,4:44 PM[d],4:50 PM[b],5:04:00 PM,5:10 PM[d],5:16 PM[b],5:30:00 PM,5:36 PM[d],5:42 PM[b],5:56:00 PM,6:02 PM[d],6:08 PM[b],6:22:00 PM,6:28 PM[d],6:34 PM[b],6:45:00 PM,7:00 PM[b],7:12:00 PM,7:24 PM[b],7:37:00 PM,7:50 PM[b],8:03:00 PM,8:15 PM[b],8:28:00 PM,8:40 PM[b],8:53:00 PM,9:05 PM[b],9:18:00 PM,9:39 PM[b],10:04:00 PM,10:24 PM[b],10:46:00 PM,11:09 PM[b],11:31:00 PM,11:54 PM[b],12:16:00 AM,12:39 AM[b],1:01:00 AM,1:23:00 AM
DUNDAS ST at CAWTHRA RD,5:02:00 AM,5:29:00 AM,5:54:00 AM,6:07:00 AM,6:32:00 AM,6:57:00 AM,7:22:00 AM,7:47:00 AM,8:00:00 AM,8:13 AM[b],8:25:00 AM,8:38 AM[b],8:50:00 AM,9:03 AM[b],9:15:00 AM,9:28 AM[b],9:40:00 AM,9:53 AM[b],10:05:00 AM,10:15:00 AM,10:24 AM[b],10:38:00 AM,10:53 AM[b],11:07:00 AM,11:19 AM[b],11:33:00 AM,11:45 AM[b],11:59:00 AM,12:05 PM[d],12:11 PM[b],12:25:00 PM,12:31 PM[d],12:37 PM[b],12:51:00 PM,12:57 PM[d],1:03 PM[b],1:17:00 PM,1:23 PM[d],1:29 PM[b],1:43:00 PM,1:49 PM[d],1:55 PM[b],2:09:00 PM,2:15 PM[d],2:21 PM[b],2:35:00 PM,2:41 PM[d],2:47 PM[b],3:01:00 PM,3:07 PM[d],3:13 PM[b],3:27:00 PM,3:33 PM[d],3:39 PM[b],3:53:00 PM,3:59 PM[d],4:05 PM[b],4:19:00 PM,4:25 PM[d],4:31 PM[b],4:45:00 PM,4:51 PM[d],4:57 PM[b],5:11:00 PM,5:17 PM[d],5:23 PM[b],5:37:00 PM,5:43 PM[d],5:49 PM[b],6:03:00 PM,6:09 PM[d],6:15 PM[b],6:29:00 PM,6:35 PM[d],6:41 PM[b],6:52:00 PM,7:06 PM[b],7:18:00 PM,7:30 PM[b],7:43:00 PM,7:56 PM[b],8:09:00 PM,8:21 PM[b],8:34:00 PM,8:46 PM[b],8:59:00 PM,9:11 PM[b],9:24:00 PM,9:45 PM[b],10:10:00 PM,10:30 PM[b],10:52:00 PM,11:15 PM[b],11:37:00 PM,12:00 AM[b],12:22:00 AM,12:45 AM[b],1:07:00 AM,1:29:00 AM
DUNDAS ST east of CAWTHRA RD,5:03:00 AM,5:30:00 AM,5:55:00 AM,6:08:00 AM,6:33:00 AM,6:58:00 AM,7:23:00 AM,7:48:00 AM,8:01:00 AM,8:14 AM[b],8:26:00 AM,8:39 AM[b],8:51:00 AM,9:04 AM[b],9:16:00 AM,9:29 AM[b],9:41:00 AM,9:54 AM[b],10:06:00 AM,10:16:00 AM,10:25 AM[b],10:39:00 AM,10:54 AM[b],11:08:00 AM,11:20 AM[b],11:34:00 AM,11:46 AM[b],12:00:00 PM,12:06 PM[d],12:12 PM[b],12:26:00 PM,12:32 PM[d],12:38 PM[b],12:52:00 PM,12:58 PM[d],1:04 PM[b],1:18:00 PM,1:24 PM[d],1:30 PM[b],1:44:00 PM,1:50 PM[d],1:56 PM[b],2:10:00 PM,2:16 PM[d],2:22 PM[b],2:36:00 PM,2:42 PM[d],2:48 PM[b],3:02:00 PM,3:08 PM[d],3:14 PM[b],3:28:00 PM,3:34 PM[d],3:40 PM[b],3:54:00 PM,4:00 PM[d],4:06 PM[b],4:20:00 PM,4:26 PM[d],4:32 PM[b],4:46:00 PM,4:52 PM[d],4:58 PM[b],5:12:00 PM,5:18 PM[d],5:24 PM[b],5:38:00 PM,5:44 PM[d],5:50 PM[b],6:04:00 PM,6:10 PM[d],6:16 PM[b],6:30:00 PM,6:36 PM[d],6:42 PM[b],6:53:00 PM,7:07 PM[b],7:19:00 PM,7:31 PM[b],7:44:00 PM,7:57 PM[b],8:10:00 PM,8:22 PM[b],8:35:00 PM,8:47 PM[b],9:00:00 PM,9:12 PM[b],9:25:00 PM,9:46 PM[b],10:11:00 PM,10:31 PM[b],10:53:00 PM,11:16 PM[b],11:38:00 PM,12:01 AM[b],12:23:00 AM,12:46 AM[b],1:08:00 AM,1:30:00 AM
DUNDAS ST at TOMKEN RD,5:05:00 AM,5:32:00 AM,5:57:00 AM,6:10:00 AM,6:35:00 AM,7:00:00 AM,7:25:00 AM,7:50:00 AM,8:03:00 AM,8:16 AM[b],8:28:00 AM,8:41 AM[b],8:53:00 AM,9:06 AM[b],9:18:00 AM,9:31 AM[b],9:43:00 AM,9:56 AM[b],10:08:00 AM,10:18:00 AM,10:27 AM[b],10:41:00 AM,10:56 AM[b],11:10:00 AM,11:22 AM[b],11:36:00 AM,11:48 AM[b],12:02:00 PM,12:08 PM[d],12:14 PM[b],12:28:00 PM,12:34 PM[d],12:40 PM[b],12:54:00 PM,1:00 PM[d],1:06 PM[b],1:20:00 PM,1:26 PM[d],1:32 PM[b],1:46:00 PM,1:52 PM[d],1:58 PM[b],2:12:00 PM,2:18 PM[d],2:24 PM[b],2:38:00 PM,2:44 PM[d],2:50 PM[b],3:04:00 PM,3:10 PM[d],3:16 PM[b],3:30:00 PM,3:36 PM[d],3:42 PM[b],3:56:00 PM,4:02 PM[d],4:08 PM[b],4:22:00 PM,4:28 PM[d],4:34 PM[b],4:48:00 PM,4:54 PM[d],5:00 PM[b],5:14:00 PM,5:20 PM[d],5:26 PM[b],5:40:00 PM,5:46 PM[d],5:52 PM[b],6:06:00 PM,6:12 PM[d],6:18 PM[b],6:32:00 PM,6:38 PM[d],6:44 PM[b],6:55:00 PM,7:09 PM[b],7:21:00 PM,7:33 PM[b],7:46:00 PM,7:59 PM[b],8:12:00 PM,8:24 PM[b],8:37:00 PM,8:49 PM[b],9:02:00 PM,9:14 PM[b],9:27:00 PM,9:48 PM[b],10:13:00 PM,10:33 PM[b],10:55:00 PM,11:18 PM[b],11:40:00 PM,12:03 AM[b],12:25:00 AM,12:48 AM[b],1:10:00 AM,1:32:00 AM
DUNDAS ST at DIXIE RD,5:08:00 AM,5:35:00 AM,6:00:00 AM,6:13:00 AM,6:38:00 AM,7:03:00 AM,7:28:00 AM,7:53:00 AM,8:06:00 AM,8:19 AM[b],8:31:00 AM,8:44 AM[b],8:56:00 AM,9:09 AM[b],9:21:00 AM,9:34 AM[b],9:46:00 AM,9:59 AM[b],10:13:00 AM,10:23:00 AM,10:32 AM[b],10:46:00 AM,11:01 AM[b],11:15:00 AM,11:27 AM[b],11:41:00 AM,11:53 AM[b],12:07:00 PM,12:13 PM[d],12:19 PM[b],12:33:00 PM,12:39 PM[d],12:45 PM[b],12:59:00 PM,1:05 PM[d],1:11 PM[b],1:25:00 PM,1:31 PM[d],1:37 PM[b],1:51:00 PM,1:57 PM[d],2:03 PM[b],2:17:00 PM,2:23 PM[d],2:29 PM[b],2:43:00 PM,2:49 PM[d],2:55 PM[b],3:09:00 PM,3:15 PM[d],3:21 PM[b],3:35:00 PM,3:41 PM[d],3:47 PM[b],4:01:00 PM,4:07 PM[d],4:13 PM[b],4:27:00 PM,4:33 PM[d],4:39 PM[b],4:53:00 PM,4:59 PM[d],5:05 PM[b],5:19:00 PM,5:25 PM[d],5:31 PM[b],5:45:00 PM,5:51 PM[d],5:57 PM[b],6:11:00 PM,6:17 PM[d],6:23 PM[b],6:37:00 PM,6:43 PM[d],6:49 PM[b],7:00:00 PM,7:12 PM[b],7:24:00 PM,7:36 PM[b],7:49:00 PM,8:02 PM[b],8:15:00 PM,8:27 PM[b],8:40:00 PM,8:52 PM[b],9:05:00 PM,9:17 PM[b],9:30:00 PM,9:51 PM[b],10:16:00 PM,10:36 PM[b],10:58:00 PM,11:21 PM[b],11:43:00 PM,12:06 AM[b],12:28:00 AM,12:51 AM[b],1:13:00 AM,1:35:00 AM
DUNDAS ST east of DIXIE RD,5:08:00 AM,5:35:00 AM,6:00:00 AM,6:13:00 AM,6:38:00 AM,7:03:00 AM,7:28:00 AM,7:53:00 AM,8:06:00 AM,8:19 AM[b],8:31:00 AM,8:44 AM[b],8:56:00 AM,9:09 AM[b],9:21:00 AM,9:34 AM[b],9:46:00 AM,9:59 AM[b],10:13:00 AM,10:23:00 AM,10:32 AM[b],10:46:00 AM,11:01 AM[b],11:15:00 AM,11:27 AM[b],11:41:00 AM,11:53 AM[b],12:07:00 PM,12:13 PM[d],12:19 PM[b],12:33:00 PM,12:39 PM[d],12:45 PM[b],12:59:00 PM,1:05 PM[d],1:11 PM[b],1:25:00 PM,1:31 PM[d],1:37 PM[b],1:51:00 PM,1:57 PM[d],2:03 PM[b],2:17:00 PM,2:23 PM[d],2:29 PM[b],2:43:00 PM,2:49 PM[d],2:55 PM[b],3:09:00 PM,3:15 PM[d],3:21 PM[b],3:35:00 PM,3:41 PM[d],3:47 PM[b],4:01:00 PM,4:07 PM[d],4:13 PM[b],4:27:00 PM,4:33 PM[d],4:39 PM[b],4:53:00 PM,4:59 PM[d],5:05 PM[b],5:19:00 PM,5:25 PM[d],5:31 PM[b],5:45:00 PM,5:51 PM[d],5:57 PM[b],6:11:00 PM,6:17 PM[d],6:23 PM[b],6:37:00 PM,6:43 PM[d],6:49 PM[b],7:00:00 PM,7:12 PM[b],7:24:00 PM,7:36 PM[b],7:49:00 PM,8:02 PM[b],8:15:00 PM,8:27 PM[b],8:40:00 PM,8:52 PM[b],9:05:00 PM,9:17 PM[b],9:30:00 PM,9:51 PM[b],10:16:00 PM,10:36 PM[b],10:58:00 PM,11:21 PM[b],11:43:00 PM,12:06 AM[b],12:28:00 AM,12:51 AM[b],1:13:00 AM,1:35:00 AM
DUNDAS ST at WHARTON WAY,5:11:00 AM,5:38:00 AM,6:03:00 AM,6:16:00 AM,6:41:00 AM,7:06:00 AM,7:31:00 AM,7:56:00 AM,8:09:00 AM,8:22 AM[b],8:34:00 AM,8:47 AM[b],8:59:00 AM,9:12 AM[b],9:24:00 AM,9:37 AM[b],9:49:00 AM,10:02 AM[b],10:16:00 AM,10:26:00 AM,10:35 AM[b],10:49:00 AM,11:04 AM[b],11:18:00 AM,11:30 AM[b],11:44:00 AM,11:56 AM[b],12:10:00 PM,12:16 PM[d],12:22 PM[b],12:36:00 PM,12:42 PM[d],12:48 PM[b],1:02:00 PM,1:08 PM[d],1:14 PM[b],1:28:00 PM,1:34 PM[d],1:40 PM[b],1:54:00 PM,2:00 PM[d],2:06 PM[b],2:20:00 PM,2:26 PM[d],2:32 PM[b],2:46:00 PM,2:52 PM[d],2:58 PM[b],3:12:00 PM,3:18 PM[d],3:24 PM[b],3:38:00 PM,3:44 PM[d],3:50 PM[b],4:04:00 PM,4:10 PM[d],4:16 PM[b],4:30:00 PM,4:36 PM[d],4:42 PM[b],4:56:00 PM,5:02 PM[d],5:08 PM[b],5:22:00 PM,5:28 PM[d],5:34 PM[b],5:48:00 PM,5:54 PM[d],6:00 PM[b],6:14:00 PM,6:20 PM[d],6:26 PM[b],6:40:00 PM,6:46 PM[d],6:52 PM[b],7:03:00 PM,7:15 PM[b],7:27:00 PM,7:39 PM[b],7:52:00 PM,8:05 PM[b],8:18:00 PM,8:30 PM[b],8:43:00 PM,8:55 PM[b],9:08:00 PM,9:20 PM[b],9:33:00 PM,9:54 PM[b],10:19:00 PM,10:39 PM[b],11:01:00 PM,11:24 PM[b],11:46:00 PM,12:09 AM[b],12:31:00 AM,12:54 AM[b],1:16:00 AM,1:38:00 AM
DUNDAS ST at BILLINGHAM RD,5:16:00 AM,5:43:00 AM,6:08:00 AM,6:21:00 AM,6:46:00 AM,7:11:00 AM,7:36:00 AM,8:01:00 AM,8:14:00 AM,8:27 AM[b],8:39:00 AM,8:52 AM[b],9:04:00 AM,9:17 AM[b],9:29:00 AM,9:42 AM[b],9:54:00 AM,10:08 AM[b],10:22:00 AM,10:32:00 AM,10:41 AM[b],10:55:00 AM,11:10 AM[b],11:24:00 AM,11:36 AM[b],11:50:00 AM,12:02 PM[b],12:16:00 PM,12:28 PM[b],12:42:00 PM,12:54 PM[b],1:08:00 PM,1:20 PM[b],1:34:00 PM,1:46 PM[b],2:00:00 PM,2:12 PM[b],2:26:00 PM,2:38 PM[b],2:52:00 PM,3:04 PM[b],3:18:00 PM,3:30 PM[b],3:44:00 PM,3:56 PM[b],4:10:00 PM,4:22 PM[b],4:36:00 PM,4:48 PM[b],5:02:00 PM,5:14 PM[b],5:28:00 PM,5:40 PM[b],5:54:00 PM,6:06 PM[b],6:20:00 PM,6:32 PM[b],6:46:00 PM,6:58 PM[b],7:08:00 PM,7:20 PM[b],7:32:00 PM,7:44 PM[b],7:57:00 PM,8:10 PM[b],8:23:00 PM,8:35 PM[b],8:48:00 PM,9:00 PM[b],9:13:00 PM,9:25 PM[b],9:38:00 PM,9:59 PM[b],10:24:00 PM,10:44 PM[b],11:06:00 PM,11:29 PM[b],11:51:00 PM,12:14 AM[b],12:36:00 AM,12:59 AM[b],1:21:00 AM,1:43:00 AM,,,,,,,,,,,,,,,,
ISLINGTON SUBWAY DROP OFF,5:25:00 AM,5:52:00 AM,6:17:00 AM,6:30:00 AM,6:55:00 AM,7:20:00 AM,7:45:00 AM,8:10:00 AM,8:23:00 AM,8:36 AM[b],8:48:00 AM,9:01 AM[b],9:13:00 AM,9:26 AM[b],9:38:00 AM,9:51 AM[b],10:03:00 AM,10:17 AM[b],10:31:00 AM,10:41:00 AM,10:50 AM[b],11:04:00 AM,11:19 AM[b],11:33:00 AM,11:45 AM[b],11:59:00 AM,12:11 PM[b],12:25:00 PM,12:37 PM[b],12:51:00 PM,1:03 PM[b],1:17:00 PM,1:29 PM[b],1:43:00 PM,1:55 PM[b],2:09:00 PM,2:21 PM[b],2:35:00 PM,2:47 PM[b],3:01:00 PM,3:13 PM[b],3:27:00 PM,3:39 PM[b],3:53:00 PM,4:05 PM[b],4:19:00 PM,4:31 PM[b],4:45:00 PM,4:57 PM[b],5:11:00 PM,5:23 PM[b],5:37:00 PM,5:49 PM[b],6:03:00 PM,6:15 PM[b],6:29:00 PM,6:41 PM[b],6:55:00 PM,7:07 PM[b],7:17:00 PM,7:29 PM[b],7:41:00 PM,7:53 PM[b],8:06:00 PM,8:19 PM[b],8:32:00 PM,8:44 PM[b],8:57:00 PM,9:09 PM[b],9:22:00 PM,9:34 PM[b],9:47:00 PM,10:08 PM[b],10:33:00 PM,10:53 PM[b],11:15:00 PM,11:38 PM[b],12:00:00 AM,12:23 AM[b],12:45:00 AM,1:08 AM[b],1:30:00 AM,1:52:00 AM,,,,,,,,,,,,,,,,
ISLINGTON SUBWAY BUS TERMINAL PLATFORM D,5:26:00 AM,5:53:00 AM,6:18:00 AM,6:31:00 AM,6:56:00 AM,7:21:00 AM,7:46:00 AM,8:11:00 AM,8:24:00 AM,8:37 AM[b],8:49:00 AM,9:02 AM[b],9:14:00 AM,9:27 AM[b],9:39:00 AM,9:52 AM[b],10:04:00 AM,10:18 AM[b],10:32:00 AM,10:42:00 AM,10:51 AM[b],11:05:00 AM,11:20 AM[b],11:34:00 AM,11:46 AM[b],12:00:00 PM,12:12 PM[b],12:26:00 PM,12:38 PM[b],12:52:00 PM,1:04 PM[b],1:18:00 PM,1:30 PM[b],1:44:00 PM,1:56 PM[b],2:10:00 PM,2:22 PM[b],2:36:00 PM,2:48 PM[b],3:02:00 PM,3:14 PM[b],3:28:00 PM,3:40 PM[b],3:54:00 PM,4:06 PM[b],4:20:00 PM,4:32 PM[b],4:46:00 PM,4:58 PM[b],5:12:00 PM,5:24 PM[b],5:38:00 PM,5:50 PM[b],6:04:00 PM,6:16 PM[b],6:30:00 PM,6:42 PM[b],6:56:00 PM,7:08 PM[b],7:18:00 PM,7:30 PM[b],7:42:00 PM,7:54 PM[b],8:07:00 PM,8:20 PM[b],8:33:00 PM,8:45 PM[b],8:58:00 PM,9:10 PM[b],9:23:00 PM,9:35 PM[b],9:48:00 PM,10:09 PM[b],10:34:00 PM,10:54 PM[b],11:16:00 PM,11:39 PM[b],12:01:00 AM,12:24 AM[b],12:46:00 AM,1:09 AM[b],1:31:00 AM,1:53:00 AM,,,,,,,,,,,,,,,,
