SHERIDAN PARK DR at WINSTON CHURCHILL BLVD,4:38:00 PM
SPEAKMAN DR at HADWEN RD,4:40:00 PM
SHERIDAN CENTRE BUS TERMINAL PLATFORM C,4:43:00 PM
FOWLER DR at ROCHE CRT,4:45:00 PM
ISLINGTON SUBWAY DROP OFF,5:19:00 PM
ISLINGTON SUBWAY BUS TERMINAL PLATFORM C,5:20:00 PM
