CLARKSON GO STATION PLATFORM E,9:47:00 AM,10:14:00 AM,10:41:00 AM,11:08:00 AM,11:36:00 AM,12:04:00 PM,12:32:00 PM,1:00:00 PM,1:28:00 PM,1:56:00 PM,2:24:00 PM,2:52:00 PM,3:20:00 PM,3:48:00 PM,4:16:00 PM,4:44:00 PM,5:12:00 PM,5:40:00 PM,6:08:00 PM,6:36:00 PM,7:04:00 PM,7:30:00 PM,7:56:00 PM,8:22:00 PM,8:48:00 PM,9:14:00 PM,9:40:00 PM,10:06:00 PM,10:32:00 PM
ERIN MILLS PKY at FOWLER DR,9:52:00 AM,10:19:00 AM,10:46:00 AM,11:13:00 AM,11:42:00 AM,12:10:00 PM,12:38:00 PM,1:06:00 PM,1:34:00 PM,2:02:00 PM,2:30:00 PM,2:58:00 PM,3:26:00 PM,3:54:00 PM,4:22:00 PM,4:50:00 PM,5:18:00 PM,5:46:00 PM,6:14:00 PM,6:42:00 PM,7:10:00 PM,7:35:00 PM,8:01:00 PM,8:27:00 PM,8:53:00 PM,9:18:00 PM,9:44:00 PM,10:10:00 PM,10:36:00 PM
DUNDAS ST W east of ERIN MILLS PKY,9:55:00 AM,10:22:00 AM,10:49:00 AM,11:16:00 AM,11:45:00 AM,12:13:00 PM,12:41:00 PM,1:09:00 PM,1:37:00 PM,2:05:00 PM,2:33:00 PM,3:01:00 PM,3:29:00 PM,3:57:00 PM,4:25:00 PM,4:53:00 PM,5:21:00 PM,5:49:00 PM,6:17:00 PM,6:45:00 PM,7:13:00 PM,7:38:00 PM,8:04:00 PM,8:30:00 PM,8:56:00 PM,9:21:00 PM,9:47:00 PM,10:13:00 PM,10:39:00 PM
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,10:00:00 AM,10:27:00 AM,10:54:00 AM,11:21:00 AM,11:50:00 AM,12:18:00 PM,12:46:00 PM,1:14:00 PM,1:42:00 PM,2:10:00 PM,2:38:00 PM,3:06:00 PM,3:34:00 PM,4:02:00 PM,4:30:00 PM,4:58:00 PM,5:26:00 PM,5:54:00 PM,6:22:00 PM,6:50:00 PM,7:18:00 PM,7:43:00 PM,8:09:00 PM,8:35:00 PM,9:01:00 PM,9:26:00 PM,9:52:00 PM,10:18:00 PM,10:44:00 PM
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM C,10:07:00 AM,10:34:00 AM,11:01:00 AM,11:28:00 AM,11:58:00 AM,12:26:00 PM,12:54:00 PM,1:22:00 PM,1:50:00 PM,2:18:00 PM,2:46:00 PM,3:14:00 PM,3:42:00 PM,4:10:00 PM,4:38:00 PM,5:06:00 PM,5:34:00 PM,6:02:00 PM,6:30:00 PM,6:58:00 PM,7:26:00 PM,7:51:00 PM,8:17:00 PM,8:43:00 PM,9:09:00 PM,9:34:00 PM,10:00:00 PM,10:26:00 PM,10:52:00 PM
ERIN MILLS PKY at FOLKWAY DR,10:10:00 AM,10:37:00 AM,11:04:00 AM,11:31:00 AM,12:01:00 PM,12:29:00 PM,12:57:00 PM,1:25:00 PM,1:53:00 PM,2:21:00 PM,2:49:00 PM,3:17:00 PM,3:45:00 PM,4:13:00 PM,4:41:00 PM,5:09:00 PM,5:37:00 PM,6:05:00 PM,6:33:00 PM,7:01:00 PM,7:29:00 PM,7:54:00 PM,8:20:00 PM,8:46:00 PM,9:12:00 PM,9:37:00 PM,10:03:00 PM,10:29:00 PM,10:55:00 PM
CITY CENTRE BUS TERMINAL PLATFORM L,10:17:00 AM,10:44:00 AM,11:11:00 AM,11:39:00 AM,12:09:00 PM,12:37:00 PM,1:05:00 PM,1:33:00 PM,2:01:00 PM,2:29:00 PM,2:57:00 PM,3:25:00 PM,3:53:00 PM,4:21:00 PM,4:49:00 PM,5:17:00 PM,5:45:00 PM,6:13:00 PM,6:41:00 PM,7:09:00 PM,7:36:00 PM,8:01:00 PM,8:27:00 PM,8:53:00 PM,9:19:00 PM,9:44:00 PM,10:10:00 PM,10:36:00 PM,11:02:00 PM
