WOODBINE CENTRE BUS TERMINAL PLATFORM A,7:00:00 AM,8:00:00 AM,9:00:00 AM,9:30:00 AM,10:00:00 AM,10:30:00 AM,11:00:00 AM,11:30:00 AM,12:00:00 PM,12:30:00 PM,1:00:00 PM,1:30:00 PM,2:00:00 PM,2:30:00 PM,3:00:00 PM,3:30:00 PM,4:00:00 PM,4:30:00 PM,5:00:00 PM,5:30:00 PM,6:00:00 PM,6:30:00 PM,7:00:00 PM,7:30:00 PM,8:00:00 PM,8:30:00 PM,9:30:00 PM,10:30:00 PM
REXDALE BLVD at HUMBERWOOD BLVD,7:01:00 AM,8:01:00 AM,9:01:00 AM,9:31:00 AM,10:01:00 AM,10:31:00 AM,11:01:00 AM,11:31:00 AM,12:01:00 PM,12:31:00 PM,1:01:00 PM,1:31:00 PM,2:01:00 PM,2:31:00 PM,3:01:00 PM,3:31:00 PM,4:01:00 PM,4:31:00 PM,5:01:00 PM,5:31:00 PM,6:01:00 PM,6:31:00 PM,7:01:00 PM,7:31:00 PM,8:01:00 PM,8:31:00 PM,9:31:00 PM,10:31:00 PM
DERRY RD west of GOREWAY DR[b],7:04:00 AM,8:04:00 AM,9:04:00 AM,9:34:00 AM,10:04:00 AM,10:34:00 AM,11:04:00 AM,11:34:00 AM,12:04:00 PM,12:34:00 PM,1:04:00 PM,1:34:00 PM,2:04:00 PM,2:34:00 PM,3:04:00 PM,3:34:00 PM,4:04:00 PM,4:34:00 PM,5:04:00 PM,5:34:00 PM,6:04:00 PM,6:34:00 PM,7:04:00 PM,7:34:00 PM,8:04:00 PM,8:34:00 PM,9:34:00 PM,10:34:00 PM
HULL ST at AIRPORT RD,7:07:00 AM,8:07:00 AM,9:07:00 AM,9:37:00 AM,10:07:00 AM,10:37:00 AM,11:07:00 AM,11:37:00 AM,12:07:00 PM,12:37:00 PM,1:07:00 PM,1:37:00 PM,2:07:00 PM,2:37:00 PM,3:07:00 PM,3:37:00 PM,4:07:00 PM,4:37:00 PM,5:07:00 PM,5:37:00 PM,6:07:00 PM,6:37:00 PM,7:07:00 PM,7:37:00 PM,8:07:00 PM,8:37:00 PM,9:37:00 PM,10:37:00 PM
BEVERLEY ST at AIRPORT RD,7:12:00 AM,8:12:00 AM,9:12:00 AM,9:42:00 AM,10:12:00 AM,10:42:00 AM,11:12:00 AM,11:42:00 AM,12:12:00 PM,12:42:00 PM,1:12:00 PM,1:42:00 PM,2:12:00 PM,2:42:00 PM,3:12:00 PM,3:42:00 PM,4:12:00 PM,4:42:00 PM,5:12:00 PM,5:42:00 PM,6:12:00 PM,6:42:00 PM,7:12:00 PM,7:42:00 PM,8:12:00 PM,8:42:00 PM,9:42:00 PM,10:42:00 PM
BENAVON RD at NETHERWOOD RD,7:18:00 AM,8:18:00 AM,9:18:00 AM,9:48:00 AM,10:18:00 AM,10:48:00 AM,11:18:00 AM,11:48:00 AM,12:18:00 PM,12:48:00 PM,1:18:00 PM,1:48:00 PM,2:18:00 PM,2:48:00 PM,3:18:00 PM,3:48:00 PM,4:18:00 PM,4:48:00 PM,5:18:00 PM,5:48:00 PM,6:18:00 PM,6:48:00 PM,7:18:00 PM,7:48:00 PM,8:18:00 PM,8:48:00 PM,9:48:00 PM,10:48:00 PM
BRANDON GATE DR east of ANAKA DR,7:22:00 AM,8:22:00 AM,9:22:00 AM,9:52:00 AM,10:22:00 AM,10:52:00 AM,11:22:00 AM,11:52:00 AM,12:22:00 PM,12:52:00 PM,1:22:00 PM,1:52:00 PM,2:22:00 PM,2:52:00 PM,3:22:00 PM,3:52:00 PM,4:22:00 PM,4:52:00 PM,5:22:00 PM,5:52:00 PM,6:22:00 PM,6:52:00 PM,7:22:00 PM,7:52:00 PM,8:22:00 PM,8:52:00 PM,9:52:00 PM,10:52:00 PM
CATALPA RD at CHIPLEY CRES,7:23:00 AM,8:23:00 AM,9:23:00 AM,9:53:00 AM,10:23:00 AM,10:53:00 AM,11:23:00 AM,11:53:00 AM,12:23:00 PM,12:53:00 PM,1:23:00 PM,1:53:00 PM,2:23:00 PM,2:53:00 PM,3:23:00 PM,3:53:00 PM,4:23:00 PM,4:53:00 PM,5:23:00 PM,5:53:00 PM,6:23:00 PM,6:53:00 PM,7:23:00 PM,7:53:00 PM,8:23:00 PM,8:53:00 PM,9:53:00 PM,10:53:00 PM
WESTWOOD MALL BUS TERMINAL PLATFORM A,7:26:00 AM,8:26:00 AM,9:26:00 AM,9:56:00 AM,10:26:00 AM,10:56:00 AM,11:26:00 AM,11:56:00 AM,12:26:00 PM,12:56:00 PM,1:26:00 PM,1:56:00 PM,2:26:00 PM,2:56:00 PM,3:26:00 PM,3:56:00 PM,4:26:00 PM,4:56:00 PM,5:26:00 PM,5:56:00 PM,6:26:00 PM,6:56:00 PM,7:26:00 PM,7:56:00 PM,8:26:00 PM,8:56:00 PM,9:56:00 PM,10:56:00 PM
