CREDITVIEW RD south of WILLOW WAY,2:32 PM[G]
CREDITVIEW RD at CUTHBERT AVE,2:35 PM[G]
CREDITVIEW RD at EGLINTON AVE,2:36 PM[G]
CREDITVIEW RD at MELIA DR,2:39 PM[G]
RATHBURN RD at DEER RUN (west leg),2:39 PM[G]
RATHBURN RD at QUEENSBRIDGE DR (west leg),2:43 PM[G]
RATHBURN RD at MAVIS RD,2:44 PM[G]
CITY CENTRE BUS TERMINAL DROP OFF,2:49 PM[G]
