LONG BRANCH GO STATION,5:55:00 AM,6:19:00 AM,6:43:00 AM,7:07:00 AM,7:31:00 AM,7:55:00 AM,8:19:00 AM,8:43:00 AM,9:07:00 AM,9:31:00 AM,9:55:00 AM,10:18:00 AM,10:39:00 AM,10:59:00 AM,11:18:00 AM,11:37:00 AM,11:56:00 AM,12:15:00 PM,12:34:00 PM,12:53:00 PM,1:12:00 PM,1:31:00 PM,1:50:00 PM,2:09:00 PM,2:28:00 PM,2:47:00 PM,3:06:00 PM,3:25:00 PM,3:44:00 PM,4:03:00 PM,4:22:00 PM,4:41:00 PM,5:00:00 PM,5:19:00 PM,5:38:00 PM,5:57:00 PM,6:16:00 PM,6:35:00 PM,6:55:00 PM,7:17:00 PM,7:41:00 PM,8:04:00 PM,8:28:00 PM,8:52:00 PM,9:16:00 PM,9:40:00 PM,10:04:00 PM,10:28:00 PM,10:52:00 PM,11:16:00 PM,11:40:00 PM,12:04:00 AM,12:28:00 AM,12:52:00 AM
LAKESHORE RD E at OGDEN AVE,5:59:00 AM,6:23:00 AM,6:47:00 AM,7:11:00 AM,7:35:00 AM,7:59:00 AM,8:23:00 AM,8:47:00 AM,9:11:00 AM,9:36:00 AM,10:00:00 AM,10:23:00 AM,10:44:00 AM,11:04:00 AM,11:23:00 AM,11:42:00 AM,12:01:00 PM,12:20:00 PM,12:39:00 PM,12:58:00 PM,1:17:00 PM,1:36:00 PM,1:55:00 PM,2:14:00 PM,2:33:00 PM,2:52:00 PM,3:11:00 PM,3:30:00 PM,3:49:00 PM,4:08:00 PM,4:27:00 PM,4:46:00 PM,5:05:00 PM,5:24:00 PM,5:43:00 PM,6:02:00 PM,6:21:00 PM,6:40:00 PM,7:00:00 PM,7:22:00 PM,7:46:00 PM,8:09:00 PM,8:32:00 PM,8:56:00 PM,9:20:00 PM,9:44:00 PM,10:08:00 PM,10:32:00 PM,10:56:00 PM,11:20:00 PM,11:44:00 PM,12:08:00 AM,12:32:00 AM,12:56:00 AM
LAKESHORE RD E at CAWTHRA RD,6:02:00 AM,6:26:00 AM,6:50:00 AM,7:14:00 AM,7:38:00 AM,8:02:00 AM,8:26:00 AM,8:50:00 AM,9:14:00 AM,9:39:00 AM,10:03:00 AM,10:26:00 AM,10:47:00 AM,11:07:00 AM,11:26:00 AM,11:45:00 AM,12:04:00 PM,12:23:00 PM,12:42:00 PM,1:01:00 PM,1:20:00 PM,1:39:00 PM,1:58:00 PM,2:17:00 PM,2:36:00 PM,2:55:00 PM,3:14:00 PM,3:33:00 PM,3:52:00 PM,4:11:00 PM,4:30:00 PM,4:49:00 PM,5:08:00 PM,5:27:00 PM,5:46:00 PM,6:05:00 PM,6:24:00 PM,6:43:00 PM,7:03:00 PM,7:25:00 PM,7:49:00 PM,8:12:00 PM,8:35:00 PM,8:59:00 PM,9:23:00 PM,9:47:00 PM,10:11:00 PM,10:35:00 PM,10:59:00 PM,11:23:00 PM,11:47:00 PM,12:11:00 AM,12:35:00 AM,12:59:00 AM
LAKESHORE RD E at HURONTARIO ST,6:06:00 AM,6:30:00 AM,6:54:00 AM,7:18:00 AM,7:42:00 AM,8:06:00 AM,8:30:00 AM,8:55:00 AM,9:19:00 AM,9:44:00 AM,10:08:00 AM,10:31:00 AM,10:52:00 AM,11:12:00 AM,11:31:00 AM,11:50:00 AM,12:09:00 PM,12:28:00 PM,12:47:00 PM,1:06:00 PM,1:25:00 PM,1:44:00 PM,2:03:00 PM,2:22:00 PM,2:41:00 PM,3:00:00 PM,3:19:00 PM,3:38:00 PM,3:57:00 PM,4:15:00 PM,4:34:00 PM,4:53:00 PM,5:12:00 PM,5:31:00 PM,5:50:00 PM,6:09:00 PM,6:28:00 PM,6:47:00 PM,7:07:00 PM,7:29:00 PM,7:53:00 PM,8:16:00 PM,8:39:00 PM,9:03:00 PM,9:27:00 PM,9:51:00 PM,10:15:00 PM,10:39:00 PM,11:03:00 PM,11:27:00 PM,11:51:00 PM,12:15:00 AM,12:39:00 AM,1:03:00 AM
PORT CREDIT GO STATION PLATFORM D,6:09:00 AM,6:33:00 AM,6:57:00 AM,7:21:00 AM,7:45:00 AM,8:09:00 AM,8:33:00 AM,8:58:00 AM,9:22:00 AM,9:47:00 AM,10:11:00 AM,10:34:00 AM,10:55:00 AM,11:15:00 AM,11:34:00 AM,11:53:00 AM,12:12:00 PM,12:31:00 PM,12:50:00 PM,1:09:00 PM,1:28:00 PM,1:47:00 PM,2:06:00 PM,2:25:00 PM,2:44:00 PM,3:03:00 PM,3:22:00 PM,3:41:00 PM,4:01:00 PM,4:19:00 PM,4:38:00 PM,4:57:00 PM,5:16:00 PM,5:35:00 PM,5:54:00 PM,6:13:00 PM,6:32:00 PM,6:51:00 PM,7:11:00 PM,7:33:00 PM,7:57:00 PM,8:20:00 PM,8:42:00 PM,9:06:00 PM,9:30:00 PM,9:54:00 PM,10:18:00 PM,10:42:00 PM,11:06:00 PM,11:30:00 PM,11:54:00 PM,12:18:00 AM,12:42:00 AM,1:06:00 AM
LAKESHORE RD W at MISSISSAUGA RD,6:12:00 AM,6:36:00 AM,7:00:00 AM,7:24:00 AM,7:48:00 AM,8:12:00 AM,8:36:00 AM,9:01:00 AM,9:25:00 AM,9:50:00 AM,10:14:00 AM,10:37:00 AM,10:58:00 AM,11:18:00 AM,11:37:00 AM,11:56:00 AM,12:15:00 PM,12:34:00 PM,12:53:00 PM,1:12:00 PM,1:31:00 PM,1:50:00 PM,2:09:00 PM,2:28:00 PM,2:47:00 PM,3:06:00 PM,3:25:00 PM,3:44:00 PM,4:04:00 PM,4:22:00 PM,4:41:00 PM,5:00:00 PM,5:19:00 PM,5:38:00 PM,5:57:00 PM,6:16:00 PM,6:35:00 PM,6:54:00 PM,7:14:00 PM,7:36:00 PM,8:00:00 PM,8:23:00 PM,8:45:00 PM,9:09:00 PM,9:33:00 PM,9:57:00 PM,10:21:00 PM,10:45:00 PM,11:09:00 PM,11:33:00 PM,11:57:00 PM,12:21:00 AM,12:45:00 AM,1:09:00 AM
LAKESHORE RD W at LORNE PARK RD,6:17:00 AM,6:41:00 AM,7:05:00 AM,7:29:00 AM,7:53:00 AM,8:17:00 AM,8:41:00 AM,9:06:00 AM,9:31:00 AM,9:56:00 AM,10:20:00 AM,10:43:00 AM,11:04:00 AM,11:24:00 AM,11:43:00 AM,12:02:00 PM,12:21:00 PM,12:40:00 PM,12:59:00 PM,1:18:00 PM,1:37:00 PM,1:56:00 PM,2:15:00 PM,2:34:00 PM,2:53:00 PM,3:12:00 PM,3:31:00 PM,3:50:00 PM,4:09:00 PM,4:27:00 PM,4:46:00 PM,5:05:00 PM,5:24:00 PM,5:43:00 PM,6:02:00 PM,6:21:00 PM,6:40:00 PM,6:59:00 PM,7:19:00 PM,7:41:00 PM,8:05:00 PM,8:28:00 PM,8:50:00 PM,9:14:00 PM,9:38:00 PM,10:02:00 PM,10:26:00 PM,10:50:00 PM,11:14:00 PM,11:38:00 PM,12:02:00 AM,12:26:00 AM,12:50:00 AM,1:14:00 AM
LAKESHORE RD W at MEADOW WOOD RD,6:21:00 AM,6:45:00 AM,7:09:00 AM,7:33:00 AM,7:57:00 AM,8:21:00 AM,8:45:00 AM,9:10:00 AM,9:35:00 AM,10:00:00 AM,10:24:00 AM,10:47:00 AM,11:08:00 AM,11:28:00 AM,11:47:00 AM,12:06:00 PM,12:25:00 PM,12:44:00 PM,1:03:00 PM,1:22:00 PM,1:41:00 PM,2:00:00 PM,2:19:00 PM,2:38:00 PM,2:57:00 PM,3:16:00 PM,3:35:00 PM,3:54:00 PM,4:13:00 PM,4:31:00 PM,4:50:00 PM,5:09:00 PM,5:28:00 PM,5:47:00 PM,6:06:00 PM,6:25:00 PM,6:44:00 PM,7:03:00 PM,7:23:00 PM,7:45:00 PM,8:09:00 PM,8:31:00 PM,8:53:00 PM,9:17:00 PM,9:41:00 PM,10:05:00 PM,10:29:00 PM,10:53:00 PM,11:17:00 PM,11:41:00 PM,12:05:00 AM,12:29:00 AM,12:53:00 AM,1:17:00 AM
CLARKSON GO STATION PLATFORM D,6:26:00 AM,6:50:00 AM,7:14:00 AM,7:38:00 AM,8:02:00 AM,8:26:00 AM,8:50:00 AM,9:15:00 AM,9:40:00 AM,10:05:00 AM,10:29:00 AM,10:52:00 AM,11:13:00 AM,11:33:00 AM,11:52:00 AM,12:11:00 PM,12:30:00 PM,12:49:00 PM,1:08:00 PM,1:27:00 PM,1:46:00 PM,2:05:00 PM,2:24:00 PM,2:43:00 PM,3:02:00 PM,3:21:00 PM,3:40:00 PM,3:59:00 PM,4:18:00 PM,4:36:00 PM,4:55:00 PM,5:14:00 PM,5:33:00 PM,5:52:00 PM,6:11:00 PM,6:30:00 PM,6:49:00 PM,7:08:00 PM,7:28:00 PM,7:50:00 PM,8:14:00 PM,8:36:00 PM,8:58:00 PM,9:22:00 PM,9:46:00 PM,10:10:00 PM,10:34:00 PM,10:58:00 PM,11:22:00 PM,11:46:00 PM,12:10:00 AM,12:34:00 AM,12:58:00 AM,1:22:00 AM
