WESTWOOD MALL BUS TERMINAL PLATFORM F,8:06:00 AM,8:41:00 AM,9:16:00 AM,10:01:00 AM,10:46:00 AM,11:31:00 AM,12:16:00 PM,1:01 PM[b],1:46 PM[b],2:31 PM[b],3:16 PM[b],4:01 PM[b],4:46 PM[b],5:31:00 PM,6:16:00 PM,7:01:00 PM,7:46:00 PM,8:31:00 PM,9:16:00 PM,9:51:00 PM
DARCEL AVE at BRANDON GATE DR,8:11:00 AM,8:46:00 AM,9:21:00 AM,10:06:00 AM,10:51:00 AM,11:36:00 AM,12:21:00 PM,1:06 PM[b],1:51 PM[b],2:36 PM[b],3:21 PM[b],4:06 PM[b],4:51 PM[b],5:36:00 PM,6:21:00 PM,7:06:00 PM,7:51:00 PM,8:36:00 PM,9:21:00 PM,9:56:00 PM
FINCH AVE east of HUMBERLINE DR,8:15:00 AM,8:50:00 AM,9:25:00 AM,10:10:00 AM,10:55:00 AM,11:40:00 AM,12:25:00 PM,1:10 PM[b],1:55 PM[b],2:40 PM[b],3:25 PM[b],4:10 PM[b],4:55 PM[b],5:40:00 PM,6:25:00 PM,7:10:00 PM,7:55:00 PM,8:40:00 PM,9:25:00 PM,10:00:00 PM
HUMBER COLLEGE BLVD at FINCH AVE W,8:16:00 AM,8:51:00 AM,9:26:00 AM,10:11:00 AM,10:56:00 AM,11:41:00 AM,12:26:00 PM,1:11 PM[b],1:56 PM[b],2:41 PM[b],3:26 PM[b],4:11 PM[b],4:56 PM[b],5:41:00 PM,6:26:00 PM,7:11:00 PM,7:56:00 PM,8:41:00 PM,9:26:00 PM,10:01:00 PM
HUMBER COLLEGE NORTH CAMPUS PLATFORM A,8:18:00 AM,8:53:00 AM,9:28:00 AM,10:13:00 AM,10:58:00 AM,11:43:00 AM,12:28:00 PM,1:13 PM[b],1:58 PM[b],2:43 PM[b],3:28 PM[b],4:13 PM[b],4:58 PM[b],5:43:00 PM,6:28:00 PM,7:13:00 PM,7:58:00 PM,8:43:00 PM,9:28:00 PM,10:03:00 PM
HUMBER COLLEGE BLVD at WESTMORE DR,8:21:00 AM,8:56:00 AM,9:31:00 AM,10:16:00 AM,11:01:00 AM,11:46:00 AM,12:31:00 PM,1:16 PM[b],2:01 PM[b],2:46 PM[b],3:31 PM[b],4:16 PM[b],5:01:00 PM,5:46:00 PM,6:31:00 PM,7:16:00 PM,8:01:00 PM,8:46:00 PM,9:31:00 PM,10:06:00 PM
