CARDIFF BLVD east of TOMKEN RD,5:47:00 AM,6:08:00 AM,6:33:00 AM,6:58:00 AM,7:23:00 AM,7:49:00 AM,8:17:00 AM,8:38:00 AM,9:03:00 AM,9:28:00 AM,9:55:00 AM,1:59:00 PM,2:25:00 PM,2:50:00 PM,3:14:00 PM,3:40:00 PM,4:05:00 PM,4:31:00 PM,4:55:00 PM,5:21:00 PM,5:45:00 PM,6:10:00 PM,6:38:00 PM,7:01:00 PM,7:25:00 PM,7:51:00 PM,8:19:00 PM,8:46:00 PM,9:27:00 PM,10:01:00 PM,10:35:00 PM,11:10:00 PM,11:48:00 PM,12:20:00 AM,,
CARDIFF BLVD at LORIMAR DR,5:48:00 AM,6:09:00 AM,6:34:00 AM,6:59:00 AM,7:24:00 AM,7:50:00 AM,8:18:00 AM,8:39:00 AM,9:04:00 AM,9:29:00 AM,9:56:00 AM,2:00:00 PM,2:26:00 PM,2:51:00 PM,3:15:00 PM,3:41:00 PM,4:06:00 PM,4:32:00 PM,4:56:00 PM,5:22:00 PM,5:46:00 PM,6:11:00 PM,6:39:00 PM,7:02:00 PM,7:26:00 PM,7:52:00 PM,8:20:00 PM,8:47:00 PM,9:28:00 PM,10:02:00 PM,10:36:00 PM,11:11:00 PM,11:49:00 PM,12:21:00 AM,,
DIXIE RD at DERRY RD,5:54:00 AM,6:15:00 AM,6:40:00 AM,7:05:00 AM,7:30:00 AM,7:56:00 AM,8:24:00 AM,8:45:00 AM,9:10:00 AM,9:35:00 AM,10:02:00 AM,2:06:00 PM,2:32:00 PM,2:58:00 PM,3:22:00 PM,3:48:00 PM,4:13:00 PM,4:39:00 PM,5:03:00 PM,5:29:00 PM,5:53:00 PM,6:18:00 PM,6:46:00 PM,7:08:00 PM,7:32:00 PM,7:58:00 PM,8:26:00 PM,8:53:00 PM,9:34:00 PM,10:08:00 PM,10:42:00 PM,11:17:00 PM,11:55:00 PM,12:27:00 AM,,
TRANMERE DR at TELFORD WAY,6:00:00 AM,6:21:00 AM,6:46:00 AM,7:11:00 AM,7:36:00 AM,8:02:00 AM,8:30:00 AM,8:51:00 AM,9:15:00 AM,9:39:00 AM,10:06:00 AM,2:10:00 PM,2:36:00 PM,3:03:00 PM,3:27:00 PM,3:53:00 PM,4:18:00 PM,4:44:00 PM,5:08:00 PM,5:34:00 PM,5:58:00 PM,6:23:00 PM,6:50:00 PM,7:12:00 PM,7:36:00 PM,8:02:00 PM,8:30:00 PM,8:57:00 PM,9:38:00 PM,10:12:00 PM,10:46:00 PM,11:21:00 PM,11:59:00 PM,12:30:00 AM,,
DREW RD at BRAMALEA RD,6:03:00 AM,6:24:00 AM,6:49:00 AM,7:14:00 AM,7:39:00 AM,8:05:00 AM,8:33:00 AM,8:54:00 AM,9:18:00 AM,9:42:00 AM,10:09:00 AM,2:13:00 PM,2:39:00 PM,3:06:00 PM,3:30:00 PM,3:56:00 PM,4:21:00 PM,4:47:00 PM,5:11:00 PM,5:37:00 PM,6:01:00 PM,6:26:00 PM,6:53:00 PM,7:15:00 PM,7:39:00 PM,8:05:00 PM,8:33:00 PM,9:00:00 PM,9:41:00 PM,10:15:00 PM,10:49:00 PM,11:24:00 PM,12:02:00 AM,12:33:00 AM,,
KIMBEL ST FIRST STOP west of DREW RD,6:07:00 AM,6:28:00 AM,6:53:00 AM,7:18:00 AM,7:43:00 AM,8:09:00 AM,8:37:00 AM,8:58:00 AM,9:22:00 AM,9:46:00 AM,10:13:00 AM,2:17:00 PM,2:44:00 PM,3:11:00 PM,3:35:00 PM,4:01:00 PM,4:26:00 PM,4:52:00 PM,5:16:00 PM,5:42:00 PM,6:06:00 PM,6:31:00 PM,6:57:00 PM,7:19:00 PM,7:43:00 PM,8:09:00 PM,8:37:00 PM,9:04:00 PM,9:45:00 PM,10:19:00 PM,10:53:00 PM,11:28:00 PM,12:05:00 AM,12:36:00 AM,,
SLOUGH ST at BATH RD,6:13:00 AM,6:34:00 AM,6:59:00 AM,7:24:00 AM,7:49:00 AM,8:15:00 AM,8:43:00 AM,9:04:00 AM,9:28:00 AM,9:51:00 AM,10:18:00 AM,2:22:00 PM,2:50:00 PM,3:17:00 PM,3:41:00 PM,4:07:00 PM,4:32:00 PM,4:58:00 PM,5:22:00 PM,5:48:00 PM,6:12:00 PM,6:37:00 PM,7:02:00 PM,7:24:00 PM,7:48:00 PM,8:14:00 PM,8:42:00 PM,9:09:00 PM,9:50:00 PM,10:24:00 PM,10:58:00 PM,11:33:00 PM,12:09:00 AM,12:40:00 AM,,
BATH RD south of THAMESGATE DR,6:13:00 AM,6:34:00 AM,6:59:00 AM,7:24:00 AM,7:49:00 AM,8:15:00 AM,8:43:00 AM,9:04:00 AM,9:28:00 AM,9:51:00 AM,10:18:00 AM,2:22:00 PM,2:50:00 PM,3:17:00 PM,3:41:00 PM,4:07:00 PM,4:32:00 PM,4:58:00 PM,5:22:00 PM,5:48:00 PM,6:12:00 PM,6:37:00 PM,7:02:00 PM,7:24:00 PM,7:48:00 PM,8:14:00 PM,8:42:00 PM,9:09:00 PM,9:50:00 PM,10:24:00 PM,10:58:00 PM,11:33:00 PM,12:09:00 AM,12:40:00 AM,,
AIRPORT RD at HULL ST,5:10 AM[b],5:50 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETHERWOOD RD at REDSTONE RD,5:14 AM[b],5:54 AM[b],6:17:00 AM,6:38:00 AM,7:03:00 AM,7:28:00 AM,7:53:00 AM,8:19:00 AM,8:47:00 AM,9:08:00 AM,9:32:00 AM,9:55:00 AM,10:22:00 AM,2:26:00 PM,2:54:00 PM,3:21:00 PM,3:45:00 PM,4:11:00 PM,4:36:00 PM,5:02:00 PM,5:26:00 PM,5:52:00 PM,6:16:00 PM,6:41:00 PM,7:06:00 PM,7:28:00 PM,7:52:00 PM,8:18:00 PM,8:46:00 PM,9:13:00 PM,9:54:00 PM,10:28:00 PM,11:02:00 PM,11:37:00 PM,12:12:00 AM,12:43:00 AM
