SOUTH COMMON CENTRE BUS TERMINAL PLATFORM I,7:03 AM[c],7:48 AM[c],8:34 AM[c],9:18 AM[c],10:03 AM[c],10:48 AM[c],11:36 AM[c],12:18 PM[c],1:03 PM[c],1:50 PM[c],2:33 PM[c],3:18 PM[c],4:03 PM[c],4:49 PM[c],5:33 PM[c],6:18 PM[c],7:03 PM[c],7:48 PM[c],8:28 PM[c],9:18 PM[c],9:53 PM[c],10:48 PM[c],11:23 PM[c],12:17 AM[c]
THE COLLEGEWAY east of GLEN ERIN DR,7:06 AM[c],7:51 AM[c],8:37 AM[c],9:21 AM[c],10:06 AM[c],10:51 AM[c],11:39 AM[c],12:21 PM[c],1:06 PM[c],1:53 PM[c],2:36 PM[c],3:21 PM[c],4:06 PM[c],4:52 PM[c],5:36 PM[c],6:21 PM[c],7:06 PM[c],7:51 PM[c],8:31 PM[c],9:21 PM[c],9:56 PM[c],10:51 PM[c],11:26 PM[c],12:20 AM[c]
GLEN ERIN DR at THE COLLEGEWAY,7:06 AM[c],7:51 AM[c],8:37 AM[c],9:21 AM[c],10:06 AM[c],10:51 AM[c],11:39 AM[c],12:21 PM[c],1:06 PM[c],1:53 PM[c],2:36 PM[c],3:21 PM[c],4:06 PM[c],4:52 PM[c],5:36 PM[c],6:21 PM[c],7:06 PM[c],7:51 PM[c],8:31 PM[c],9:21 PM[c],9:56 PM[c],10:51 PM[c],11:26 PM[c],12:20 AM[c]
WOODCHESTER DR at DUNDAS ST W,7:10 AM[c],7:55 AM[c],8:41 AM[c],9:25 AM[c],10:10 AM[c],10:55 AM[c],11:43 AM[c],12:25 PM[c],1:10 PM[c],1:57 PM[c],2:40 PM[c],3:25 PM[c],4:10 PM[c],4:56 PM[c],5:40 PM[c],6:25 PM[c],7:10 PM[c],7:55 PM[c],8:35 PM[c],9:25 PM[c],10:00 PM[c],10:55 PM[c],11:30 PM[c],12:24 AM[c]
HOMELANDS DR at PYRAMID CRES,7:15 AM[c],8:00 AM[c],8:46 AM[c],9:30 AM[c],10:15 AM[c],11:00 AM[c],11:48 AM[c],12:30 PM[c],1:15 PM[c],2:02 PM[c],2:45 PM[c],3:30 PM[c],4:15 PM[c],5:01 PM[c],5:45 PM[c],6:30 PM[c],7:15 PM[c],8:00 PM[c],8:40 PM[c],9:30 PM[c],10:05 PM[c],11:00 PM[c],11:35 PM[c],12:29 AM[c]
SHERIDAN CENTRE BUS TERMINAL PLATFORM B,7:19 AM[c],8:04 AM[c],8:50 AM[c],9:34 AM[c],10:19 AM[c],11:04 AM[c],11:52 AM[c],12:34 PM[c],1:19 PM[c],2:06 PM[c],2:49 PM[c],3:34 PM[c],4:19 PM[c],5:05 PM[c],5:49 PM[c],6:34 PM[c],7:19 PM[c],8:04 PM[c],8:44 PM[c],9:34 PM[c],10:09 PM[c],11:04 PM[c],11:39 PM[c],12:33 AM[c]
TRUSCOTT DR at THETFORD CRT,7:24 AM[c],8:09 AM[c],8:55 AM[c],9:39 AM[c],10:24 AM[c],11:09 AM[c],11:57 AM[c],12:39 PM[c],1:24 PM[c],2:11 PM[c],2:54 PM[c],3:39 PM[c],4:24 PM[c],5:10 PM[c],5:54 PM[c],6:39 PM[c],7:24 PM[c],8:09 PM[c],8:49 PM[c],9:39 PM[c],10:14 PM[c],11:09 PM[c],11:44 PM[c],12:38 AM[c]
BROMSGROVE RD at CRAMER ST,7:31 AM[c],8:16 AM[c],9:02 AM[c],9:46 AM[c],10:31 AM[c],11:16 AM[c],12:04 PM[c],12:46 PM[c],1:31 PM[c],2:18 PM[c],3:01 PM[c],3:46 PM[c],4:31 PM[c],5:17 PM[c],6:01 PM[c],6:46 PM[c],7:31 PM[c],8:16 PM[c],8:56 PM[c],9:46 PM[c],10:21 PM[c],11:16 PM[c],11:51 PM[c],12:45 AM[c]
CLARKSON GO STATION PLATFORM F,7:37 AM[c],8:22 AM[c],9:08 AM[c],9:52 AM[c],10:37 AM[c],11:22 AM[c],12:10 PM[c],12:52 PM[c],1:37 PM[c],2:24 PM[c],3:07 PM[c],3:52 PM[c],4:37 PM[c],5:23 PM[c],6:07 PM[c],6:52 PM[c],7:37 PM[c],8:22 PM[c],9:02 PM[c],9:52 PM[c],10:27 PM[c],11:22 PM[c],11:57 PM[c],12:51 AM[c]
INVERHOUSE DR at CARRERA CRT,7:41 AM[c],8:26 AM[c],9:12 AM[c],9:56 AM[c],10:41 AM[c],11:26 AM[c],12:14 PM[c],12:56 PM[c],1:41 PM[c],2:28 PM[c],3:11 PM[c],3:56 PM[c],4:41 PM[c],5:27 PM[c],6:11 PM[c],6:56 PM[c],7:41 PM[c],8:26 PM[c],9:06 PM[c],9:56 PM[c],10:31 PM[c],11:26 PM[c],12:01 AM[c],12:55 AM[c]
CLARKSON GO STATION PLATFORM F,7:45 AM[c],8:30 AM[c],9:16 AM[c],10:00 AM[c],10:45 AM[c],11:30 AM[c],12:18 PM[c],1:00 PM[c],1:45 PM[c],2:32 PM[c],3:15 PM[c],4:00 PM[c],4:45 PM[c],5:31 PM[c],6:15 PM[c],7:00 PM[c],7:45 PM[c],8:30 PM[c],9:10 PM[c],10:00 PM[c],10:35 PM[c],11:30 PM[c],12:05 AM[c],12:59 AM[c]
