DUNDAS ST at ERINDALE STATION RD,4:41:00 AM,5:06:00 AM,5:19:00 AM,5:44:00 AM,6:09:00 AM,6:34:00 AM,6:59:00 AM,7:12:00 AM,7:37:00 AM,8:02:00 AM,8:27:00 AM,8:52:00 AM,9:05 AM[b],9:18:00 AM,9:30 AM[b],9:43:00 AM,9:55 AM[b],10:10:00 AM,10:27 AM[b],10:41:00 AM,10:54 AM[b],11:08:00 AM,11:20 AM[b],11:34:00 AM,11:46 AM[b],12:00:00 PM,12:12 PM[b],12:26:00 PM,12:38 PM[b],12:52:00 PM,1:04 PM[b],1:18:00 PM,1:30 PM[b],1:44:00 PM,1:56 PM[b],2:10:00 PM,2:22 PM[b],2:36:00 PM,2:48 PM[b],3:02:00 PM,3:14 PM[b],3:28:00 PM,3:40 PM[b],3:54:00 PM,4:06 PM[b],4:20:00 PM,4:32 PM[b],4:46:00 PM,4:58 PM[b],5:12:00 PM,5:24 PM[b],5:38:00 PM,5:50 PM[b],6:02:00 PM,6:16 PM[b],6:30:00 PM,6:42 PM[b],6:56:00 PM,7:07 PM[b],7:16:00 PM,7:28 PM[b],7:42:00 PM,7:58 PM[b],8:10:00 PM,8:23 PM[b],8:36:00 PM,8:48 PM[b],9:01:00 PM,9:13 PM[b],9:25:00 PM,9:43 PM[b],10:05:00 PM,10:28 PM[b],10:50:00 PM,11:13 PM[b],11:35:00 PM,11:58 PM[b],12:20:00 AM,12:43:00 AM,1:05:00 AM,1:28 AM[b],1:50:00 AM,2:13 AM[b],2:35:00 AM,,,,,,,,,,,,
DUNDAS ST east of ERIN MILLS PKY,4:47:00 AM,5:12:00 AM,5:25:00 AM,5:50:00 AM,6:15:00 AM,6:40:00 AM,7:05:00 AM,7:18:00 AM,7:43:00 AM,8:08:00 AM,8:33:00 AM,8:58:00 AM,9:24:00 AM,9:49:00 AM,10:16:00 AM,10:47:00 AM,11:14:00 AM,11:40:00 AM,12:06:00 PM,12:32:00 PM,12:58:00 PM,1:24:00 PM,1:50:00 PM,2:16:00 PM,2:42:00 PM,3:08:00 PM,3:34:00 PM,4:00:00 PM,4:26:00 PM,4:52:00 PM,5:18:00 PM,5:44:00 PM,6:08:00 PM,6:36:00 PM,7:02:00 PM,7:22:00 PM,7:48:00 PM,8:16:00 PM,8:42:00 PM,9:07:00 PM,9:31:00 PM,10:11:00 PM,10:56:00 PM,11:41:00 PM,12:26:00 AM,12:49:00 AM,1:11:00 AM,1:56:00 AM,2:41:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST at FIFTH LINE WEST,4:48:00 AM,5:13:00 AM,5:26:00 AM,5:51:00 AM,6:16:00 AM,6:41:00 AM,7:06:00 AM,7:19:00 AM,7:44:00 AM,8:09:00 AM,8:34:00 AM,8:59:00 AM,9:25:00 AM,9:50:00 AM,10:17:00 AM,10:48:00 AM,11:15:00 AM,11:41:00 AM,12:07:00 PM,12:33:00 PM,12:59:00 PM,1:25:00 PM,1:51:00 PM,2:17:00 PM,2:43:00 PM,3:09:00 PM,3:35:00 PM,4:01:00 PM,4:27:00 PM,4:53:00 PM,5:19:00 PM,5:45:00 PM,6:09:00 PM,6:37:00 PM,7:03:00 PM,7:23:00 PM,7:49:00 PM,8:17:00 PM,8:43:00 PM,9:08:00 PM,9:32:00 PM,10:12:00 PM,10:57:00 PM,11:42:00 PM,12:27:00 AM,12:50:00 AM,1:12:00 AM,1:57:00 AM,2:42:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNDAS ST at WINSTON CHURCHILL BLVD,4:52:00 AM,5:17:00 AM,5:30:00 AM,5:55:00 AM,6:20:00 AM,6:45:00 AM,7:10:00 AM,7:23:00 AM,7:48:00 AM,8:13:00 AM,8:38:00 AM,9:03:00 AM,9:29:00 AM,9:54:00 AM,10:21:00 AM,10:52:00 AM,11:19:00 AM,11:45:00 AM,12:11:00 PM,12:37:00 PM,1:03:00 PM,1:29:00 PM,1:55:00 PM,2:21:00 PM,2:47:00 PM,3:13:00 PM,3:39:00 PM,4:05:00 PM,4:31:00 PM,4:57:00 PM,5:23:00 PM,5:49:00 PM,6:13:00 PM,6:41:00 PM,7:07:00 PM,7:27:00 PM,7:53:00 PM,8:21:00 PM,8:47:00 PM,9:12:00 PM,9:36:00 PM,10:16:00 PM,11:01:00 PM,11:46:00 PM,12:31:00 AM,12:54:00 AM,1:16:00 AM,2:01:00 AM,2:46:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEGA BLVD at LAIRD RD,4:55:00 AM,5:20:00 AM,5:33:00 AM,5:58:00 AM,6:23:00 AM,6:48:00 AM,7:13:00 AM,7:26:00 AM,7:51:00 AM,8:16:00 AM,8:41:00 AM,9:06:00 AM,9:32:00 AM,9:57:00 AM,10:24:00 AM,10:55:00 AM,11:22:00 AM,11:48:00 AM,12:14:00 PM,12:40:00 PM,1:06:00 PM,1:32:00 PM,1:58:00 PM,2:24:00 PM,2:50:00 PM,3:16:00 PM,3:42:00 PM,4:08:00 PM,4:34:00 PM,5:00:00 PM,5:26:00 PM,5:52:00 PM,6:16:00 PM,6:44:00 PM,7:10:00 PM,7:30:00 PM,7:56:00 PM,8:24:00 PM,8:50:00 PM,9:15:00 PM,9:39:00 PM,10:19:00 PM,11:04:00 PM,11:49:00 PM,12:34:00 AM,12:57:00 AM,1:19:00 AM,2:04:00 AM,2:49:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAIRD RD west of RIDGEWAY DR,4:55:00 AM,5:20:00 AM,5:33:00 AM,5:58:00 AM,6:23:00 AM,6:48:00 AM,7:13:00 AM,7:26:00 AM,7:51:00 AM,8:16:00 AM,8:41:00 AM,9:06:00 AM,9:32:00 AM,9:57:00 AM,10:24:00 AM,10:55:00 AM,11:22:00 AM,11:48:00 AM,12:14:00 PM,12:40:00 PM,1:06:00 PM,1:32:00 PM,1:58:00 PM,2:24:00 PM,2:50:00 PM,3:16:00 PM,3:42:00 PM,4:08:00 PM,4:34:00 PM,5:00:00 PM,5:26:00 PM,5:52:00 PM,6:16:00 PM,6:44:00 PM,7:10:00 PM,7:30:00 PM,7:56:00 PM,8:24:00 PM,8:50:00 PM,9:15:00 PM,9:39:00 PM,10:19:00 PM,11:04:00 PM,11:49:00 PM,12:34:00 AM,12:57:00 AM,1:19:00 AM,2:04:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,9:12 AM[b],9:37 AM[b],10:02 AM[b],10:34 AM[b],11:01 AM[b],11:27 AM[b],11:53 AM[b],12:19 PM[b],12:45 PM[b],1:11 PM[b],1:37 PM[b],2:03 PM[b],2:29 PM[b],2:55 PM[b],3:21 PM[b],3:47 PM[b],4:13 PM[b],4:39 PM[b],5:05 PM[b],5:31 PM[b],5:57 PM[b],6:23 PM[b],6:49 PM[b],7:14 PM[b],7:35 PM[b],8:05 PM[b],8:30 PM[b],8:55 PM[b],9:20 PM[b],9:50 PM[b],10:35 PM[b],11:20 PM[b],12:05 AM[b],1:35 AM[b],2:20 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COLLEGEWAY west of SOUTH MILLWAY,9:17 AM[b],9:42 AM[b],10:07 AM[b],10:39 AM[b],11:06 AM[b],11:32 AM[b],11:58 AM[b],12:24 PM[b],12:50 PM[b],1:16 PM[b],1:42 PM[b],2:08 PM[b],2:34 PM[b],3:00 PM[b],3:26 PM[b],3:52 PM[b],4:18 PM[b],4:44 PM[b],5:10 PM[b],5:36 PM[b],6:02 PM[b],6:28 PM[b],6:54 PM[b],7:19 PM[b],7:40 PM[b],8:10 PM[b],8:35 PM[b],9:00 PM[b],9:25 PM[b],9:55 PM[b],10:40 PM[b],11:25 PM[b],12:10 AM[b],1:40 AM[b],2:25 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COLLEGEWAY at SOUTH COMMON CENTRE ACCESS RD,9:18 AM[b],9:43 AM[b],10:08 AM[b],10:40 AM[b],11:07 AM[b],11:33 AM[b],11:59 AM[b],12:25 PM[b],12:51 PM[b],1:17 PM[b],1:43 PM[b],2:09 PM[b],2:35 PM[b],3:01 PM[b],3:27 PM[b],3:53 PM[b],4:19 PM[b],4:45 PM[b],5:11 PM[b],5:37 PM[b],6:03 PM[b],6:29 PM[b],6:55 PM[b],7:20 PM[b],7:41 PM[b],8:11 PM[b],8:36 PM[b],9:01 PM[b],9:26 PM[b],9:56 PM[b],10:41 PM[b],11:26 PM[b],12:11 AM[b],1:41 AM[b],2:26 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH COMMON CENTRE BUS TERMINAL PLATFORM A,9:20 AM[b],9:45 AM[b],10:10 AM[b],10:42 AM[b],11:09 AM[b],11:35 AM[b],12:01 PM[b],12:27 PM[b],12:53 PM[b],1:19 PM[b],1:45 PM[b],2:11 PM[b],2:37 PM[b],3:03 PM[b],3:29 PM[b],3:55 PM[b],4:21 PM[b],4:47 PM[b],5:13 PM[b],5:39 PM[b],6:05 PM[b],6:31 PM[b],6:57 PM[b],7:22 PM[b],7:43 PM[b],8:13 PM[b],8:38 PM[b],9:03 PM[b],9:28 PM[b],9:58 PM[b],10:43 PM[b],11:28 PM[b],12:13 AM[b],1:43 AM[b],2:28 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
