THOMAS ST at PASSION FLOWER BLVD,2:39 PM[G],3:20 PM[G],3:25 PM[G]
THOMAS ST at CHURCHILL MEADOWS BLVD,2:45 PM[G],3:21 PM[G],3:26 PM[G]
MCDOWELL DR at DELLE DONNE DR,2:46 PM[G],3:22 PM[G],3:27 PM[G]
MCDOWELL DR at TENTH LINE,2:48 PM[G],3:24 PM[G],3:29 PM[G]
TENTH LINE at THOMAS ST,2:49 PM[G],3:25 PM[G],3:30 PM[G]
TENTH LINE at PERENNIAL DR,2:55 PM[G],3:31 PM[G],3:36 PM[G]
MIDDLESEX GATE at AQUINAS AVE,2:55 PM[G],3:31 PM[G],3:36 PM[G]
SEBASTIAN DR at STONECUTTER CRES (south leg),2:56 PM[G],3:32 PM[G],3:37 PM[G]
ARTESIAN DR east of HALF MOON GROVE,2:59 PM[G],3:35 PM[G],3:40 PM[G]
