CITY CENTRE BUS TERMINAL PLATFORM I,8:27:00 AM,9:03:00 AM,9:39:00 AM,10:15:00 AM,10:51:00 AM,11:27:00 AM,12:03:00 PM,12:39:00 PM,1:15:00 PM,1:51:00 PM,2:27:00 PM,3:03:00 PM,3:39:00 PM,4:15:00 PM,4:51:00 PM,5:27:00 PM,6:03:00 PM,6:39:00 PM,7:15:00 PM,7:51:00 PM,8:27:00 PM,9:03:00 PM
MAVIS RD at EGLINTON AVE,8:34:00 AM,9:10:00 AM,9:46:00 AM,10:22:00 AM,10:59:00 AM,11:35:00 AM,12:11:00 PM,12:47:00 PM,1:23:00 PM,1:59:00 PM,2:35:00 PM,3:11:00 PM,3:47:00 PM,4:23:00 PM,4:59:00 PM,5:35:00 PM,6:11:00 PM,6:47:00 PM,7:23:00 PM,7:59:00 PM,8:35:00 PM,9:11:00 PM
MAVIS RD first stop north of EGLINTON AVE,8:34:00 AM,9:10:00 AM,9:46:00 AM,10:22:00 AM,10:59:00 AM,11:35:00 AM,12:11:00 PM,12:47:00 PM,1:23:00 PM,1:59:00 PM,2:35:00 PM,3:11:00 PM,3:47:00 PM,4:23:00 PM,4:59:00 PM,5:35:00 PM,6:11:00 PM,6:47:00 PM,7:23:00 PM,7:59:00 PM,8:35:00 PM,9:11:00 PM
MAVIS RD at BRITANNIA RD,8:41:00 AM,9:17:00 AM,9:53:00 AM,10:29:00 AM,11:06:00 AM,11:42:00 AM,12:18:00 PM,12:54:00 PM,1:30:00 PM,2:06:00 PM,2:42:00 PM,3:18:00 PM,3:54:00 PM,4:30:00 PM,5:06:00 PM,5:42:00 PM,6:18:00 PM,6:54:00 PM,7:30:00 PM,8:06:00 PM,8:42:00 PM,9:18:00 PM
MAVIS RD north of NOVO STAR DR,8:46:00 AM,9:22:00 AM,9:58:00 AM,10:36:00 AM,11:13:00 AM,11:49:00 AM,12:25:00 PM,1:01:00 PM,1:37:00 PM,2:13:00 PM,2:49:00 PM,3:25:00 PM,4:01:00 PM,4:37:00 PM,5:13:00 PM,5:49:00 PM,6:25:00 PM,7:01:00 PM,7:37:00 PM,8:13:00 PM,8:49:00 PM,9:25:00 PM
ENVOY DR at TABBYMAN WALK,8:47:00 AM,9:23:00 AM,9:59:00 AM,10:37:00 AM,11:14:00 AM,11:50:00 AM,12:26:00 PM,1:02:00 PM,1:38:00 PM,2:14:00 PM,2:50:00 PM,3:26:00 PM,4:02:00 PM,4:38:00 PM,5:14:00 PM,5:50:00 PM,6:26:00 PM,7:02:00 PM,7:38:00 PM,8:14:00 PM,8:50:00 PM,9:26:00 PM
DERRY RD at BELLSHIRE GATE,8:51:00 AM,9:27:00 AM,10:03:00 AM,10:41:00 AM,11:18:00 AM,11:54:00 AM,12:30:00 PM,1:06:00 PM,1:42:00 PM,2:18:00 PM,2:54:00 PM,3:30:00 PM,4:06:00 PM,4:42:00 PM,5:18:00 PM,5:54:00 PM,6:30:00 PM,7:06:00 PM,7:42:00 PM,8:18:00 PM,8:54:00 PM,9:30:00 PM
FINANCIAL DR FIRST STOP south of SYNTEX CRT,8:56:00 AM,9:32:00 AM,10:08:00 AM,10:46:00 AM,11:23:00 AM,11:59:00 AM,12:35:00 PM,1:11:00 PM,1:47:00 PM,2:23:00 PM,2:59:00 PM,3:35:00 PM,4:11:00 PM,4:47:00 PM,5:23:00 PM,5:59:00 PM,6:35:00 PM,7:11:00 PM,7:47:00 PM,8:23:00 PM,8:59:00 PM,9:35:00 PM
