STREETSVILLE GO STATION PLATFORM A,6:11 AM[b],6:34 AM[b],6:45 AM[b],6:52 AM[b],7:12 AM[b],7:23 AM[b],7:36 AM[b],7:54 AM[b],8:14 AM[b],4:55 PM[b],5:20 PM[b],5:35 PM[b],5:50 PM[b],6:07 PM[b],6:28 PM[b],7:08 PM[b],7:53 PM[b],,,,,,,,,,,,,,,,,,,,,,,
THOMAS ST at ERIN MILLS PKY,6:15 AM[b],6:38 AM[b],6:49 AM[b],6:56 AM[b],7:16 AM[b],7:27 AM[b],7:40 AM[b],7:58 AM[b],8:18 AM[b],4:59 PM[b],5:24 PM[b],5:39 PM[b],5:54 PM[b],6:11 PM[b],6:32 PM[b],7:12 PM[b],7:57 PM[b],,,,,,,,,,,,,,,,,,,,,,,
THOMAS ST west of ERIN MILLS PKY,6:16 AM[b],6:39 AM[b],6:50 AM[b],6:57 AM[b],7:17 AM[b],7:28 AM[b],7:41 AM[b],7:59 AM[b],8:19 AM[b],5:00 PM[b],5:25 PM[b],5:40 PM[b],5:55 PM[b],6:12 PM[b],6:33 PM[b],7:13 PM[b],7:58 PM[b],,,,,,,,,,,,,,,,,,,,,,,
THOMAS ST at WINSTON CHURCHILL BLVD,6:19 AM[b],6:42 AM[b],6:53 AM[b],7:00 AM[b],7:20 AM[b],7:31 AM[b],7:44 AM[b],8:02 AM[b],8:22 AM[b],5:03 PM[b],5:28 PM[b],5:43 PM[b],5:58 PM[b],6:15 PM[b],6:36 PM[b],7:15 PM[b],8:00 PM[b],,,,,,,,,,,,,,,,,,,,,,,
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM B,8:40:00 AM,9:00:00 AM,9:40:00 AM,10:20:00 AM,11:00:00 AM,11:40:00 AM,12:20:00 PM,1:00:00 PM,1:40:00 PM,2:20:00 PM,2:53:00 PM,3:13:00 PM,3:33:00 PM,3:53:00 PM,4:13:00 PM,4:33:00 PM,4:46:00 PM,7:10:00 PM,8:27:00 PM,9:00:00 PM,9:40:00 PM,10:20:00 PM,11:00:00 PM,,,,,,,,,,,,,,,,,
ERIN CENTRE BLVD at GLEN ERIN DR,8:42:00 AM,9:02:00 AM,9:42:00 AM,10:22:00 AM,11:02:00 AM,11:42:00 AM,12:22:00 PM,1:02:00 PM,1:42:00 PM,2:22:00 PM,2:55:00 PM,3:15:00 PM,3:35:00 PM,3:55:00 PM,4:15:00 PM,4:35:00 PM,4:48:00 PM,7:12:00 PM,8:29:00 PM,9:02:00 PM,9:42:00 PM,10:22:00 PM,11:02:00 PM,,,,,,,,,,,,,,,,,
ERIN CENTRE BLVD at RUSSELL VIEW RD,8:44:00 AM,9:04:00 AM,9:44:00 AM,10:24:00 AM,11:04:00 AM,11:44:00 AM,12:24:00 PM,1:04:00 PM,1:44:00 PM,2:24:00 PM,2:57:00 PM,3:17:00 PM,3:37:00 PM,3:57:00 PM,4:17:00 PM,4:37:00 PM,4:50:00 PM,7:14:00 PM,8:31:00 PM,9:04:00 PM,9:44:00 PM,10:24:00 PM,11:04:00 PM,,,,,,,,,,,,,,,,,
ERIN CENTRE BLVD at WINSTON CHURCHILL BLVD,8:45:00 AM,9:05:00 AM,9:45:00 AM,10:25:00 AM,11:05:00 AM,11:45:00 AM,12:25:00 PM,1:05:00 PM,1:45:00 PM,2:25:00 PM,2:58:00 PM,3:18:00 PM,3:38:00 PM,3:58:00 PM,4:18:00 PM,4:38:00 PM,4:51:00 PM,7:15:00 PM,8:32:00 PM,9:05:00 PM,9:45:00 PM,10:25:00 PM,11:05:00 PM,,,,,,,,,,,,,,,,,
WINSTON CHURCHILL BLVD at THOMAS ST,8:47:00 AM,9:07:00 AM,9:47:00 AM,10:27:00 AM,11:07:00 AM,11:47:00 AM,12:27:00 PM,1:07:00 PM,1:47:00 PM,2:28:00 PM,3:01:00 PM,3:21:00 PM,3:41:00 PM,4:01:00 PM,4:21:00 PM,4:41:00 PM,4:54:00 PM,7:17:00 PM,8:34:00 PM,9:07:00 PM,9:47:00 PM,10:27:00 PM,11:07:00 PM,,,,,,,,,,,,,,,,,
MCDOWELL DR at WINSTON CHURCHILL BLVD,6:21 AM[b],6:44 AM[b],6:55 AM[b],7:02 AM[b],7:22 AM[b],7:33 AM[b],7:46 AM[b],8:04 AM[b],8:24 AM[b],8:49:00 AM,9:09:00 AM,9:49:00 AM,10:29:00 AM,11:09:00 AM,11:49:00 AM,12:29:00 PM,1:09:00 PM,1:49:00 PM,2:30:00 PM,3:03:00 PM,3:23:00 PM,3:43:00 PM,4:03:00 PM,4:23:00 PM,4:43:00 PM,4:56:00 PM,5:05 PM[b],5:30 PM[b],5:45 PM[b],6:00 PM[b],6:17 PM[b],6:38 PM[b],7:17 PM[b],7:19:00 PM,8:02 PM[b],8:36:00 PM,9:09:00 PM,9:49:00 PM,10:29:00 PM,11:09:00 PM
MCDOWELL DR at DELLE DONNE DR,6:24 AM[b],6:47 AM[b],6:58 AM[b],7:05 AM[b],7:25 AM[b],7:36 AM[b],7:49 AM[b],8:07 AM[b],8:27 AM[b],8:52:00 AM,9:12:00 AM,9:52:00 AM,10:32:00 AM,11:12:00 AM,11:52:00 AM,12:32:00 PM,1:12:00 PM,1:52:00 PM,2:33:00 PM,3:06:00 PM,3:26:00 PM,3:46:00 PM,4:06:00 PM,4:26:00 PM,4:46:00 PM,4:59:00 PM,5:08 PM[b],5:33 PM[b],5:48 PM[b],6:03 PM[b],6:20 PM[b],6:41 PM[b],7:20 PM[b],7:21:00 PM,8:05 PM[b],8:38:00 PM,9:11:00 PM,9:51:00 PM,10:31:00 PM,11:11:00 PM
MCDOWELL DR at CHURCHILL MEADOWS BLVD,6:25 AM[b],6:48 AM[b],6:59 AM[b],7:06 AM[b],7:26 AM[b],7:37 AM[b],7:50 AM[b],8:08 AM[b],8:28 AM[b],8:53:00 AM,9:13:00 AM,9:53:00 AM,10:33:00 AM,11:13:00 AM,11:53:00 AM,12:33:00 PM,1:13:00 PM,1:53:00 PM,2:34:00 PM,3:07:00 PM,3:27:00 PM,3:47:00 PM,4:07:00 PM,4:27:00 PM,4:47:00 PM,5:00:00 PM,5:09 PM[b],5:34 PM[b],5:49 PM[b],6:04 PM[b],6:21 PM[b],6:42 PM[b],7:21 PM[b],7:22:00 PM,8:06 PM[b],8:39:00 PM,9:12:00 PM,9:52:00 PM,10:32:00 PM,11:12:00 PM
THOMAS ST at NINTH LINE,6:28 AM[b],6:51 AM[b],7:02 AM[b],7:09 AM[b],7:29 AM[b],7:40 AM[b],7:53 AM[b],8:11 AM[b],8:31 AM[b],8:56:00 AM,9:16:00 AM,9:56:00 AM,10:36:00 AM,11:16:00 AM,11:56:00 AM,12:36:00 PM,1:16:00 PM,1:56:00 PM,2:37:00 PM,3:10:00 PM,3:30:00 PM,3:50:00 PM,4:10:00 PM,4:30:00 PM,4:50:00 PM,5:03:00 PM,5:12 PM[b],5:37 PM[b],5:52 PM[b],6:07 PM[b],6:24 PM[b],6:45 PM[b],7:24 PM[b],7:25:00 PM,8:09 PM[b],8:42:00 PM,9:15:00 PM,9:55:00 PM,10:35:00 PM,11:15:00 PM
