MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM E,8:12 AM[b],8:57 AM[b],9:42 AM[b],10:27 AM[b],11:12 AM[b],11:57 AM[b],12:42 PM[b],1:27 PM[b],2:12 PM[b],2:57 PM[b],3:42 PM[b],4:27 PM[b],5:12 PM[b],5:57 PM[b],6:42 PM[b],7:27 PM[b],8:12 PM[b]
WINSTON CHURCHILL BLVD north of VANDERBILT RD,8:16 AM[b],9:01 AM[b],9:46 AM[b],10:31 AM[b],11:16 AM[b],12:01 PM[b],12:46 PM[b],1:31 PM[b],2:16 PM[b],3:01 PM[b],3:46 PM[b],4:31 PM[b],5:16 PM[b],6:01 PM[b],6:46 PM[b],7:31 PM[b],8:16 PM[b]
DERRY RD west of TERRAGAR BLVD,8:19 AM[b],9:04 AM[b],9:49 AM[b],10:34 AM[b],11:19 AM[b],12:04 PM[b],12:49 PM[b],1:34 PM[b],2:19 PM[b],3:04 PM[b],3:49 PM[b],4:34 PM[b],5:19 PM[b],6:04 PM[b],6:49 PM[b],7:34 PM[b],8:19 PM[b]
LISGAR DR at DOUG LEAVENS BLVD,8:22 AM[b],9:07 AM[b],9:52 AM[b],10:37 AM[b],11:22 AM[b],12:07 PM[b],12:52 PM[b],1:37 PM[b],2:22 PM[b],3:07 PM[b],3:52 PM[b],4:37 PM[b],5:22 PM[b],6:07 PM[b],6:52 PM[b],7:37 PM[b],8:22 PM[b]
BRITANNIA RD at NINTH LINE,8:28 AM[b],9:13 AM[b],9:58 AM[b],10:43 AM[b],11:28 AM[b],12:13 PM[b],12:58 PM[b],1:43 PM[b],2:28 PM[b],3:13 PM[b],3:58 PM[b],4:43 PM[b],5:28 PM[b],6:13 PM[b],6:58 PM[b],7:43 PM[b],8:28 PM[b]
BRITANNIA RD at WINSTON CHURCHILL BLVD,8:32 AM[b],9:17 AM[b],10:02 AM[b],10:47 AM[b],11:32 AM[b],12:17 PM[b],1:02 PM[b],1:47 PM[b],2:32 PM[b],3:17 PM[b],4:02 PM[b],4:47 PM[b],5:32 PM[b],6:17 PM[b],7:02 PM[b],7:47 PM[b],8:32 PM[b]
BRITANNIA RD at ERIN MILLS PKY,8:36 AM[b],9:21 AM[b],10:06 AM[b],10:51 AM[b],11:36 AM[b],12:21 PM[b],1:06 PM[b],1:51 PM[b],2:36 PM[b],3:21 PM[b],4:06 PM[b],4:51 PM[b],5:36 PM[b],6:21 PM[b],7:06 PM[b],7:51 PM[b],8:36 PM[b]
BRITANNIA RD at BROOKSIDE DR,8:39 AM[b],9:24 AM[b],10:09 AM[b],10:54 AM[b],11:39 AM[b],12:24 PM[b],1:09 PM[b],1:54 PM[b],2:39 PM[b],3:24 PM[b],4:09 PM[b],4:54 PM[b],5:39 PM[b],6:24 PM[b],7:09 PM[b],7:54 PM[b],8:39 PM[b]
BRITANNIA RD at ARCH RD,8:40 AM[b],9:25 AM[b],10:10 AM[b],10:55 AM[b],11:40 AM[b],12:25 PM[b],1:10 PM[b],1:55 PM[b],2:40 PM[b],3:25 PM[b],4:10 PM[b],4:55 PM[b],5:40 PM[b],6:25 PM[b],7:10 PM[b],7:55 PM[b],8:40 PM[b]
BRITANNIA RD at CREDITVIEW RD,8:42 AM[b],9:27 AM[b],10:12 AM[b],10:57 AM[b],11:42 AM[b],12:27 PM[b],1:12 PM[b],1:57 PM[b],2:42 PM[b],3:27 PM[b],4:12 PM[b],4:57 PM[b],5:42 PM[b],6:27 PM[b],7:12 PM[b],7:57 PM[b],8:42 PM[b]
BRITANNIA RD at MAVIS RD,8:47 AM[b],9:32 AM[b],10:17 AM[b],11:02 AM[b],11:47 AM[b],12:32 PM[b],1:17 PM[b],2:02 PM[b],2:47 PM[b],3:32 PM[b],4:17 PM[b],5:02 PM[b],5:47 PM[b],6:32 PM[b],7:17 PM[b],8:02 PM[b],8:47 PM[b]
BRITANNIA RD W west of HURONTARIO ST,8:52 AM[b],9:37 AM[b],10:22 AM[b],11:07 AM[b],11:52 AM[b],12:37 PM[b],1:22 PM[b],2:07 PM[b],2:52 PM[b],3:37 PM[b],4:22 PM[b],5:07 PM[b],5:52 PM[b],6:37 PM[b],7:22 PM[b],8:07 PM[b],8:52 PM[b]
