AMBLER DR at KAMATO RD,6:35:00 AM,6:55:00 AM,7:16:00 AM,7:35:00 AM,7:55:00 AM,8:15:00 AM,8:34:00 AM,8:54:00 AM,9:11:00 AM,4:01:00 PM,4:21:00 PM,4:41:00 PM,5:01:00 PM,5:21:00 PM,5:41:00 PM,6:00:00 PM,6:20:00 PM,6:39:00 PM,6:59:00 PM,7:10:00 PM
MATHESON BLVD at DIXIE RD,6:37:00 AM,6:57:00 AM,7:18:00 AM,7:37:00 AM,7:57:00 AM,8:17:00 AM,8:36:00 AM,8:56:00 AM,9:13:00 AM,4:03:00 PM,4:23:00 PM,4:43:00 PM,5:03:00 PM,5:23:00 PM,5:43:00 PM,6:02:00 PM,6:22:00 PM,6:41:00 PM,7:01:00 PM,7:12:00 PM
SISMET RD at CREEKBANK RD,6:40:00 AM,7:00:00 AM,7:21:00 AM,7:40:00 AM,8:00:00 AM,8:20:00 AM,8:39:00 AM,8:59:00 AM,9:16:00 AM,4:06:00 PM,4:26:00 PM,4:46:00 PM,5:06:00 PM,5:26:00 PM,5:46:00 PM,6:05:00 PM,6:25:00 PM,6:44:00 PM,7:04:00 PM,7:15:00 PM
MATHESON BLVD at SPECTRUM WAY,6:42:00 AM,7:02:00 AM,7:23:00 AM,7:42:00 AM,8:02:00 AM,8:22:00 AM,8:41:00 AM,9:01:00 AM,9:18:00 AM,4:08:00 PM,4:28:00 PM,4:48:00 PM,5:08:00 PM,5:28:00 PM,5:48:00 PM,6:07:00 PM,6:27:00 PM,6:46:00 PM,7:06:00 PM,7:17:00 PM
EXPLORER DR at ORBITOR DR,6:45:00 AM,7:05:00 AM,7:26:00 AM,7:45:00 AM,8:05:00 AM,8:25:00 AM,8:44:00 AM,9:04:00 AM,9:21:00 AM,4:12:00 PM,4:32:00 PM,4:52:00 PM,5:12:00 PM,5:32:00 PM,5:52:00 PM,6:11:00 PM,6:31:00 PM,6:50:00 PM,7:10:00 PM,7:21:00 PM
ORBITOR DR at EXPLORER DR,6:45:00 AM,7:05:00 AM,7:26:00 AM,7:45:00 AM,8:05:00 AM,8:25:00 AM,8:44:00 AM,9:04:00 AM,9:21:00 AM,4:12:00 PM,4:32:00 PM,4:52:00 PM,5:12:00 PM,5:32:00 PM,5:52:00 PM,6:11:00 PM,6:31:00 PM,6:50:00 PM,7:10:00 PM,7:21:00 PM
MATHESON BLVD at EXPLORER DR,6:48:00 AM,7:08:00 AM,7:29:00 AM,7:48:00 AM,8:08:00 AM,8:28:00 AM,8:47:00 AM,9:07:00 AM,9:24:00 AM,4:14:00 PM,4:34:00 PM,4:54:00 PM,5:14:00 PM,5:34:00 PM,5:54:00 PM,6:13:00 PM,6:33:00 PM,6:52:00 PM,7:12:00 PM,7:23:00 PM
SKYMARK HUB,6:50:00 AM,7:10:00 AM,7:31:00 AM,7:50:00 AM,8:10:00 AM,8:30:00 AM,8:49:00 AM,9:09:00 AM,9:26:00 AM,4:16:00 PM,4:36:00 PM,4:56:00 PM,5:16:00 PM,5:36:00 PM,5:56:00 PM,6:15:00 PM,6:35:00 PM,6:54:00 PM,7:14:00 PM,7:25:00 PM
