ERIN CENTRE BLVD at LONGFORD DR,6:16 AM[b],6:34 AM[b],6:56 AM[b],7:06 AM[b],7:14 AM[b],7:31 AM[b],7:41 AM[b],8:01 AM[b],8:23:00 AM,8:41:00 AM,9:04:00 AM,9:23:00 AM,10:06:00 AM,10:51:00 AM,11:36:00 AM,12:21:00 PM,1:06:00 PM,1:51:00 PM,2:36:00 PM,2:59:00 PM,3:22:00 PM,3:45:00 PM,4:09:00 PM,4:30:00 PM,4:55 PM[b],5:14 PM[b],5:23 PM[b],6:33 PM[b],6:50:00 PM,7:31:00 PM,8:16:00 PM,9:02:00 PM,9:47:00 PM,10:32:00 PM,11:17:00 PM
CHURCHILL MEADOWS BLVD at DEEPWOOD HEIGHTS,6:20 AM[b],6:38 AM[b],7:00 AM[b],7:10 AM[b],7:18 AM[b],7:35 AM[b],7:45 AM[b],8:05 AM[b],8:27:00 AM,8:45:00 AM,9:07:00 AM,9:26:00 AM,10:09:00 AM,10:54:00 AM,11:39:00 AM,12:24:00 PM,1:09:00 PM,1:54:00 PM,2:39:00 PM,3:03:00 PM,3:26:00 PM,3:49:00 PM,4:13:00 PM,4:34:00 PM,4:59 PM[b],5:18 PM[b],5:27 PM[b],6:37 PM[b],6:54:00 PM,7:35:00 PM,8:20:00 PM,9:06:00 PM,9:51:00 PM,10:36:00 PM,11:21:00 PM
CHURCHILL MEADOWS BLVD north of SWIFTDALE DR,6:20 AM[b],6:38 AM[b],7:00 AM[b],7:10 AM[b],7:18 AM[b],7:35 AM[b],7:45 AM[b],8:05 AM[b],8:27:00 AM,8:45:00 AM,9:07:00 AM,9:26:00 AM,10:09:00 AM,10:54:00 AM,11:39:00 AM,12:24:00 PM,1:09:00 PM,1:54:00 PM,2:39:00 PM,3:03:00 PM,3:26:00 PM,3:49:00 PM,4:13:00 PM,4:34:00 PM,4:59 PM[b],5:18 PM[b],5:27 PM[b],6:37 PM[b],6:54:00 PM,7:35:00 PM,8:20:00 PM,9:06:00 PM,9:51:00 PM,10:36:00 PM,11:21:00 PM
THOMAS ST at TENTH LINE,6:23 AM[b],6:41 AM[b],7:03 AM[b],7:13 AM[b],7:21 AM[b],7:38 AM[b],7:48 AM[b],8:08 AM[b],8:30:00 AM,8:48:00 AM,9:10:00 AM,9:29:00 AM,10:12:00 AM,10:57:00 AM,11:42:00 AM,12:27:00 PM,1:12:00 PM,1:57:00 PM,2:42:00 PM,3:06:00 PM,3:29:00 PM,3:52:00 PM,4:16:00 PM,4:37:00 PM,5:02 PM[b],5:21 PM[b],5:30 PM[b],6:40 PM[b],6:57:00 PM,7:38:00 PM,8:23:00 PM,9:09:00 PM,9:54:00 PM,10:39:00 PM,11:24:00 PM
THOMAS ST at GLEN ERIN DR,6:27 AM[b],6:45 AM[b],7:07 AM[b],7:17 AM[b],7:25 AM[b],7:42 AM[b],7:52 AM[b],8:12 AM[b],8:34:00 AM,8:52:00 AM,9:14:00 AM,9:33:00 AM,10:16:00 AM,11:01:00 AM,11:46:00 AM,12:31:00 PM,1:16:00 PM,2:01:00 PM,2:46:00 PM,3:10:00 PM,3:33:00 PM,3:56:00 PM,4:20:00 PM,4:41:00 PM,5:06 PM[b],5:25 PM[b],5:34 PM[b],6:44 PM[b],7:01:00 PM,7:41:00 PM,8:26:00 PM,9:12:00 PM,9:57:00 PM,10:42:00 PM,11:27:00 PM
GLEN ERIN DR at ERIN CENTRE BLVD,8:55:00 AM,9:17:00 AM,9:36:00 AM,10:19:00 AM,11:04:00 AM,11:49:00 AM,12:34:00 PM,1:19:00 PM,2:04:00 PM,2:49:00 PM,3:13:00 PM,3:36:00 PM,3:59:00 PM,4:23:00 PM,4:44:00 PM,7:04:00 PM,7:44:00 PM,8:29:00 PM,9:15:00 PM,10:00:00 PM,10:45:00 PM,11:30:00 PM,,,,,,,,,,,,,
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM F,8:57:00 AM,9:19:00 AM,9:38:00 AM,10:21:00 AM,11:06:00 AM,11:51:00 AM,12:36:00 PM,1:21:00 PM,2:06:00 PM,2:51:00 PM,3:15:00 PM,3:38:00 PM,4:01:00 PM,4:25:00 PM,4:46:00 PM,7:06:00 PM,7:46:00 PM,8:31:00 PM,9:17:00 PM,10:02:00 PM,10:47:00 PM,11:32:00 PM,,,,,,,,,,,,,
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM G,9:01:00 AM,9:22:00 AM,9:41:00 AM,10:24:00 AM,11:09:00 AM,11:54:00 AM,12:39:00 PM,1:24:00 PM,2:09:00 PM,2:54:00 PM,3:19:00 PM,3:42:00 PM,4:05:00 PM,4:29:00 PM,4:50:00 PM,7:09:00 PM,7:49:00 PM,8:34:00 PM,9:20:00 PM,10:05:00 PM,10:50:00 PM,11:35:00 PM,,,,,,,,,,,,,
THOMAS ST at ERIN MILLS PKY,6:29 AM[b],6:47 AM[b],7:09 AM[b],7:19 AM[b],7:27 AM[b],7:44 AM[b],7:54 AM[b],8:14 AM[b],8:36:00 AM,5:08 PM[b],5:27 PM[b],5:36 PM[b],6:46 PM[b],,,,,,,,,,,,,,,,,,,,,,
THOMAS ST east of ERIN MILLS PKY,6:29 AM[b],6:47 AM[b],7:09 AM[b],7:19 AM[b],7:27 AM[b],7:44 AM[b],7:54 AM[b],8:14 AM[b],8:36:00 AM,5:08 PM[b],5:27 PM[b],5:36 PM[b],6:46 PM[b],,,,,,,,,,,,,,,,,,,,,,
STREETSVILLE GO STATION PLATFORM A,6:33 AM[b],6:51 AM[b],7:13 AM[b],7:23 AM[b],7:32 AM[b],7:48 AM[b],7:58 AM[b],8:18 AM[b],8:40:00 AM,5:12 PM[b],5:31 PM[b],5:40 PM[b],6:50 PM[b],,,,,,,,,,,,,,,,,,,,,,
