MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM D,6:30 AM[b],7:03 AM[b],7:36 AM[b],8:09 AM[b],8:42 AM[b],9:15 AM[b],9:48 AM[b],10:21 AM[b],10:54 AM[b],11:27 AM[b],12:00 PM[b],12:33 PM[b],1:06 PM[b],1:39 PM[b],2:12 PM[b],2:45 PM[b],3:18 PM[b],3:51 PM[b],4:24 PM[b],4:57 PM[b],5:30 PM[b],6:03 PM[b],6:36 PM[b],7:09 PM[b],7:42 PM[b],8:15 PM[b],8:48 PM[b]
WINSTON CHURCHILL BLVD north of VANDERBILT RD,6:33 AM[b],7:06 AM[b],7:39 AM[b],8:12 AM[b],8:45 AM[b],9:18 AM[b],9:51 AM[b],10:24 AM[b],10:57 AM[b],11:30 AM[b],12:03 PM[b],12:36 PM[b],1:09 PM[b],1:42 PM[b],2:15 PM[b],2:48 PM[b],3:21 PM[b],3:54 PM[b],4:27 PM[b],5:00 PM[b],5:33 PM[b],6:06 PM[b],6:39 PM[b],7:12 PM[b],7:45 PM[b],8:18 PM[b],8:51 PM[b]
WINSTON CHURCHILL BLVD at DERRY RD,6:33 AM[b],7:06 AM[b],7:39 AM[b],8:12 AM[b],8:45 AM[b],9:18 AM[b],9:51 AM[b],10:24 AM[b],10:57 AM[b],11:30 AM[b],12:03 PM[b],12:36 PM[b],1:09 PM[b],1:42 PM[b],2:15 PM[b],2:48 PM[b],3:21 PM[b],3:54 PM[b],4:27 PM[b],5:00 PM[b],5:33 PM[b],6:06 PM[b],6:39 PM[b],7:12 PM[b],7:45 PM[b],8:18 PM[b],8:51 PM[b]
LISGAR GO STATION PLATFORM A,6:38 AM[b],7:11 AM[b],7:44 AM[b],8:17 AM[b],8:50 AM[b],9:23 AM[b],9:56 AM[b],10:29 AM[b],11:02 AM[b],11:35 AM[b],12:08 PM[b],12:41 PM[b],1:14 PM[b],1:47 PM[b],2:20 PM[b],2:53 PM[b],3:26 PM[b],3:59 PM[b],4:32 PM[b],5:05 PM[b],5:38 PM[b],6:11 PM[b],6:44 PM[b],7:17 PM[b],7:50 PM[b],8:23 PM[b],8:56 PM[b]
ARGENTIA RD at DERRY RD,6:45 AM[b],7:18 AM[b],7:51 AM[b],8:24 AM[b],8:57 AM[b],9:30 AM[b],10:03 AM[b],10:36 AM[b],11:09 AM[b],11:42 AM[b],12:15 PM[b],12:48 PM[b],1:21 PM[b],1:54 PM[b],2:27 PM[b],3:00 PM[b],3:33 PM[b],4:06 PM[b],4:39 PM[b],5:12 PM[b],5:45 PM[b],6:18 PM[b],6:51 PM[b],7:24 PM[b],7:57 PM[b],8:30 PM[b],9:03 PM[b]
ARGENTIA RD at MISSISSAUGA RD,6:48 AM[b],7:21 AM[b],7:54 AM[b],8:27 AM[b],9:00 AM[b],9:33 AM[b],10:06 AM[b],10:39 AM[b],11:12 AM[b],11:45 AM[b],12:18 PM[b],12:51 PM[b],1:24 PM[b],1:57 PM[b],2:30 PM[b],3:03 PM[b],3:36 PM[b],4:09 PM[b],4:42 PM[b],5:15 PM[b],5:48 PM[b],6:21 PM[b],6:54 PM[b],7:27 PM[b],8:00 PM[b],8:33 PM[b],9:06 PM[b]
ARGENTIA RD at CREDITVIEW RD,6:51 AM[b],7:24 AM[b],7:57 AM[b],8:30 AM[b],9:03 AM[b],9:36 AM[b],10:09 AM[b],10:42 AM[b],11:15 AM[b],11:48 AM[b],12:21 PM[b],12:54 PM[b],1:27 PM[b],2:00 PM[b],2:33 PM[b],3:06 PM[b],3:39 PM[b],4:12 PM[b],4:45 PM[b],5:18 PM[b],5:51 PM[b],6:24 PM[b],6:57 PM[b],7:30 PM[b],8:03 PM[b],8:36 PM[b],9:09 PM[b]
BANCROFT DR at EMERSON LANE,6:54 AM[b],7:27 AM[b],8:00 AM[b],8:33 AM[b],9:06 AM[b],9:39 AM[b],10:12 AM[b],10:45 AM[b],11:18 AM[b],11:51 AM[b],12:24 PM[b],12:57 PM[b],1:30 PM[b],2:03 PM[b],2:36 PM[b],3:09 PM[b],3:42 PM[b],4:15 PM[b],4:48 PM[b],5:21 PM[b],5:54 PM[b],6:27 PM[b],7:00 PM[b],7:33 PM[b],8:06 PM[b],8:39 PM[b],9:12 PM[b]
SILKEN LAUMANN WAY at BRITANNIA RD W,6:59 AM[b],7:32 AM[b],8:05 AM[b],8:38 AM[b],9:11 AM[b],9:44 AM[b],10:17 AM[b],10:50 AM[b],11:23 AM[b],11:56 AM[b],12:29 PM[b],1:02 PM[b],1:35 PM[b],2:08 PM[b],2:41 PM[b],3:14 PM[b],3:47 PM[b],4:20 PM[b],4:53 PM[b],5:26 PM[b],5:59 PM[b],6:32 PM[b],7:05 PM[b],7:38 PM[b],8:11 PM[b],8:44 PM[b],9:17 PM[b]
CREDITVIEW RD at HIGHBROOK AVE,7:02 AM[b],7:35 AM[b],8:08 AM[b],8:41 AM[b],9:14 AM[b],9:47 AM[b],10:20 AM[b],10:53 AM[b],11:26 AM[b],11:59 AM[b],12:32 PM[b],1:05 PM[b],1:38 PM[b],2:11 PM[b],2:44 PM[b],3:17 PM[b],3:50 PM[b],4:23 PM[b],4:56 PM[b],5:29 PM[b],6:02 PM[b],6:35 PM[b],7:08 PM[b],7:41 PM[b],8:14 PM[b],8:47 PM[b],9:20 PM[b]
