WESTWOOD MALL BUS TERMINAL PLATFORM K,5:20:00 AM,5:40:00 AM,6:00:00 AM,6:24:00 AM,6:50:00 AM,7:16:00 AM,7:40:00 AM,8:05:00 AM,8:28:00 AM,8:55:00 AM,9:24:00 AM,1:31:00 PM,1:53:00 PM,2:19:00 PM,2:43:00 PM,3:09:00 PM,3:34:00 PM,3:59:00 PM,4:24:00 PM,4:47:00 PM,5:13:00 PM,5:35:00 PM,6:04:00 PM,6:29:00 PM,6:57:00 PM,7:22:00 PM,7:47:00 PM,8:19:00 PM,8:57:00 PM,9:31:00 PM,10:06:00 PM,10:40:00 PM,11:14:00 PM,11:51:00 PM
NETHERWOOD RD at REDSTONE RD,5:25:00 AM,5:45:00 AM,6:05:00 AM,6:29:00 AM,6:55:00 AM,7:21:00 AM,7:45:00 AM,8:10:00 AM,8:33:00 AM,9:00:00 AM,9:29:00 AM,1:36:00 PM,1:58:00 PM,2:24:00 PM,2:48:00 PM,3:14:00 PM,3:39:00 PM,4:04:00 PM,4:29:00 PM,4:52:00 PM,5:18:00 PM,5:40:00 PM,6:09:00 PM,6:34:00 PM,7:02:00 PM,7:27:00 PM,7:52:00 PM,8:24:00 PM,9:02:00 PM,9:36:00 PM,10:11:00 PM,10:45:00 PM,11:19:00 PM,11:56:00 PM
BATH RD at SLOUGH ST,5:28:00 AM,5:48:00 AM,6:08:00 AM,6:33:00 AM,6:59:00 AM,7:25:00 AM,7:49:00 AM,8:14:00 AM,8:37:00 AM,9:04:00 AM,9:32:00 AM,1:39:00 PM,2:01:00 PM,2:27:00 PM,2:51:00 PM,3:17:00 PM,3:42:00 PM,4:07:00 PM,4:32:00 PM,4:56:00 PM,5:22:00 PM,5:44:00 PM,6:13:00 PM,6:37:00 PM,7:05:00 PM,7:30:00 PM,7:55:00 PM,8:27:00 PM,9:05:00 PM,9:39:00 PM,10:14:00 PM,10:48:00 PM,11:22:00 PM,11:59:00 PM
DREW RD at KIMBEL ST,5:33:00 AM,5:53:00 AM,6:15:00 AM,6:40:00 AM,7:06:00 AM,7:32:00 AM,7:56:00 AM,8:21:00 AM,8:44:00 AM,9:11:00 AM,9:37:00 AM,1:44:00 PM,2:06:00 PM,2:32:00 PM,2:57:00 PM,3:23:00 PM,3:48:00 PM,4:13:00 PM,4:38:00 PM,5:02:00 PM,5:28:00 PM,5:50:00 PM,6:19:00 PM,6:43:00 PM,7:10:00 PM,7:35:00 PM,8:00:00 PM,8:32:00 PM,9:10:00 PM,9:44:00 PM,10:19:00 PM,10:53:00 PM,11:27:00 PM,12:04:00 AM
DREW RD at BRAMALEA RD,5:37:00 AM,5:57:00 AM,6:19:00 AM,6:44:00 AM,7:10:00 AM,7:36:00 AM,8:00:00 AM,8:25:00 AM,8:48:00 AM,9:15:00 AM,9:41:00 AM,1:48:00 PM,2:10:00 PM,2:36:00 PM,3:01:00 PM,3:27:00 PM,3:52:00 PM,4:17:00 PM,4:43:00 PM,5:07:00 PM,5:33:00 PM,5:55:00 PM,6:23:00 PM,6:47:00 PM,7:14:00 PM,7:39:00 PM,8:04:00 PM,8:36:00 PM,9:14:00 PM,9:48:00 PM,10:23:00 PM,10:57:00 PM,11:31:00 PM,12:08:00 AM
TRANMERE DR at TELFORD WAY,5:39:00 AM,5:59:00 AM,6:22:00 AM,6:47:00 AM,7:13:00 AM,7:39:00 AM,8:03:00 AM,8:28:00 AM,8:51:00 AM,9:17:00 AM,9:43:00 AM,1:50:00 PM,2:12:00 PM,2:39:00 PM,3:04:00 PM,3:30:00 PM,3:55:00 PM,4:20:00 PM,4:46:00 PM,5:10:00 PM,5:36:00 PM,5:58:00 PM,6:26:00 PM,6:50:00 PM,7:16:00 PM,7:41:00 PM,8:06:00 PM,8:38:00 PM,9:16:00 PM,9:50:00 PM,10:25:00 PM,10:59:00 PM,11:33:00 PM,12:10:00 AM
DIXIE RD at DERRY RD,5:43:00 AM,6:03:00 AM,6:28:00 AM,6:53:00 AM,7:19:00 AM,7:45:00 AM,8:09:00 AM,8:34:00 AM,8:57:00 AM,9:21:00 AM,9:47:00 AM,1:54:00 PM,2:16:00 PM,2:44:00 PM,3:09:00 PM,3:35:00 PM,4:00:00 PM,4:25:00 PM,4:51:00 PM,5:15:00 PM,5:41:00 PM,6:03:00 PM,6:31:00 PM,6:55:00 PM,7:20:00 PM,7:45:00 PM,8:10:00 PM,8:42:00 PM,9:20:00 PM,9:54:00 PM,10:29:00 PM,11:03:00 PM,11:37:00 PM,12:14:00 AM
DERRY RD at DIXIE RD,5:43:00 AM,6:03:00 AM,6:28:00 AM,6:53:00 AM,7:19:00 AM,7:45:00 AM,8:09:00 AM,8:34:00 AM,8:57:00 AM,9:21:00 AM,9:47:00 AM,1:54:00 PM,2:16:00 PM,2:44:00 PM,3:09:00 PM,3:35:00 PM,4:00:00 PM,4:25:00 PM,4:51:00 PM,5:15:00 PM,5:41:00 PM,6:03:00 PM,6:31:00 PM,6:55:00 PM,7:20:00 PM,7:45:00 PM,8:10:00 PM,8:42:00 PM,9:20:00 PM,9:54:00 PM,10:29:00 PM,11:03:00 PM,11:37:00 PM,12:14:00 AM
CARDIFF BLVD east of TOMKEN RD,5:46:00 AM,6:06:00 AM,6:31:00 AM,6:56:00 AM,7:22:00 AM,7:48:00 AM,8:12:00 AM,8:37:00 AM,9:00:00 AM,9:24:00 AM,9:50:00 AM,1:57:00 PM,2:19:00 PM,2:47:00 PM,3:12:00 PM,3:38:00 PM,4:03:00 PM,4:28:00 PM,4:54:00 PM,5:18:00 PM,5:44:00 PM,6:06:00 PM,6:34:00 PM,6:58:00 PM,7:23:00 PM,7:48:00 PM,8:13:00 PM,8:45:00 PM,9:23:00 PM,9:57:00 PM,10:32:00 PM,11:06:00 PM,11:40:00 PM,12:17:00 AM
