CITY CENTRE BUS TERMINAL PLATFORM J,5:46:00 AM,6:09:00 AM,6:33:00 AM,6:55:00 AM,7:12:00 AM,7:28:00 AM,7:45:00 AM,8:02:00 AM,8:18:00 AM,8:35:00 AM,8:50:00 AM,9:12:00 AM,9:36:00 AM,9:58:00 AM,10:21:00 AM,10:44:00 AM,11:06:00 AM,11:29:00 AM,11:52:00 AM,12:13:00 PM,12:36:00 PM,12:58:00 PM,1:21:00 PM,1:46:00 PM,2:08:00 PM,2:29:00 PM,2:45:00 PM,2:57:00 PM,3:19:00 PM,3:34:00 PM,3:51:00 PM,4:06:00 PM,4:24:00 PM,4:40:00 PM,4:58:00 PM,5:12:00 PM,5:30:00 PM,5:46:00 PM,6:03:00 PM,6:20:00 PM,6:37:00 PM,6:58:00 PM,7:20:00 PM,7:40:00 PM,8:03:00 PM,8:24:00 PM,8:46:00 PM,9:07:00 PM,9:29:00 PM,9:50:00 PM,10:12:00 PM,10:33:00 PM,10:55:00 PM,11:16:00 PM,11:38:00 PM,12:04:00 AM
RATHBURN RD at LIVING ARTS DR,5:48:00 AM,6:11:00 AM,6:35:00 AM,6:57:00 AM,7:14:00 AM,7:30:00 AM,7:47:00 AM,8:04:00 AM,8:20:00 AM,8:37:00 AM,8:52:00 AM,9:14:00 AM,9:38:00 AM,10:00:00 AM,10:23:00 AM,10:46:00 AM,11:08:00 AM,11:31:00 AM,11:54:00 AM,12:15:00 PM,12:38:00 PM,1:00:00 PM,1:23:00 PM,1:48:00 PM,2:10:00 PM,2:31:00 PM,2:47:00 PM,2:59:00 PM,3:21:00 PM,3:36:00 PM,3:53:00 PM,4:08:00 PM,4:26:00 PM,4:42:00 PM,5:00:00 PM,5:14:00 PM,5:32:00 PM,5:48:00 PM,6:05:00 PM,6:22:00 PM,6:39:00 PM,7:00:00 PM,7:22:00 PM,7:42:00 PM,8:05:00 PM,8:26:00 PM,8:48:00 PM,9:09:00 PM,9:31:00 PM,9:52:00 PM,10:14:00 PM,10:35:00 PM,10:57:00 PM,11:18:00 PM,11:40:00 PM,12:06:00 AM
CENTRAL PKY west of COPERNICUS DR,5:53:00 AM,6:16:00 AM,6:41:00 AM,7:03:00 AM,7:20:00 AM,7:36:00 AM,7:53:00 AM,8:10:00 AM,8:26:00 AM,8:43:00 AM,8:58:00 AM,9:19:00 AM,9:43:00 AM,10:05:00 AM,10:28:00 AM,10:51:00 AM,11:13:00 AM,11:36:00 AM,11:59:00 AM,12:20:00 PM,12:43:00 PM,1:05:00 PM,1:28:00 PM,1:53:00 PM,2:15:00 PM,2:37:00 PM,2:53:00 PM,3:05:00 PM,3:27:00 PM,3:42:00 PM,3:59:00 PM,4:14:00 PM,4:32:00 PM,4:48:00 PM,5:06:00 PM,5:20:00 PM,5:38:00 PM,5:54:00 PM,6:11:00 PM,6:28:00 PM,6:44:00 PM,7:05:00 PM,7:27:00 PM,7:47:00 PM,8:10:00 PM,8:31:00 PM,8:53:00 PM,9:14:00 PM,9:36:00 PM,9:57:00 PM,10:19:00 PM,10:40:00 PM,11:02:00 PM,11:23:00 PM,11:45:00 PM,12:11:00 AM
CONFEDERATION PKY at DUNDAS ST,6:01:00 AM,6:24:00 AM,6:50:00 AM,7:12:00 AM,7:29:00 AM,7:45:00 AM,8:02:00 AM,8:19:00 AM,8:35:00 AM,8:52:00 AM,9:06:00 AM,9:27:00 AM,9:51:00 AM,10:13:00 AM,10:36:00 AM,10:59:00 AM,11:21:00 AM,11:44:00 AM,12:07:00 PM,12:28:00 PM,12:51:00 PM,1:13:00 PM,1:36:00 PM,2:01:00 PM,2:23:00 PM,2:46:00 PM,3:02:00 PM,3:14:00 PM,3:36:00 PM,3:51:00 PM,4:08:00 PM,4:23:00 PM,4:41:00 PM,4:57:00 PM,5:15:00 PM,5:29:00 PM,5:47:00 PM,6:03:00 PM,6:20:00 PM,6:35:00 PM,6:51:00 PM,7:12:00 PM,7:34:00 PM,7:54:00 PM,8:17:00 PM,8:38:00 PM,9:00:00 PM,9:21:00 PM,9:43:00 PM,10:04:00 PM,10:26:00 PM,10:47:00 PM,11:09:00 PM,11:30:00 PM,11:52:00 PM,12:18:00 AM
TRILLIUM HOSPITAL BUS TERMINAL,6:05:00 AM,6:28:00 AM,6:54:00 AM,7:16:00 AM,7:33:00 AM,7:49:00 AM,8:06:00 AM,8:23:00 AM,8:39:00 AM,8:56:00 AM,9:10:00 AM,9:31:00 AM,9:55:00 AM,10:17:00 AM,10:40:00 AM,11:03:00 AM,11:25:00 AM,11:48:00 AM,12:11:00 PM,12:32:00 PM,12:55:00 PM,1:17:00 PM,1:40:00 PM,2:05:00 PM,2:27:00 PM,2:50:00 PM,3:06:00 PM,3:18:00 PM,3:40:00 PM,3:55:00 PM,4:12:00 PM,4:27:00 PM,4:45:00 PM,5:01:00 PM,5:19:00 PM,5:33:00 PM,5:51:00 PM,6:07:00 PM,6:24:00 PM,6:39:00 PM,6:55:00 PM,7:16:00 PM,7:38:00 PM,7:58:00 PM,8:21:00 PM,8:42:00 PM,9:04:00 PM,9:25:00 PM,9:47:00 PM,10:08:00 PM,10:30:00 PM,10:51:00 PM,11:13:00 PM,11:34:00 PM,11:56:00 PM,12:22:00 AM
