LONG BRANCH GO STATION,4:43:00 AM,5:05:00 AM,5:14:00 AM,5:23:00 AM,5:32:00 AM,5:41:00 AM,5:50:00 AM,5:59:00 AM,6:08:00 AM,6:17:00 AM,6:26:00 AM,6:35:00 AM,6:43:00 AM,6:50:00 AM,6:58:00 AM,7:06:00 AM,7:15:00 AM,7:24:00 AM,7:34:00 AM,7:44:00 AM,7:53:00 AM,8:02:00 AM,8:11:00 AM,8:20:00 AM,8:29:00 AM,8:39:00 AM,8:50:00 AM,9:03:00 AM,9:20:00 AM,9:40:00 AM,10:01:00 AM,10:20:00 AM,10:40:00 AM,11:00:00 AM,11:20:00 AM,11:40:00 AM,12:00:00 PM,12:20:00 PM,12:40:00 PM,1:00:00 PM,1:20:00 PM,1:40:00 PM
LAKESHORE RD E at OGDEN AVE,4:47:00 AM,5:09:00 AM,5:18:00 AM,5:27:00 AM,5:36:00 AM,5:45:00 AM,5:55:00 AM,6:04:00 AM,6:13:00 AM,6:22:00 AM,6:31:00 AM,6:40:00 AM,6:48:00 AM,6:55:00 AM,7:03:00 AM,7:11:00 AM,7:20:00 AM,7:29:00 AM,7:39:00 AM,7:49:00 AM,7:58:00 AM,8:07:00 AM,8:16:00 AM,8:24:00 AM,8:33:00 AM,8:43:00 AM,8:54:00 AM,9:07:00 AM,9:24:00 AM,9:44:00 AM,10:05:00 AM,10:24:00 AM,10:44:00 AM,11:04:00 AM,11:24:00 AM,11:44:00 AM,12:04:00 PM,12:24:00 PM,12:44:00 PM,1:04:00 PM,1:24:00 PM,1:44:00 PM
OGDEN AVE at SOUTH SERVICE RD,4:52:00 AM,5:14:00 AM,5:23:00 AM,5:32:00 AM,5:41:00 AM,5:50:00 AM,6:00:00 AM,6:09:00 AM,6:18:00 AM,6:27:00 AM,6:36:00 AM,6:45:00 AM,6:53:00 AM,7:01:00 AM,7:09:00 AM,7:17:00 AM,7:26:00 AM,7:35:00 AM,7:45:00 AM,7:55:00 AM,8:04:00 AM,8:13:00 AM,8:21:00 AM,8:29:00 AM,8:38:00 AM,8:48:00 AM,8:59:00 AM,9:12:00 AM,9:29:00 AM,9:49:00 AM,10:10:00 AM,10:29:00 AM,10:49:00 AM,11:09:00 AM,11:29:00 AM,11:49:00 AM,12:09:00 PM,12:29:00 PM,12:49:00 PM,1:09:00 PM,1:29:00 PM,1:49:00 PM
DIXIE MALL BUS TERMINAL PLATFORM A,4:55:00 AM,5:17:00 AM,5:26:00 AM,5:35:00 AM,5:44:00 AM,5:53:00 AM,6:03:00 AM,6:12:00 AM,6:21:00 AM,6:30:00 AM,6:39:00 AM,6:48:00 AM,6:56:00 AM,7:05:00 AM,7:13:00 AM,7:21:00 AM,7:30:00 AM,7:39:00 AM,7:49:00 AM,7:59:00 AM,8:08:00 AM,8:17:00 AM,8:25:00 AM,8:33:00 AM,8:42:00 AM,8:52:00 AM,9:03:00 AM,9:16:00 AM,9:33:00 AM,9:53:00 AM,10:14:00 AM,10:33:00 AM,10:53:00 AM,11:13:00 AM,11:33:00 AM,11:53:00 AM,12:13:00 PM,12:33:00 PM,12:53:00 PM,1:13:00 PM,1:33:00 PM,1:53:00 PM
DIXIE RD at KENDALL RD,4:58:00 AM,5:20:00 AM,5:29:00 AM,5:38:00 AM,5:47:00 AM,5:56:00 AM,6:06:00 AM,6:15:00 AM,6:24:00 AM,6:33:00 AM,6:42:00 AM,6:51:00 AM,7:00:00 AM,7:09:00 AM,7:17:00 AM,7:25:00 AM,7:34:00 AM,7:43:00 AM,7:53:00 AM,8:03:00 AM,8:12:00 AM,8:21:00 AM,8:29:00 AM,8:37:00 AM,8:46:00 AM,8:56:00 AM,9:07:00 AM,9:20:00 AM,9:37:00 AM,9:57:00 AM,10:18:00 AM,10:37:00 AM,10:57:00 AM,11:17:00 AM,11:37:00 AM,11:57:00 AM,12:17:00 PM,12:37:00 PM,12:57:00 PM,1:17:00 PM,1:37:00 PM,1:57:00 PM
DIXIE RD at DUNDAS ST,5:01:00 AM,5:23:00 AM,5:32:00 AM,5:41:00 AM,5:51:00 AM,6:00:00 AM,6:10:00 AM,6:19:00 AM,6:28:00 AM,6:37:00 AM,6:46:00 AM,6:55:00 AM,7:04:00 AM,7:13:00 AM,7:21:00 AM,7:29:00 AM,7:38:00 AM,7:47:00 AM,7:57:00 AM,8:07:00 AM,8:16:00 AM,8:25:00 AM,8:33:00 AM,8:41:00 AM,8:50:00 AM,9:00:00 AM,9:11:00 AM,9:24:00 AM,10:01:00 AM,10:22:00 AM,10:41:00 AM,11:01:00 AM,11:21:00 AM,11:41:00 AM,12:01:00 PM,12:21:00 PM,12:41:00 PM,1:01:00 PM,1:21:00 PM,1:41:00 PM,2:01:00 PM,
DIXIE RD FIRST STOP north of DUNDAS ST,5:02:00 AM,5:24:00 AM,5:33:00 AM,5:42:00 AM,5:52:00 AM,6:01:00 AM,6:11:00 AM,6:20:00 AM,6:29:00 AM,6:38:00 AM,6:47:00 AM,6:56:00 AM,7:05:00 AM,7:14:00 AM,7:22:00 AM,7:30:00 AM,7:39:00 AM,7:48:00 AM,7:58:00 AM,8:08:00 AM,8:17:00 AM,8:26:00 AM,8:34:00 AM,8:42:00 AM,8:51:00 AM,9:01:00 AM,9:12:00 AM,9:25:00 AM,10:02:00 AM,10:23:00 AM,10:42:00 AM,11:02:00 AM,11:22:00 AM,11:42:00 AM,12:02:00 PM,12:22:00 PM,12:42:00 PM,1:02:00 PM,1:22:00 PM,1:42:00 PM,2:02:00 PM,
DIXIE RD at BLOOR ST,5:05:00 AM,5:27:00 AM,5:36:00 AM,5:45:00 AM,5:55:00 AM,6:04:00 AM,6:14:00 AM,6:23:00 AM,6:32:00 AM,6:41:00 AM,6:50:00 AM,6:59:00 AM,7:08:00 AM,7:17:00 AM,7:25:00 AM,7:33:00 AM,7:42:00 AM,7:51:00 AM,8:01:00 AM,8:11:00 AM,8:20:00 AM,8:29:00 AM,8:37:00 AM,8:45:00 AM,8:54:00 AM,9:04:00 AM,9:15:00 AM,9:28:00 AM,10:05:00 AM,10:26:00 AM,10:45:00 AM,11:05:00 AM,11:25:00 AM,11:45:00 AM,12:05:00 PM,12:25:00 PM,12:45:00 PM,1:05:00 PM,1:25:00 PM,1:45:00 PM,2:05:00 PM,
DIXIE RD at BURNHAMTHORPE RD,5:07:00 AM,5:29:00 AM,5:38:00 AM,5:47:00 AM,5:57:00 AM,6:06:00 AM,6:16:00 AM,6:25:00 AM,6:34:00 AM,6:43:00 AM,6:52:00 AM,7:01:00 AM,7:10:00 AM,7:19:00 AM,7:27:00 AM,7:35:00 AM,7:44:00 AM,7:53:00 AM,8:03:00 AM,8:13:00 AM,8:22:00 AM,8:31:00 AM,8:39:00 AM,8:47:00 AM,8:56:00 AM,9:06:00 AM,9:17:00 AM,9:30:00 AM,10:07:00 AM,10:28:00 AM,10:47:00 AM,11:07:00 AM,11:27:00 AM,11:47:00 AM,12:07:00 PM,12:27:00 PM,12:47:00 PM,1:07:00 PM,1:27:00 PM,1:47:00 PM,2:07:00 PM,
DIXIE RD at EGLINTON AVE,5:13:00 AM,5:35:00 AM,5:44:00 AM,5:53:00 AM,6:03:00 AM,6:12:00 AM,6:22:00 AM,6:31:00 AM,6:40:00 AM,6:49:00 AM,6:58:00 AM,7:07:00 AM,7:16:00 AM,7:25:00 AM,7:33:00 AM,7:41:00 AM,7:50:00 AM,7:59:00 AM,8:09:00 AM,8:19:00 AM,8:28:00 AM,8:37:00 AM,8:45:00 AM,8:53:00 AM,9:02:00 AM,9:12:00 AM,9:23:00 AM,9:36:00 AM,10:13:00 AM,10:34:00 AM,10:53:00 AM,11:13:00 AM,11:33:00 AM,11:53:00 AM,12:13:00 PM,12:33:00 PM,12:53:00 PM,1:13:00 PM,1:33:00 PM,1:53:00 PM,2:13:00 PM,
