ARTESIAN DR west of WINSTON CHURCHILL BLVD,7:57 AM[G],8:33 AM[G]
ARTESIAN DR at SEBASTIAN DR,8:00 AM[G],8:36 AM[G]
MIDDLESEX GATE at EGLINTON AVE,8:02 AM[G],8:38 AM[G]
TENTH LINE at DESTINATION DR,8:03 AM[G],8:39 AM[G]
THOMAS ST west of TENTH LINE,8:08 AM[G],8:44 AM[G]
THOMAS ST at PASSION FLOWER BLVD,8:09 AM[G],8:45 AM[G]
THOMAS ST at CHURCHILL MEADOWS BLVD,8:10 AM[G],8:46 AM[G]
