1378 - DUNDAS ST at QUEEN FREDERICA DR,1378
1379 - DUNDAS ST at ARENA RD,1379
1380 - DUNDAS ST at CONSTITUTION BLVD,1380
1302 - DUNDAS ST west of CONSTITUTION BLVD,1302
1381 - DUNDAS ST at TOMKEN RD,1381
0827 - DUNDAS ST west of TOMKEN RD,827
1382 - DUNDAS ST at HAINES RD,1382
1283 - DUNDAS ST at CAWTHRA RD,1283
0784 - DUNDAS ST at HENSALL CIRCLE,784
0785 - DUNDAS ST at GRENVILLE RD,785
0786 - DUNDAS ST at EDENHURST DR,786
0787 - DUNDAS ST at LITTLEJOHN LANE,787
0788 - DUNDAS ST at JAGUAR VALLEY DR,788
1189 - DUNDAS ST at HURONTARIO ST,1189
1190 - DUNDAS ST at CONFEDERATION PKY,1190
1152 - DUNDAS ST at PARKERHILL RD,1152
1153 - DUNDAS ST at BREAKWATER COURT,1153
0149 - DUNDAS ST at CLAYHILL RD,149
3139 - DUNDAS ST at ELMCREEK RD,3139
1194 - DUNDAS ST at MAVIS RD,1194
3169 - DUNDAS ST W west of MAVIS RD,3169
1195 - DUNDAS ST at WOLFEDALE RD,1195
1196 - DUNDAS ST at CEDARGLEN GATE,1196
1197 - DUNDAS ST at ERINDALE STATION RD,1197
1198 - DUNDAS ST at OLD CARRIAGE RD,1198
1199 - DUNDAS ST at THE CREDIT WOODLANDS,1199
1101 - DUNDAS ST at DUNDAS CRES,1101
1100 - DUNDAS ST at ROBINSON ST,1100
1102 - DUNDAS ST at NANTICOKE RD,1102
1035 - DUNDAS ST at MISSISSAUGA RD,1035
1036 - DUNDAS ST at REDSTART DR,1036
1037 - DUNDAS ST east of ERIN MILLS PKY,1037
1678 - DUNDAS ST at FIFTH LINE WEST,1678
1006 - DUNDAS ST at DUNWIN DR,1006
1665 - DUNDAS ST at GLEN ERIN DR,1665
1666 - DUNDAS ST at WOODCHESTER DR,1666
1095 - DUNDAS ST east of WINSTON CHURCHILL BLV,1095
1002 - DUNDAS ST at WINSTON CHURCHILL BLVD,1002
1667 - DUNDAS ST W at HAMPSHIRE GATE,1667
1141 - DUNDAS ST W at RIDGEWAY DR,1141
1660 - DUNDAS ST W at VEGA BLVD,1660
0958 - VEGA BLVD at LAIRD RD,958
0993 - MISSISSAUGA RD at DUNDAS ST,993
0914 - MISSISSAUGA RD at THE COLLEGEWAY,914
0991 - UNIVERSITY of TORONTO at MISSISSAUGA CAMPUS,991
1629 - MISSISSAUGA RD at THE COLLEGEWAY,1629
1087 - THE COLLEGEWAY at BROAD HOLLOW GATE,1087
1072 - THE COLLEGEWAY FIRST STOP west of BROAD HOLLOW GAT,1072
1094 - THE COLLEGEWAY SECOND STOP west of BROAD HOLLOW GA,1094
1071 - THE COLLEGEWAY at SOUTH MILLWAY,1071
1069 - THE COLLEGEWAY west of SOUTH MILLWAY,1069
1049 - THE COLLEGEWAY at SOUTH COMMON CENTRE ACCESS RD,1049
1029 - SOUTH MILLWAY north of THE COLLEGEWAY,1029
1403 - CITY CENTRE BUS TERMINAL PLATFORM G,1403
0480 - RATHBURN RD W at CITY CENTRE DR,480
0481 - CITY CENTRE DR at SQUARE ONE DR,481
3013 - CITY CENTRE DR FIRST south of ROBERT SPECK PKY,3013
1425 - CITY CENTRE DR SECOND south of ROBERT SPECK PKY,1425
0074 - KARIYA DR at ENFIELD PLACE (north leg),74
0075 - KARIYA DR at ENFIELD PLACE (south leg),75
0076 - ELM DR at KARIYA DR,76
0077 - ELM DR at HURONTARIO ST,77
0066 - ELM DR east of HURONTARIO ST,66
0078 - ELM DR at MISSISSAUGA VALLEY BLVD,78
1215 - MISSISSAUGA VALLEY BLVD at CENTRAL PKY E,1215
1216 - MISSISSAUGA VALLEY BLVD at FAIRVIEW RD,1216
1217 - MISSISSAUGA VALLEY BLVD at VOLTAIRE CRES west leg,1217
1218 - MISSISSAUGA VALLEY BLVD at VOLTAIRE CRES east leg,1218
1219 - MISSISSAUGA VALLEY BLVD at TRISHA DOWNS,1219
1220 - MISSISSAUGA VALLEY BLVD at CLIFF RD,1220
1221 - MISSISSAUGA VALLEY BLVD at LOLITA GDNS,1221
1222 - MISSISSAUGA VALLEY BLVD at SILVERCREEK BLVD,1222
1223 - MISSISSAUGA VALLEY BLVD at GWENDALE CRES,1223
1224 - MISSISSAUGA VALLEY BLVD at BLOOR ST,1224
1225 - BLOOR ST at CAWTHRA RD,1225
1326 - BLOOR ST at RYMAL RD,1326
1327 - BLOOR ST at ANNELIESE AVE,1327
1325 - BLOOR ST at TOMKEN RD,1325
1328 - BLOOR ST at TASMANIA DR,1328
1329 - BLOOR ST at IVERNIA RD,1329
1330 - BLOOR ST at QUEEN FREDERICA DR,1330
1331 - BLOOR ST at GOLDEN ORCHARD DR,1331
1332 - BLOOR ST at DIXIE RD,1332
1333 - BLOOR ST at HAVENWOOD DR,1333
1334 - BLOOR ST east of HAVENWOOD DR,1334
1335 - BLOOR ST at FIELDGATE DR,1335
1336 - BLOOR ST east of FIELDGATE DR,1336
1337 - BLOOR ST at BRIDGEWOOD DR,1337
1339 - BLOOR ST east of BRIDGEWOOD DR,1339
9161 - BLOOR ST at MARKLAND DR (west leg),9161
9022 - BLOOR ST at MILL RD,9022
9023 - BLOOR ST at FORESTVIEW RD,9023
9024 - BLOOR ST at MARKLAND DR (east leg),9024
9025 - BLOOR ST at KOOS RD,9025
2892 - BLOOR ST at THE WEST MALL,2892
9027 - BLOOR ST at THE EAST MALL,9027
9028 - BLOOR ST at TREMONT RD,9028
9029 - BLOOR ST at SHAVER AVE,9029
9030 - BLOOR ST at WILMAR RD,9030
9031 - BLOOR ST at ACORN AVE,9031
9052 - BLOOR ST at AUKLAND RD,9052
9162 - AUKLAND RD north of DUNDAS ST W,9162
1303 - ISLINGTON SUBWAY BUS TERMINAL PLATFORM F,1303
1304 - AUKLAND RD north of DUNDAS ST W,1304
9034 - BLOOR ST at ASHBOURNE DR,9034
9035 - BLOOR ST at MARTIN GROVE RD,9035
9036 - BLOOR ST at SHAVER AVE,9036
9037 - BLOOR ST at LAUREL AVE,9037
9038 - BLOOR ST at THE EAST MALL,9038
2955 - BLOOR ST at THE WEST MALL,2955
9040 - BLOOR ST at PEACOCK AVE,9040
9041 - BLOOR ST at MARKLAND DR,9041
9042 - BLOOR ST at FORESTVIEW RD,9042
9043 - BLOOR ST at MILL RD,9043
9044 - BLOOR ST west of MILL RD,9044
1305 - BLOOR ST at MARKLAND DR (west leg),1305
1340 - BLOOR ST west of MARKLAND DR,1340
1341 - BLOOR ST at BRIDGEWOOD DR,1341
1342 - BLOOR ST west of BRIDGEWOOD DR,1342
1343 - BLOOR ST at FIELDGATE DR,1343
1344 - BLOOR ST west of FIELDGATE DR,1344
1345 - BLOOR ST at HAVENWOOD DR,1345
1346 - BLOOR ST at DIXIE RD,1346
1347 - BLOOR ST at GOLDEN ORCHARD DR,1347
1348 - BLOOR ST at GRAND FORKS RD,1348
1349 - BLOOR ST at RUNNINGBROOK DR,1349
1350 - BLOOR ST at RIVERSPRAY CRES,1350
1351 - BLOOR ST at TOMKEN RD,1351
1352 - BLOOR ST at ANNELIESE AVE,1352
1353 - BLOOR ST at CEDAR CREEK DR,1353
2268 - BLOOR ST at CAWTHRA RD,2268
1255 - MISSISSAUGA VALLEY BLVD south of BLOOR ST,1255
1256 - MISSISSAUGA VALLEY BLVD at MICHELLE ROW,1256
1257 - MISSISSAUGA VALLEY BLVD at SILVERCREEK BLVD,1257
1258 - MISSISSAUGA VALLEY BLVD at LOLITA GARDENS,1258
1259 - MISSISSAUGA VALLEY BLVD at CLIFF RD,1259
1260 - MISSISSAUGA VALLEY BLVD at TRISHA DOWNS,1260
1261 - MISSISSAUGA VALLEY BLVD at VOLTAIRE CRES east leg,1261
1262 - MISSISSAUGA VALLEY BLVD at VOLTAIRE CRES west leg,1262
1263 - MISSISSAUGA VALLEY BLVD at FAIRVIEW RD,1263
1264 - MISSISSAUGA VALLEY BLVD at CENTRAL PKY E,1264
0059 - MISSISSAUGA VALLEY BLVD north of CENTRAL PKY E,59
0068 - ELM DR E at OBELISK WAY,68
0069 - ELM DR E at HURONTARIO ST,69
0070 - ELM DR W at KARIYA DR,70
2140 - KARIYA DR north of ENFIELD PLACE (south leg),2140
1975 - KARIYA DR at BURNHAMTHORPE RD,1975
0813 - KARIYA GATE at CITY CENTRE DR,813
0578 - CITY CENTRE DR north of KARIYA GATE,578
1821 - CITY CENTRE DR at ROBERT SPECK PKY,1821
0666 - CITY CENTRE DR at SQUARE ONE DR,666
0600 - GLENGARRY RD at DUNDAS ST,600
0672 - CEDARGLEN GATE at PARMEER DR,672
0671 - CEDARGLEN GATE at HEMUS SQUARE,671
3168 - MAVIS RD at PAISLEY BLVD,3168
0620 - PAISLEY BLVD at MORRISON AVE,620
0630 - PAISLEY BLVD at HURON PARK PLACE,630
0628 - HURON PARK RECREATION CTRE at PAISLEY BLVD W,628
0621 - HURON PARK ACCESS south of PAISLEY BLVD,621
0604 - HURON PARK ACCESS RD at QUEENSWAY,604
0606 - HURON PARK RECREATION CTRE at PAISLEY BLVD W,606
0631 - PAISLEY BLVD at HURON PARK PLACE,631
0607 - PAISLEY BLVD at MORRISON AVE,607
0686 - PAISLEY BLVD at CASHMERE AVE,686
0687 - PAISLEY BLVD at CRYSTALBURN AVE,687
0688 - PAISLEY BLVD at STILLMEADOW RD,688
0693 - PAISLEY BLVD at GOODISON AVE,693
0694 - PAISLEY BLVD at ANTIGUA RD,694
0758 - CONFEDERATION PKY FIRST STOP south of PAISLEY BLVD,758
0759 - CONFEDERATION PKY SECOND south of PAISLEY BLVD,759
2622 - QUEENSWAY at TRILLIUM HOSPITAL,2622
0703 - PAISLEY BLVD east of HURONTARIO ST,703
0756 - PAISLEY BLVD at CAMILLA RD,756
0704 - CAMILLA RD at QUEENSWAY,704
0760 - CAMILLA RD at CAMILLA PLACE,760
0705 - CAMILLA RD at CHERRY POST DR,705
0706 - CAMILLA RD south of PATHFINDER DR,706
0707 - CAMILLA RD at NORTH SERVICE RD,707
0710 - CLIFF RD at NORTH SERVICE RD,710
0711 - CLIFF RD at PATHFINDER DR,711
0712 - TEDWYN DR at CHANTENAY DR,712
0713 - TEDWYN DR at MUNDEN RD,713
0714 - TEDWYN DR at HENSALL ST,714
0716 - ASTA DR at BOISMERE CRT,716
0729 - ASTA DR at NORTH SERVICE RD,729
0730 - NORTH SERVICE RD at CAWTHRA RD,730
0400 - NORTH SERVICE RD at ANNAPOLIS AVE,400
0402 - NORTH SERVICE RD at INSLEY RD,402
0403 - NORTH SERVICE RD at STANFIELD RD,403
0405 - NORTH SERVICE RD at HARVEST DR,405
0426 - DIXIE MALL BUS TERMINAL PLATFORM B,426
0407 - SOUTH SERVICE RD at LIVE OAK DR,407
