ISLINGTON SUBWAY BUS TERMINAL PLATFORM B,5:27:00 AM,5:49:00 AM,6:09:00 AM,6:24:00 AM,6:34:00 AM,6:49:00 AM,7:04:00 AM,7:20:00 AM,7:36:00 AM,7:51:00 AM,8:03:00 AM,8:16:00 AM,8:30:00 AM,8:46:00 AM,9:01:00 AM,9:15:00 AM,9:29:00 AM,9:37:00 AM,9:49:00 AM,10:00 AM[b],10:10:00 AM,10:22:00 AM,10:35:00 AM,10:47 AM[b],10:56:00 AM,11:10:00 AM,11:25:00 AM,11:40:00 AM,11:54:00 AM,12:11:00 PM,12:26:00 PM,12:42:00 PM,12:57:00 PM,1:12:00 PM,1:27:00 PM,1:42:00 PM,1:55:00 PM,2:05:00 PM,2:16:00 PM,2:29:00 PM,2:42:00 PM,2:54:00 PM,3:06:00 PM,3:17:00 PM,3:27:00 PM,3:37:00 PM,3:49:00 PM,4:03:00 PM,4:17:00 PM,4:31:00 PM,4:46:00 PM,4:57:00 PM,5:10:00 PM,5:23:00 PM,5:36:00 PM,5:48:00 PM,6:00:00 PM,6:13:00 PM,6:21:00 PM,6:31:00 PM,6:41:00 PM,6:52:00 PM,7:04:00 PM,7:16:00 PM,7:30:00 PM,7:45:00 PM,7:59:00 PM,8:19:00 PM,8:43:00 PM,9:07:00 PM,9:31:00 PM,9:55:00 PM,10:19:00 PM,10:45:00 PM
DUNDAS ST at BILLINGHAM RD,5:32:00 AM,5:54:00 AM,6:14:00 AM,6:29:00 AM,6:39:00 AM,6:54:00 AM,7:09:00 AM,7:25:00 AM,7:41:00 AM,7:56:00 AM,8:08:00 AM,8:21:00 AM,8:35:00 AM,8:51:00 AM,9:06:00 AM,9:20:00 AM,9:34:00 AM,9:42:00 AM,9:54:00 AM,10:05 AM[b],10:15:00 AM,10:27:00 AM,10:40:00 AM,10:52 AM[b],11:01:00 AM,11:15:00 AM,11:30:00 AM,11:45:00 AM,11:59:00 AM,12:16:00 PM,12:31:00 PM,12:47:00 PM,1:02:00 PM,1:17:00 PM,1:32:00 PM,1:47:00 PM,2:00:00 PM,2:10:00 PM,2:21:00 PM,2:34:00 PM,2:47:00 PM,2:59:00 PM,3:11:00 PM,3:22:00 PM,3:32:00 PM,3:43:00 PM,3:55:00 PM,4:09:00 PM,4:23:00 PM,4:37:00 PM,4:52:00 PM,5:03:00 PM,5:16:00 PM,5:29:00 PM,5:42:00 PM,5:54:00 PM,6:05:00 PM,6:18:00 PM,6:26:00 PM,6:36:00 PM,6:46:00 PM,6:57:00 PM,7:09:00 PM,7:21:00 PM,7:35:00 PM,7:50:00 PM,8:04:00 PM,8:24:00 PM,8:48:00 PM,9:12:00 PM,9:36:00 PM,10:00:00 PM,10:24:00 PM,10:50:00 PM
SKYMARK HUB,5:40:00 AM,6:03:00 AM,6:24:00 AM,6:39:00 AM,6:49:00 AM,7:04:00 AM,7:20:00 AM,7:36:00 AM,7:52:00 AM,8:07:00 AM,8:19:00 AM,8:32:00 AM,8:46:00 AM,9:02:00 AM,9:17:00 AM,9:31:00 AM,9:43:00 AM,9:51:00 AM,10:03:00 AM,10:14 AM[b],10:24:00 AM,10:36:00 AM,10:49:00 AM,11:01 AM[b],11:10:00 AM,11:24:00 AM,11:39:00 AM,11:54:00 AM,12:08:00 PM,12:25:00 PM,12:40:00 PM,12:56:00 PM,1:11:00 PM,1:26:00 PM,1:41:00 PM,1:56:00 PM,2:09:00 PM,2:19:00 PM,2:30:00 PM,2:44:00 PM,2:57:00 PM,3:09:00 PM,3:21:00 PM,3:32:00 PM,3:42:00 PM,3:53:00 PM,4:05:00 PM,4:19:00 PM,4:33:00 PM,4:48:00 PM,5:03:00 PM,5:14:00 PM,5:27:00 PM,5:40:00 PM,5:53:00 PM,6:05:00 PM,6:15:00 PM,6:28:00 PM,6:35:00 PM,6:45:00 PM,6:55:00 PM,7:06:00 PM,7:18:00 PM,7:30:00 PM,7:43:00 PM,7:58:00 PM,8:12:00 PM,8:32:00 PM,8:56:00 PM,9:20:00 PM,9:44:00 PM,10:08:00 PM,10:32:00 PM,10:58:00 PM
ORBITOR DR at EGLINTON AVE,5:42:00 AM,6:05:00 AM,6:26:00 AM,6:41:00 AM,6:51:00 AM,7:06:00 AM,7:22:00 AM,7:38:00 AM,7:54:00 AM,8:09:00 AM,8:21:00 AM,8:34:00 AM,8:48:00 AM,9:04:00 AM,9:19:00 AM,9:33:00 AM,9:45:00 AM,9:53:00 AM,10:05:00 AM,10:16 AM[b],10:26:00 AM,10:38:00 AM,10:51:00 AM,11:03 AM[b],11:12:00 AM,11:26:00 AM,11:41:00 AM,11:56:00 AM,12:10:00 PM,12:27:00 PM,12:42:00 PM,12:58:00 PM,1:13:00 PM,1:28:00 PM,1:43:00 PM,1:58:00 PM,2:11:00 PM,2:21:00 PM,2:32:00 PM,2:46:00 PM,2:59:00 PM,3:11:00 PM,3:23:00 PM,3:35:00 PM,3:45:00 PM,3:56:00 PM,4:08:00 PM,4:22:00 PM,4:36:00 PM,4:51:00 PM,5:06:00 PM,5:17:00 PM,5:30:00 PM,5:43:00 PM,5:56:00 PM,6:08:00 PM,6:18:00 PM,6:31:00 PM,6:38:00 PM,6:48:00 PM,6:58:00 PM,7:09:00 PM,7:21:00 PM,7:32:00 PM,7:45:00 PM,8:00:00 PM,8:14:00 PM,8:34:00 PM,8:58:00 PM,9:22:00 PM,9:46:00 PM,10:10:00 PM,10:34:00 PM,11:00:00 PM
DIXIE STATION WEST PLATFORM B,5:49:00 AM,6:12:00 AM,6:33:00 AM,6:48:00 AM,6:58:00 AM,7:13:00 AM,7:29:00 AM,7:45:00 AM,8:01:00 AM,8:16:00 AM,8:28:00 AM,8:41:00 AM,8:55:00 AM,9:11:00 AM,9:26:00 AM,9:40:00 AM,9:52:00 AM,10:00:00 AM,10:12:00 AM,10:23 AM[b],10:33:00 AM,10:45:00 AM,10:58:00 AM,11:10 AM[b],11:19:00 AM,11:33:00 AM,11:48:00 AM,12:03:00 PM,12:17:00 PM,12:34:00 PM,12:49:00 PM,1:05:00 PM,1:20:00 PM,1:35:00 PM,1:50:00 PM,2:05:00 PM,2:18:00 PM,2:28:00 PM,2:39:00 PM,2:53:00 PM,3:06:00 PM,3:18:00 PM,3:30:00 PM,3:43:00 PM,3:53:00 PM,4:04:00 PM,4:16:00 PM,4:30:00 PM,4:44:00 PM,4:59:00 PM,5:14:00 PM,5:25:00 PM,5:38:00 PM,5:51:00 PM,6:04:00 PM,6:16:00 PM,6:26:00 PM,6:38:00 PM,6:45:00 PM,6:55:00 PM,7:05:00 PM,7:16:00 PM,7:28:00 PM,7:38:00 PM,7:51:00 PM,8:06:00 PM,8:20:00 PM,8:40:00 PM,9:04:00 PM,9:28:00 PM,9:52:00 PM,10:16:00 PM,10:40:00 PM,11:06:00 PM
TOMKEN STATION WEST PLATFORM B,5:51:00 AM,6:14:00 AM,6:35:00 AM,6:50:00 AM,7:00:00 AM,7:15:00 AM,7:31:00 AM,7:47:00 AM,8:03:00 AM,8:18:00 AM,8:30:00 AM,8:43:00 AM,8:57:00 AM,9:13:00 AM,9:28:00 AM,9:42:00 AM,9:54:00 AM,10:02:00 AM,10:14:00 AM,10:25 AM[b],10:35:00 AM,10:47:00 AM,11:00:00 AM,11:12 AM[b],11:21:00 AM,11:35:00 AM,11:50:00 AM,12:05:00 PM,12:19:00 PM,12:36:00 PM,12:51:00 PM,1:07:00 PM,1:22:00 PM,1:37:00 PM,1:52:00 PM,2:07:00 PM,2:20:00 PM,2:30:00 PM,2:41:00 PM,2:55:00 PM,3:08:00 PM,3:20:00 PM,3:32:00 PM,3:45:00 PM,3:55:00 PM,4:06:00 PM,4:18:00 PM,4:32:00 PM,4:46:00 PM,5:01:00 PM,5:16:00 PM,5:27:00 PM,5:40:00 PM,5:53:00 PM,6:06:00 PM,6:18:00 PM,6:28:00 PM,6:40:00 PM,6:47:00 PM,6:57:00 PM,7:07:00 PM,7:18:00 PM,7:30:00 PM,7:40:00 PM,7:53:00 PM,8:08:00 PM,8:22:00 PM,8:42:00 PM,9:06:00 PM,9:30:00 PM,9:54:00 PM,10:18:00 PM,10:42:00 PM,11:08:00 PM
CAWTHRA STATION WEST PLATFORM B,5:52:00 AM,6:15:00 AM,6:36:00 AM,6:51:00 AM,7:01:00 AM,7:16:00 AM,7:32:00 AM,7:48:00 AM,8:04:00 AM,8:19:00 AM,8:31:00 AM,8:44:00 AM,8:58:00 AM,9:14:00 AM,9:29:00 AM,9:43:00 AM,9:55:00 AM,10:03:00 AM,10:15:00 AM,10:26 AM[b],10:36:00 AM,10:48:00 AM,11:01:00 AM,11:13 AM[b],11:22:00 AM,11:36:00 AM,11:51:00 AM,12:06:00 PM,12:20:00 PM,12:37:00 PM,12:52:00 PM,1:08:00 PM,1:23:00 PM,1:38:00 PM,1:53:00 PM,2:08:00 PM,2:21:00 PM,2:31:00 PM,2:42:00 PM,2:56:00 PM,3:09:00 PM,3:21:00 PM,3:33:00 PM,3:46:00 PM,3:56:00 PM,4:07:00 PM,4:19:00 PM,4:33:00 PM,4:47:00 PM,5:02:00 PM,5:17:00 PM,5:28:00 PM,5:41:00 PM,5:54:00 PM,6:07:00 PM,6:19:00 PM,6:29:00 PM,6:41:00 PM,6:48:00 PM,6:58:00 PM,7:08:00 PM,7:19:00 PM,7:31:00 PM,7:41:00 PM,7:54:00 PM,8:09:00 PM,8:23:00 PM,8:43:00 PM,9:07:00 PM,9:31:00 PM,9:55:00 PM,10:19:00 PM,10:43:00 PM,11:09:00 PM
CENTRAL PARKWAY STATION WEST PLATFORM B,5:53:00 AM,6:16:00 AM,6:37:00 AM,6:52:00 AM,7:02:00 AM,7:17:00 AM,7:33:00 AM,7:49:00 AM,8:05:00 AM,8:20:00 AM,8:32:00 AM,8:45:00 AM,8:59:00 AM,9:15:00 AM,9:30:00 AM,9:44:00 AM,9:56:00 AM,10:04:00 AM,10:16:00 AM,10:27 AM[b],10:37:00 AM,10:49:00 AM,11:02:00 AM,11:14 AM[b],11:23:00 AM,11:37:00 AM,11:52:00 AM,12:07:00 PM,12:21:00 PM,12:38:00 PM,12:53:00 PM,1:09:00 PM,1:24:00 PM,1:39:00 PM,1:54:00 PM,2:09:00 PM,2:22:00 PM,2:32:00 PM,2:43:00 PM,2:57:00 PM,3:10:00 PM,3:22:00 PM,3:34:00 PM,3:47:00 PM,3:57:00 PM,4:08:00 PM,4:20:00 PM,4:34:00 PM,4:48:00 PM,5:03:00 PM,5:18:00 PM,5:29:00 PM,5:42:00 PM,5:55:00 PM,6:08:00 PM,6:20:00 PM,6:30:00 PM,6:42:00 PM,6:49:00 PM,6:59:00 PM,7:09:00 PM,7:20:00 PM,7:32:00 PM,7:42:00 PM,7:55:00 PM,8:10:00 PM,8:24:00 PM,8:44:00 PM,9:08:00 PM,9:32:00 PM,9:56:00 PM,10:20:00 PM,10:44:00 PM,11:10:00 PM
CITY CENTRE BUS TERMINAL PLATFORM O,5:56:00 AM,6:19:00 AM,6:40:00 AM,6:55:00 AM,7:05:00 AM,7:20:00 AM,7:36:00 AM,7:52:00 AM,8:08:00 AM,8:23:00 AM,8:35:00 AM,8:48:00 AM,9:02:00 AM,9:18:00 AM,9:33:00 AM,9:47:00 AM,9:59:00 AM,10:07:00 AM,10:19:00 AM,10:29 AM[b],10:40:00 AM,10:52:00 AM,11:05:00 AM,11:16 AM[b],11:26:00 AM,11:40:00 AM,11:55:00 AM,12:10:00 PM,12:24:00 PM,12:41:00 PM,12:56:00 PM,1:12:00 PM,1:27:00 PM,1:42:00 PM,1:57:00 PM,2:12:00 PM,2:25:00 PM,2:36:00 PM,2:47:00 PM,3:01:00 PM,3:14:00 PM,3:26:00 PM,3:38:00 PM,3:51:00 PM,4:01:00 PM,4:12:00 PM,4:24:00 PM,4:38:00 PM,4:52:00 PM,5:07:00 PM,5:22:00 PM,5:33:00 PM,5:46:00 PM,5:59:00 PM,6:12:00 PM,6:24:00 PM,6:34:00 PM,6:46:00 PM,6:53:00 PM,7:03:00 PM,7:13:00 PM,7:24:00 PM,7:35:00 PM,7:45:00 PM,7:58:00 PM,8:13:00 PM,8:27:00 PM,8:47:00 PM,9:11:00 PM,9:35:00 PM,9:59:00 PM,10:23:00 PM,10:47:00 PM,11:13:00 PM
ERIN MILLS PKY north of CREDIT VALLEY RD,6:06:00 AM,6:29:00 AM,6:50:00 AM,7:05:00 AM,7:15:00 AM,7:30:00 AM,7:46:00 AM,8:02:00 AM,8:18:00 AM,8:33:00 AM,8:45:00 AM,8:58:00 AM,9:12:00 AM,9:28:00 AM,9:43:00 AM,9:57:00 AM,10:09:00 AM,10:17:00 AM,10:29:00 AM,10:50:00 AM,11:02:00 AM,11:15:00 AM,11:36:00 AM,11:50:00 AM,12:05:00 PM,12:20:00 PM,12:34:00 PM,12:51:00 PM,1:06:00 PM,1:22:00 PM,1:37:00 PM,1:52:00 PM,2:07:00 PM,2:22:00 PM,2:36:00 PM,2:47:00 PM,2:58:00 PM,3:12:00 PM,3:25:00 PM,3:38:00 PM,3:50:00 PM,4:03:00 PM,4:13:00 PM,4:24:00 PM,4:37:00 PM,4:51:00 PM,5:05:00 PM,5:20:00 PM,5:35:00 PM,5:46:00 PM,5:59:00 PM,6:11:00 PM,6:24:00 PM,6:36:00 PM,6:45:00 PM,6:57:00 PM,7:04:00 PM,7:14:00 PM,7:24:00 PM,7:35:00 PM,7:45:00 PM,7:55:00 PM,8:08:00 PM,8:23:00 PM,8:37:00 PM,8:57:00 PM,9:21:00 PM,9:45:00 PM,10:09:00 PM,10:33:00 PM,10:57:00 PM,11:23:00 PM,,
