ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM G,5:54:00 AM,6:17:00 AM,6:49:00 AM,7:12:00 AM,7:43:00 AM,8:07:00 AM,3:30:00 PM,3:58:00 PM,4:30:00 PM,5:02:00 PM,5:33:00 PM,5:55:00 PM,6:26:00 PM,6:50:00 PM,7:25:00 PM
ERIN MILLS TOWN CENTRE BUS TERMINAL PLATFORM B,5:56:00 AM,6:19:00 AM,6:51:00 AM,7:14:00 AM,7:45:00 AM,8:09:00 AM,3:32:00 PM,4:00:00 PM,4:32:00 PM,5:04:00 PM,5:35:00 PM,5:57:00 PM,6:28:00 PM,6:52:00 PM,7:26:00 PM
ERIN CENTRE BLVD at GLEN ERIN DR,5:58:00 AM,6:21:00 AM,6:53:00 AM,7:16:00 AM,7:47:00 AM,8:11:00 AM,3:34:00 PM,4:02:00 PM,4:34:00 PM,5:06:00 PM,5:37:00 PM,5:59:00 PM,6:30:00 PM,6:54:00 PM,7:28:00 PM
ERIN CENTRE BLVD at DUBONET DR,6:02:00 AM,6:25:00 AM,6:57:00 AM,7:20:00 AM,7:51:00 AM,8:15:00 AM,3:38:00 PM,4:06:00 PM,4:38:00 PM,5:10:00 PM,5:41:00 PM,6:03:00 PM,6:34:00 PM,6:58:00 PM,7:32:00 PM
TENTH LINE at THOMAS ST,6:06:00 AM,6:29:00 AM,7:01:00 AM,7:24:00 AM,7:55:00 AM,8:19:00 AM,3:42:00 PM,4:10:00 PM,4:42:00 PM,5:14:00 PM,5:45:00 PM,6:07:00 PM,6:38:00 PM,7:02:00 PM,7:36:00 PM
TENTH LINE at BRITANNIA RD,6:08:00 AM,6:31:00 AM,7:03:00 AM,7:26:00 AM,7:57:00 AM,8:21:00 AM,3:44:00 PM,4:12:00 PM,4:44:00 PM,5:16:00 PM,5:47:00 PM,6:09:00 PM,6:40:00 PM,7:04:00 PM,7:38:00 PM
TENTH LINE at BATTLEFORD RD,6:11:00 AM,6:34:00 AM,7:06:00 AM,7:29:00 AM,8:00:00 AM,8:24:00 AM,3:47:00 PM,4:15:00 PM,4:47:00 PM,5:19:00 PM,5:50:00 PM,6:12:00 PM,6:43:00 PM,7:07:00 PM,7:41:00 PM
TENTH LINE at DERRY RD,6:15:00 AM,6:38:00 AM,7:10:00 AM,7:33:00 AM,8:04:00 AM,8:28:00 AM,3:51:00 PM,4:19:00 PM,4:51:00 PM,5:23:00 PM,5:54:00 PM,6:16:00 PM,6:47:00 PM,7:10:00 PM,7:44:00 PM
LISGAR GO STATION PLATFORM A,6:19:00 AM,6:42:00 AM,7:14:00 AM,7:37:00 AM,8:08:00 AM,8:32:00 AM,3:55:00 PM,4:23:00 PM,4:55:00 PM,5:27:00 PM,5:58:00 PM,6:20:00 PM,6:51:00 PM,7:13:00 PM,7:47:00 PM
