WESTWOOD MALL BUS TERMINAL PLATFORM F,5:00:00 AM,5:32:00 AM,6:04:00 AM,6:36:00 AM,6:56:00 AM,7:16:00 AM,7:36:00 AM,7:56:00 AM,8:16:00 AM,8:36:00 AM,8:56:00 AM,9:16:00 AM,9:36:00 AM,9:56:00 AM,10:16:00 AM,10:36:00 AM,10:56:00 AM,11:16:00 AM,11:36:00 AM,11:56:00 AM,12:16:00 PM,12:36:00 PM,12:56:00 PM,1:16:00 PM,1:36:00 PM,1:56:00 PM,2:16:00 PM,2:36:00 PM,2:56:00 PM,3:16:00 PM,3:36:00 PM,3:56:00 PM,4:16:00 PM,4:36:00 PM,4:56:00 PM,5:16:00 PM,5:36:00 PM,5:56:00 PM,6:16:00 PM,6:36:00 PM,6:56:00 PM,7:16:00 PM,7:36:00 PM,7:56:00 PM,8:16:00 PM,8:37:00 PM,9:10:00 PM,9:43:00 PM,10:16:00 PM,10:49:00 PM,11:22:00 PM,11:55:00 PM,12:35:00 AM
DARCEL AVE at BRANDON GATE DR,5:05:00 AM,5:37:00 AM,6:09:00 AM,6:41:00 AM,7:01:00 AM,7:21:00 AM,7:41:00 AM,8:01:00 AM,8:21:00 AM,8:41:00 AM,9:01:00 AM,9:21:00 AM,9:41:00 AM,10:01:00 AM,10:21:00 AM,10:41:00 AM,11:01:00 AM,11:21:00 AM,11:41:00 AM,12:01:00 PM,12:21:00 PM,12:41:00 PM,1:01:00 PM,1:21:00 PM,1:41:00 PM,2:01:00 PM,2:21:00 PM,2:41:00 PM,3:01:00 PM,3:21:00 PM,3:41:00 PM,4:01:00 PM,4:21:00 PM,4:41:00 PM,5:01:00 PM,5:21:00 PM,5:41:00 PM,6:01:00 PM,6:21:00 PM,6:41:00 PM,7:01:00 PM,7:21:00 PM,7:41:00 PM,8:01:00 PM,8:21:00 PM,8:42:00 PM,9:15:00 PM,9:48:00 PM,10:21:00 PM,10:54:00 PM,11:27:00 PM,12:00:00 AM,12:40:00 AM
FINCH AVE east of HUMBERLINE DR,5:10:00 AM,5:42:00 AM,6:14:00 AM,6:46:00 AM,7:06:00 AM,7:26:00 AM,7:46:00 AM,8:06:00 AM,8:26:00 AM,8:46:00 AM,9:06:00 AM,9:25:00 AM,9:45:00 AM,10:05:00 AM,10:25:00 AM,10:45:00 AM,11:05:00 AM,11:25:00 AM,11:45:00 AM,12:05:00 PM,12:25:00 PM,12:45:00 PM,1:05:00 PM,1:25:00 PM,1:45:00 PM,2:05:00 PM,2:26:00 PM,2:46:00 PM,3:06:00 PM,3:26:00 PM,3:46:00 PM,4:06:00 PM,4:26:00 PM,4:46:00 PM,5:06:00 PM,5:26:00 PM,5:46:00 PM,6:06:00 PM,6:25:00 PM,6:45:00 PM,7:05:00 PM,7:25:00 PM,7:45:00 PM,8:05:00 PM,8:25:00 PM,8:46:00 PM,9:19:00 PM,9:52:00 PM,10:25:00 PM,10:58:00 PM,11:31:00 PM,12:04:00 AM,12:44:00 AM
HUMBER COLLEGE BLVD at FINCH AVE W,5:11:00 AM,5:43:00 AM,6:15:00 AM,6:47:00 AM,7:07:00 AM,7:27:00 AM,7:47:00 AM,8:07:00 AM,8:27:00 AM,8:47:00 AM,9:07:00 AM,9:26:00 AM,9:46:00 AM,10:06:00 AM,10:26:00 AM,10:46:00 AM,11:06:00 AM,11:26:00 AM,11:46:00 AM,12:06:00 PM,12:26:00 PM,12:46:00 PM,1:06:00 PM,1:26:00 PM,1:46:00 PM,2:06:00 PM,2:27:00 PM,2:47:00 PM,3:07:00 PM,3:27:00 PM,3:47:00 PM,4:07:00 PM,4:27:00 PM,4:47:00 PM,5:07:00 PM,5:27:00 PM,5:47:00 PM,6:07:00 PM,6:26:00 PM,6:46:00 PM,7:06:00 PM,7:26:00 PM,7:46:00 PM,8:06:00 PM,8:26:00 PM,8:47:00 PM,9:20:00 PM,9:53:00 PM,10:26:00 PM,10:59:00 PM,11:32:00 PM,12:05:00 AM,12:45:00 AM
HUMBER COLLEGE NORTH CAMPUS PLATFORM A,5:13:00 AM,5:45:00 AM,6:17:00 AM,6:51:00 AM,7:11:00 AM,7:31:00 AM,7:51:00 AM,8:11:00 AM,8:31:00 AM,8:51:00 AM,9:11:00 AM,9:31:00 AM,9:51:00 AM,10:11:00 AM,10:31:00 AM,10:51:00 AM,11:11:00 AM,11:31:00 AM,11:51:00 AM,12:11:00 PM,12:31:00 PM,12:51:00 PM,1:11:00 PM,1:31:00 PM,1:51:00 PM,2:11:00 PM,2:31:00 PM,2:51:00 PM,3:11:00 PM,3:31:00 PM,3:51:00 PM,4:11:00 PM,4:31:00 PM,4:51:00 PM,5:11:00 PM,5:31:00 PM,5:51:00 PM,6:11:00 PM,6:29:00 PM,6:49:00 PM,7:09:00 PM,7:29:00 PM,7:49:00 PM,8:08:00 PM,8:28:00 PM,8:49:00 PM,9:22:00 PM,9:55:00 PM,10:28:00 PM,11:01:00 PM,11:34:00 PM,12:07:00 AM,12:47:00 AM
HUMBER COLLEGE BLVD at WESTMORE DR,5:16:00 AM,5:48:00 AM,6:20:00 AM,6:54:00 AM,7:14:00 AM,7:34:00 AM,7:54:00 AM,8:14:00 AM,8:34:00 AM,8:54:00 AM,9:14:00 AM,9:34:00 AM,9:54:00 AM,10:14:00 AM,10:34:00 AM,10:54:00 AM,11:14:00 AM,11:34:00 AM,11:54:00 AM,12:14:00 PM,12:34:00 PM,12:54:00 PM,1:14:00 PM,1:34:00 PM,1:54:00 PM,2:14:00 PM,2:34:00 PM,2:54:00 PM,3:14:00 PM,3:34:00 PM,3:54:00 PM,4:14:00 PM,4:34:00 PM,4:54:00 PM,5:14:00 PM,5:34:00 PM,5:54:00 PM,6:14:00 PM,6:32:00 PM,6:52:00 PM,7:12:00 PM,7:32:00 PM,7:52:00 PM,8:11:00 PM,8:31:00 PM,8:52:00 PM,9:25:00 PM,9:58:00 PM,10:31:00 PM,11:04:00 PM,11:37:00 PM,12:10:00 AM,12:50:00 AM
