ISLINGTON SUBWAY BUS TERMINAL PLATFORM E,7:10:00 AM,7:46:00 AM,8:22:00 AM,8:58:00 AM,9:34:00 AM,10:10:00 AM,10:46:00 AM,11:22:00 AM,11:58:00 AM,12:34:00 PM,1:10:00 PM,1:46:00 PM,2:22:00 PM,2:58:00 PM,3:34:00 PM,4:10:00 PM,4:46:00 PM,5:22:00 PM,5:58:00 PM,6:34:00 PM,7:10:00 PM,7:46:00 PM,8:22:00 PM,8:58:00 PM,9:34:00 PM,10:10:00 PM,10:45 PM[b],11:57 PM[b],1:09 AM[b]
DUNDAS ST at AUKLAND RD,7:13:00 AM,7:49:00 AM,8:25:00 AM,9:01:00 AM,9:37:00 AM,10:13:00 AM,10:49:00 AM,11:25:00 AM,12:01:00 PM,12:37:00 PM,1:13:00 PM,1:49:00 PM,2:25:00 PM,3:01:00 PM,3:37:00 PM,4:13:00 PM,4:49:00 PM,5:25:00 PM,6:01:00 PM,6:37:00 PM,7:13:00 PM,7:49:00 PM,8:25:00 PM,9:01:00 PM,9:37:00 PM,10:13:00 PM,10:48 PM[b],12:00 AM[b],1:12 AM[b]
DUNDAS ST at BILLINGHAM RD,7:17:00 AM,7:53:00 AM,8:29:00 AM,9:05:00 AM,9:41:00 AM,10:17:00 AM,10:53:00 AM,11:29:00 AM,12:05:00 PM,12:41:00 PM,1:17:00 PM,1:53:00 PM,2:29:00 PM,3:05:00 PM,3:41:00 PM,4:17:00 PM,4:53:00 PM,5:29:00 PM,6:05:00 PM,6:41:00 PM,7:17:00 PM,7:53:00 PM,8:29:00 PM,9:05:00 PM,9:41:00 PM,10:17:00 PM,10:52 PM[b],12:04 AM[b],1:16 AM[b]
REXDALE BLVD at WOODBINE CENTRE,7:29:00 AM,8:05:00 AM,8:41:00 AM,9:17:00 AM,9:53:00 AM,10:29:00 AM,11:05:00 AM,11:41:00 AM,12:17:00 PM,12:53:00 PM,1:29:00 PM,2:05:00 PM,2:41:00 PM,3:17:00 PM,3:53:00 PM,4:29:00 PM,5:05:00 PM,5:41:00 PM,6:17:00 PM,6:53:00 PM,7:29:00 PM,8:05:00 PM,8:41:00 PM,9:17:00 PM,9:53:00 PM,10:29:00 PM,11:04 PM[b],12:16 AM[b],1:28 AM[b]
DERRY RD at REXWOOD RD,7:34:00 AM,8:10:00 AM,8:46:00 AM,9:22:00 AM,9:58:00 AM,10:34:00 AM,11:10:00 AM,11:46:00 AM,12:22:00 PM,12:58:00 PM,1:34:00 PM,2:10:00 PM,2:46:00 PM,3:22:00 PM,3:58:00 PM,4:34:00 PM,5:10:00 PM,5:46:00 PM,6:22:00 PM,6:58:00 PM,7:34:00 PM,8:10:00 PM,8:46:00 PM,9:22:00 PM,9:58:00 PM,10:34:00 PM,,,
GOREWAY DR at ETUDE DR,7:37:00 AM,8:13:00 AM,8:49:00 AM,9:25:00 AM,10:01:00 AM,10:37:00 AM,11:13:00 AM,11:49:00 AM,12:25:00 PM,1:01:00 PM,1:37:00 PM,2:13:00 PM,2:49:00 PM,3:25:00 PM,4:01:00 PM,4:37:00 PM,5:13:00 PM,5:49:00 PM,6:25:00 PM,7:01:00 PM,7:37:00 PM,8:13:00 PM,8:49:00 PM,9:25:00 PM,10:01:00 PM,10:37:00 PM,,,
DERRY RD at REXWOOD RD,11:08 PM[b],12:20 AM[b],1:32 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,
REXWOOD RD west of NETHERBRAE RD,11:09 PM[b],12:21 AM[b],1:33 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,
MORNING STAR DR at BRANDON GATE DR,11:12 PM[b],12:24 AM[b],1:36 AM[b],,,,,,,,,,,,,,,,,,,,,,,,,,
WESTWOOD MALL BUS TERMINAL PLATFORM J,7:39:00 AM,8:15:00 AM,8:51:00 AM,9:27:00 AM,10:03:00 AM,10:39:00 AM,11:15:00 AM,11:51:00 AM,12:27:00 PM,1:03:00 PM,1:39:00 PM,2:15:00 PM,2:51:00 PM,3:27:00 PM,4:03:00 PM,4:39:00 PM,5:15:00 PM,5:51:00 PM,6:27:00 PM,7:03:00 PM,7:39:00 PM,8:15:00 PM,8:51:00 PM,9:27:00 PM,10:03:00 PM,10:39:00 PM,11:16 PM[b],12:28 AM[b],1:40 AM[b]
