HUMBER COLLEGE BLVD at WESTMORE DR,8:21:00 AM,8:56:00 AM,9:31:00 AM,10:16:00 AM,11:01:00 AM,11:46:00 AM,12:31:00 PM,1:16 PM[b],2:01 PM[b],2:46 PM[b],3:31 PM[b],4:16 PM[b],5:01:00 PM,5:46:00 PM,6:31:00 PM,7:16:00 PM,8:01:00 PM,8:46:00 PM,9:31:00 PM,10:06:00 PM
FINCH AVE at WESTMORE DR,8:27:00 AM,9:02:00 AM,9:37:00 AM,10:22:00 AM,11:07:00 AM,11:52:00 AM,12:37:00 PM,1:22 PM[b],2:07 PM[b],2:52 PM[b],3:37 PM[b],4:22 PM[b],5:07:00 PM,5:52:00 PM,6:37:00 PM,7:22:00 PM,8:06:00 PM,8:51:00 PM,9:36:00 PM,10:11:00 PM
FINCH AVE at HUMBERLINE DR,8:30:00 AM,9:05:00 AM,9:40:00 AM,10:25:00 AM,11:10:00 AM,11:55:00 AM,12:40:00 PM,1:25 PM[b],2:10 PM[b],2:55 PM[b],3:40 PM[b],4:25 PM[b],5:10:00 PM,5:55:00 PM,6:40:00 PM,7:25:00 PM,8:09:00 PM,8:54:00 PM,9:39:00 PM,10:14:00 PM
DARCEL AVE at BRANDON GATE DR,8:33:00 AM,9:08:00 AM,9:43:00 AM,10:28:00 AM,11:13:00 AM,11:58:00 AM,12:43:00 PM,1:28 PM[b],2:13 PM[b],2:58 PM[b],3:43 PM[b],4:28 PM[b],5:13:00 PM,5:58:00 PM,6:43:00 PM,7:28:00 PM,8:12:00 PM,8:57:00 PM,9:42:00 PM,10:17:00 PM
WESTWOOD MALL BUS TERMINAL PLATFORM F,8:38:00 AM,9:13:00 AM,9:48:00 AM,10:33:00 AM,11:18:00 AM,12:03:00 PM,12:48:00 PM,1:33 PM[b],2:18 PM[b],3:03 PM[b],3:48 PM[b],4:33 PM[b],5:18:00 PM,6:03:00 PM,6:48:00 PM,7:33:00 PM,8:16:00 PM,9:01:00 PM,9:46:00 PM,10:21:00 PM
