LISGAR GO STATION PLATFORM A,5:05:00 PM,5:29:00 PM,5:48:00 PM,6:01:00 PM,6:16:00 PM,6:36:00 PM,7:16:00 PM
TENTH LINE at CRIMSON KING CIRCLE,5:06:00 PM,5:30:00 PM,5:49:00 PM,6:02:00 PM,6:17:00 PM,6:37:00 PM,7:17:00 PM
ROSEHURST DR at TERRAGAR BLVD,5:09:00 PM,5:33:00 PM,5:52:00 PM,6:05:00 PM,6:20:00 PM,6:40:00 PM,7:20:00 PM
LISGAR DR at YARROW AVE,5:13:00 PM,5:37:00 PM,5:56:00 PM,6:09:00 PM,6:24:00 PM,6:44:00 PM,7:24:00 PM
DOUG LEAVENS BLVD at TRELAWNY CIR,5:16:00 PM,5:40:00 PM,5:59:00 PM,6:12:00 PM,6:27:00 PM,6:47:00 PM,7:27:00 PM
TRELAWNY CIR at MOCKINGBIRD LANES,5:19:00 PM,5:43:00 PM,6:02:00 PM,6:15:00 PM,6:30:00 PM,6:50:00 PM,7:30:00 PM
